조회_SGG_CD,조회_지역,조회기간,BASE_YM,TOU_NUM,LDNG_TOU_RATE
47170,경상북도 안동시,201801-202608,201801,1060096.0,15.1
47170,경상북도 안동시,201801-202608,201802,1154358.0,19.1
47170,경상북도 안동시,201801-202608,201803,1242353.0,12.4
47170,경상북도 안동시,201801-202608,201804,1201417.0,12.4
47170,경상북도 안동시,201801-202608,201805,1326772.0,14.1
47170,경상북도 안동시,201801-202608,201806,1165035.0,12.7
47170,경상북도 안동시,201801-202608,201807,1249581.0,13.0
47170,경상북도 안동시,201801-202608,201808,1351525.0,13.7
47170,경상북도 안동시,201801-202608,201809,1575286.0,17.3
47170,경상북도 안동시,201801-202608,201810,1381229.0,11.0
47170,경상북도 안동시,201801-202608,201811,1192214.0,13.5
47170,경상북도 안동시,201801-202608,201812,1126829.0,14.3
47170,경상북도 안동시,201801-202608,201901,1165951.0,11.3
47170,경상북도 안동시,201801-202608,201902,1230994.0,18.7
47170,경상북도 안동시,201801-202608,201903,1327303.0,12.6
47170,경상북도 안동시,201801-202608,201904,1178524.0,12.5
47170,경상북도 안동시,201801-202608,201905,1284894.0,13.7
47170,경상북도 안동시,201801-202608,201906,1042420.0,12.5
47170,경상북도 안동시,201801-202608,201907,1120308.0,13.3
47170,경상북도 안동시,201801-202608,201908,1253484.0,14.6
47170,경상북도 안동시,201801-202608,201909,1336104.0,16.6
47170,경상북도 안동시,201801-202608,201910,1232858.0,11.6
47170,경상북도 안동시,201801-202608,201911,1171611.0,14.0
47170,경상북도 안동시,201801-202608,201912,1037655.0,12.8
47170,경상북도 안동시,201801-202608,202001,1161083.0,17.1
47170,경상북도 안동시,201801-202608,202002,758414.0,11.8
47170,경상북도 안동시,201801-202608,202003,597695.0,11.5
47170,경상북도 안동시,201801-202608,202004,775544.0,13.3
47170,경상북도 안동시,201801-202608,202005,1011329.0,13.7
47170,경상북도 안동시,201801-202608,202006,953843.0,12.3
47170,경상북도 안동시,201801-202608,202007,1006870.0,14.2
47170,경상북도 안동시,201801-202608,202008,1130597.0,15.1
47170,경상북도 안동시,201801-202608,202009,997713.0,15.3
47170,경상북도 안동시,201801-202608,202010,1190923.0,15.3
47170,경상북도 안동시,201801-202608,202011,1003366.0,13.1
47170,경상북도 안동시,201801-202608,202012,767684.0,13.1
47170,경상북도 안동시,201801-202608,202101,735519.0,12.1
47170,경상북도 안동시,201801-202608,202102,855199.0,15.9
47170,경상북도 안동시,201801-202608,202103,1029173.0,11.9
47170,경상북도 안동시,201801-202608,202104,921387.0,13.3
47170,경상북도 안동시,201801-202608,202105,1035764.0,14.2
47170,경상북도 안동시,201801-202608,202106,973256.0,12.6
47170,경상북도 안동시,201801-202608,202107,1010653.0,14.1
47170,경상북도 안동시,201801-202608,202108,1066558.0,13.5
47170,경상북도 안동시,201801-202608,202109,1205316.0,15.5
47170,경상북도 안동시,201801-202608,202110,1148053.0,12.7
47170,경상북도 안동시,201801-202608,202111,1049969.0,13.2
47170,경상북도 안동시,201801-202608,202112,901542.0,13.4
47170,경상북도 안동시,201801-202608,202201,954628.0,16.6
47170,경상북도 안동시,201801-202608,202202,819768.0,13.2
47170,경상북도 안동시,201801-202608,202203,941366.0,11.5
47170,경상북도 안동시,201801-202608,202204,969402.0,13.5
47170,경상북도 안동시,201801-202608,202205,1105812.0,13.9
47170,경상북도 안동시,201801-202608,202206,976550.0,15.8
47170,경상북도 안동시,201801-202608,202207,1162848.0,16.3
47170,경상북도 안동시,201801-202608,202208,1174690.0,16.2
47170,경상북도 안동시,201801-202608,202209,1253626.0,18.4
47170,경상북도 안동시,201801-202608,202210,1259780.0,15.2
47170,경상북도 안동시,201801-202608,202211,1050364.0,15.4
47170,경상북도 안동시,201801-202608,202212,1024270.0,16.1
47170,경상북도 안동시,201801-202608,202301,1108465.0,18.9
47170,경상북도 안동시,201801-202608,202302,941826.0,13.8
47170,경상북도 안동시,201801-202608,202303,1178130.0,13.7
47170,경상북도 안동시,201801-202608,202304,1067785.0,15.4
47170,경상북도 안동시,201801-202608,202305,1149354.0,15.7
47170,경상북도 안동시,201801-202608,202306,1049956.0,14.4
47170,경상북도 안동시,201801-202608,202307,1060746.0,15.2
47170,경상북도 안동시,201801-202608,202308,1164635.0,15.3
47170,경상북도 안동시,201801-202608,202309,1320245.0,20.0
47170,경상북도 안동시,201801-202608,202310,1336946.0,14.7
47170,경상북도 안동시,201801-202608,202311,1069322.0,15.3
47170,경상북도 안동시,201801-202608,202312,1003278.0,16.3
47170,경상북도 안동시,201801-202608,202401,955428.0,13.4
47170,경상북도 안동시,201801-202608,202402,1057812.0,20.7
47170,경상북도 안동시,201801-202608,202403,1214400.0,12.8
47170,경상북도 안동시,201801-202608,202404,1087146.0,13.3
