기준월,시도,시군구,행정동,소비주체,지표,금액_천원,금액_원,확인일,확인방법
202301,경상북도,안동시,강남동,외지인(b),관광총소비,1257496,1257496000,2026-09-19,로그인 화면 월별 차트 툴팁 직접 확인
202302,경상북도,안동시,강남동,외지인(b),관광총소비,1114827,1114827000,2026-09-19,로그인 화면 월별 차트 툴팁 직접 확인
202303,경상북도,안동시,강남동,외지인(b),관광총소비,1251621,1251621000,2026-09-19,로그인 화면 월별 차트 툴팁 직접 확인
202304,경상북도,안동시,강남동,외지인(b),관광총소비,1319464,1319464000,2026-09-19,로그인 화면 월별 차트 툴팁 직접 확인
202305,경상북도,안동시,강남동,외지인(b),관광총소비,1483359,1483359000,2026-09-19,로그인 화면 월별 차트 툴팁 직접 확인
202306,경상북도,안동시,강남동,외지인(b),관광총소비,1281329,1281329000,2026-09-19,로그인 화면 월별 차트 툴팁 직접 확인
202307,경상북도,안동시,강남동,외지인(b),관광총소비,1213929,1213929000,2026-09-19,로그인 화면 월별 차트 툴팁 직접 확인
202308,경상북도,안동시,강남동,외지인(b),관광총소비,1303629,1303629000,2026-09-19,로그인 화면 월별 차트 툴팁 직접 확인
202309,경상북도,안동시,강남동,외지인(b),관광총소비,1300924,1300924000,2026-09-19,로그인 화면 월별 차트 툴팁 직접 확인
202310,경상북도,안동시,강남동,외지인(b),관광총소비,1418956,1418956000,2026-09-19,로그인 화면 월별 차트 툴팁 직접 확인
202311,경상북도,안동시,강남동,외지인(b),관광총소비,1275045,1275045000,2026-09-19,로그인 화면 월별 차트 툴팁 직접 확인
202312,경상북도,안동시,강남동,외지인(b),관광총소비,1385369,1385369000,2026-09-19,로그인 화면 월별 차트 툴팁 직접 확인
202401,경상북도,안동시,강남동,외지인(b),관광총소비,1038990,1038990000,2026-09-19,로그인 화면 월별 차트 툴팁 직접 확인
202402,경상북도,안동시,강남동,외지인(b),관광총소비,1200518,1200518000,2026-09-19,로그인 화면 월별 차트 툴팁 직접 확인
202403,경상북도,안동시,강남동,외지인(b),관광총소비,1244042,1244042000,2026-09-19,로그인 화면 월별 차트 툴팁 직접 확인
202404,경상북도,안동시,강남동,외지인(b),관광총소비,1330385,1330385000,2026-09-19,로그인 화면 월별 차트 툴팁 직접 확인
202405,경상북도,안동시,강남동,외지인(b),관광총소비,1382931,1382931000,2026-09-19,로그인 화면 월별 차트 툴팁 직접 확인
202406,경상북도,안동시,강남동,외지인(b),관광총소비,1353276,1353276000,2026-09-19,로그인 화면 월별 차트 툴팁 직접 확인
202407,경상북도,안동시,강남동,외지인(b),관광총소비,1263002,1263002000,2026-09-19,로그인 화면 월별 차트 툴팁 직접 확인
202408,경상북도,안동시,강남동,외지인(b),관광총소비,1459011,1459011000,2026-09-19,로그인 화면 월별 차트 툴팁 직접 확인
202409,경상북도,안동시,강남동,외지인(b),관광총소비,1392105,1392105000,2026-09-19,로그인 화면 월별 차트 툴팁 직접 확인
202410,경상북도,안동시,강남동,외지인(b),관광총소비,1271620,1271620000,2026-09-19,로그인 화면 월별 차트 툴팁 직접 확인
202411,경상북도,안동시,강남동,외지인(b),관광총소비,1239471,1239471000,2026-09-19,로그인 화면 월별 차트 툴팁 직접 확인
202412,경상북도,안동시,강남동,외지인(b),관광총소비,1289192,1289192000,2026-09-19,로그인 화면 월별 차트 툴팁 직접 확인
202501,경상북도,안동시,강남동,외지인(b),관광총소비,1325755,1325755000,2026-09-19,로그인 화면 월별 차트 툴팁 직접 확인
202502,경상북도,안동시,강남동,외지인(b),관광총소비,1023493,1023493000,2026-09-19,로그인 화면 월별 차트 툴팁 직접 확인
202503,경상북도,안동시,강남동,외지인(b),관광총소비,1388396,1388396000,2026-09-19,로그인 화면 월별 차트 툴팁 직접 확인
202504,경상북도,안동시,강남동,외지인(b),관광총소비,1253483,1253483000,2026-09-19,로그인 화면 월별 차트 툴팁 직접 확인
202505,경상북도,안동시,강남동,외지인(b),관광총소비,1491476,1491476000,2026-09-19,로그인 화면 월별 차트 툴팁 직접 확인
202506,경상북도,안동시,강남동,외지인(b),관광총소비,1277689,1277689000,2026-09-19,로그인 화면 월별 차트 툴팁 직접 확인
202507,경상북도,안동시,강남동,외지인(b),관광총소비,1456967,1456967000,2026-09-19,로그인 화면 월별 차트 툴팁 직접 확인
202508,경상북도,안동시,강남동,외지인(b),관광총소비,1439630,1439630000,2026-09-19,로그인 화면 월별 차트 툴팁 직접 확인
202509,경상북도,안동시,강남동,외지인(b),관광총소비,1386489,1386489000,2026-09-19,로그인 화면 월별 차트 툴팁 직접 확인
202510,경상북도,안동시,강남동,외지인(b),관광총소비,1597731,1597731000,2026-09-19,로그인 화면 월별 차트 툴팁 직접 확인
202511,경상북도,안동시,강남동,외지인(b),관광총소비,1453761,1453761000,2026-09-19,로그인 화면 월별 차트 툴팁 직접 확인
202512,경상북도,안동시,강남동,외지인(b),관광총소비,1372419,1372419000,2026-09-19,로그인 화면 월별 차트 툴팁 직접 확인
202601,경상북도,안동시,강남동,외지인(b),관광총소비,1377336,1377336000,2026-09-19,로그인 화면 월별 차트 툴팁 직접 확인
202602,경상북도,안동시,강남동,외지인(b),관광총소비,1278190,1278190000,2026-09-19,로그인 화면 월별 차트 툴팁 직접 확인
202603,경상북도,안동시,강남동,외지인(b),관광총소비,1289590,1289590000,2026-09-19,로그인 화면 월별 차트 툴팁 직접 확인
202604,경상북도,안동시,강남동,외지인(b),관광총소비,1355916,1355916000,2026-09-19,로그인 화면 월별 차트 툴팁 직접 확인
202605,경상북도,안동시,강남동,외지인(b),관광총소비,1472696,1472696000,2026-09-19,로그인 화면 월별 차트 툴팁 직접 확인
202606,경상북도,안동시,강남동,외지인(b),관광총소비,1255744,1255744000,2026-09-19,로그인 화면 월별 차트 툴팁 직접 확인
