조회_시도,조회기간,DT,LRFRN_DIV_CD,LRFRN_DIV_NM,NIGHT_TOU_NUM,TOU_NUM,RATE_NUM
47,2024_1-8,202401,1,내국인,5566278.0,12511264.0,44.49
47,2024_1-8,202402,1,내국인,6935328.0,15122352.0,45.86
47,2024_1-8,202403,1,내국인,7017908.0,15949031.0,44.0
47,2024_1-8,202404,1,내국인,6119318.0,13984960.0,43.76
47,2024_1-8,202405,1,내국인,6717489.0,15236210.0,44.09
47,2024_1-8,202406,1,내국인,6472559.0,14584682.0,44.38
47,2024_1-8,202407,1,내국인,6508458.0,14535828.0,44.78
47,2024_1-8,202408,1,내국인,7420778.0,16327990.0,45.45
47,2024_1-8,202401,2,외국인,127064.0,253337.0,50.16
47,2024_1-8,202402,2,외국인,136279.0,271708.0,50.16
47,2024_1-8,202403,2,외국인,177456.0,353806.0,50.16
47,2024_1-8,202404,2,외국인,203715.0,406161.0,50.16
47,2024_1-8,202405,2,외국인,210244.0,419178.0,50.16
47,2024_1-8,202406,2,외국인,193344.0,385484.0,50.16
47,2024_1-8,202407,2,외국인,190605.0,380022.0,50.16
47,2024_1-8,202408,2,외국인,211838.0,422356.0,50.16
47,2026_1-8,202601,1,내국인,6153426.0,13671003.0,45.01
47,2026_1-8,202602,1,내국인,7081490.0,15584939.0,45.44
47,2026_1-8,202603,1,내국인,6988407.0,16123824.0,43.34
47,2026_1-8,202604,1,내국인,6135806.0,14069688.0,43.61
47,2026_1-8,202605,1,내국인,7604329.0,17091490.0,44.49
47,2026_1-8,202606,1,내국인,6010078.0,13932152.0,43.14
47,2026_1-8,202607,1,내국인,6894641.0,15322807.0,45.0
47,2026_1-8,202608,1,내국인,7710661.0,16978594.0,45.41
47,2026_1-8,202601,2,외국인,144217.0,287788.0,50.11
47,2026_1-8,202602,2,외국인,141735.0,285249.0,49.69
47,2026_1-8,202603,2,외국인,218804.0,438683.0,49.88
47,2026_1-8,202604,2,외국인,319047.0,642715.0,49.64
47,2026_1-8,202605,2,외국인,386263.0,771775.0,50.05
47,2026_1-8,202606,2,외국인,315214.0,634047.0,49.71
47,2026_1-8,202607,2,외국인,289477.0,579873.0,49.92
47,2026_1-8,202608,2,외국인,278852.0,555017.0,50.24
47,2025,202501,1,내국인,7165667.0,15681267.0,45.7
47,2025,202502,1,내국인,5112129.0,11679853.0,43.77
47,2025,202503,1,내국인,6961066.0,15764598.0,44.16
47,2025,202504,1,내국인,5909161.0,13674643.0,43.21
47,2025,202505,1,내국인,8185428.0,17858897.0,45.83
47,2025,202506,1,내국인,6506309.0,14884247.0,43.71
47,2025,202507,1,내국인,7053416.0,15742506.0,44.8
47,2025,202508,1,내국인,7973166.0,17657909.0,45.15
47,2025,202509,1,내국인,6505008.0,15235038.0,42.7
47,2025,202510,1,내국인,9244788.0,20209776.0,45.74
47,2025,202511,1,내국인,6624979.0,15639757.0,42.36
47,2025,202512,1,내국인,6144783.0,13758563.0,44.66
47,2025,202501,2,외국인,130319.0,258877.0,50.34
47,2025,202502,2,외국인,127327.0,252098.0,50.51
47,2025,202503,2,외국인,219115.0,438581.0,49.96
47,2025,202504,2,외국인,275044.0,547013.0,50.28
47,2025,202505,2,외국인,288858.0,576018.0,50.15
47,2025,202506,2,외국인,249914.0,498360.0,50.15
47,2025,202507,2,외국인,266997.0,531200.0,50.26
47,2025,202508,2,외국인,229770.0,454400.0,50.57
47,2025,202509,2,외국인,248743.0,493536.0,50.4
47,2025,202510,2,외국인,293014.0,587370.0,49.89
47,2025,202511,2,외국인,248658.0,501421.0,49.59
47,2025,202512,2,외국인,183456.0,367116.0,49.97
44,2024_1-8,202401,1,내국인,5202289.0,11568700.0,44.97
44,2024_1-8,202402,1,내국인,6102939.0,13151092.0,46.41
44,2024_1-8,202403,1,내국인,6865248.0,15301636.0,44.87
44,2024_1-8,202404,1,내국인,6256341.0,14047267.0,44.54
44,2024_1-8,202405,1,내국인,6403743.0,14201551.0,45.09
44,2024_1-8,202406,1,내국인,6006500.0,13383121.0,44.88
44,2024_1-8,202407,1,내국인,5946853.0,13165197.0,45.17
44,2024_1-8,202408,1,내국인,6709108.0,14730740.0,45.54
44,2024_1-8,202401,2,외국인,137293.0,271955.0,50.48
44,2024_1-8,202402,2,외국인,141064.0,279425.0,50.48
44,2024_1-8,202403,2,외국인,185021.0,366497.0,50.48
44,2024_1-8,202404,2,외국인,184065.0,364602.0,50.48
44,2024_1-8,202405,2,외국인,180985.0,358501.0,50.48
44,2024_1-8,202406,2,외국인,157601.0,312183.0,50.48
44,2024_1-8,202407,2,외국인,172182.0,341064.0,50.48
44,2024_1-8,202408,2,외국인,175791.0,348213.0,50.48
44,2026_1-8,202601,1,내국인,5615307.0,12366858.0,45.41
44,2026_1-8,202602,1,내국인,6276063.0,13689935.0,45.84
44,2026_1-8,202603,1,내국인,6923084.0,15588769.0,44.41
44,2026_1-8,202604,1,내국인,5887172.0,13398752.0,43.94
44,2026_1-8,202605,1,내국인,7268601.0,16092555.0,45.17
44,2026_1-8,202606,1,내국인,6081607.0,13727924.0,44.3
44,2026_1-8,202607,1,내국인,6518576.0,14311955.0,45.55
44,2026_1-8,202608,1,내국인,7119379.0,15588650.0,45.67
44,2026_1-8,202601,2,외국인,162487.0,324436.0,50.08
44,2026_1-8,202602,2,외국인,149562.0,294175.0,50.84
44,2026_1-8,202603,2,외국인,189140.0,376051.0,50.3
44,2026_1-8,202604,2,외국인,249154.0,493530.0,50.48
44,2026_1-8,202605,2,외국인,292197.0,576863.0,50.65
44,2026_1-8,202606,2,외국인,266862.0,529347.0,50.41
44,2026_1-8,202607,2,외국인,263501.0,523758.0,50.31
44,2026_1-8,202608,2,외국인,252697.0,498224.0,50.72
44,2025,202501,1,내국인,5997949.0,13058786.0,45.93
44,2025,202502,1,내국인,5244522.0,11578287.0,45.3
44,2025,202503,1,내국인,6659265.0,14764428.0,45.1
44,2025,202504,1,내국인,5969608.0,13381154.0,44.61
44,2025,202505,1,내국인,7778203.0,16634099.0,46.76
44,2025,202506,1,내국인,6069390.0,13540061.0,44.83
44,2025,202507,1,내국인,6357260.0,13992657.0,45.43
44,2025,202508,1,내국인,7539573.0,16535452.0,45.6
44,2025,202509,1,내국인,6773419.0,15404784.0,43.97
44,2025,202510,1,내국인,8427081.0,18236567.0,46.21
44,2025,202511,1,내국인,6569124.0,14976101.0,43.86
44,2025,202512,1,내국인,6056747.0,13301463.0,45.53
44,2025,202501,2,외국인,130789.0,257248.0,50.84
44,2025,202502,2,외국인,123070.0,244163.0,50.4
44,2025,202503,2,외국인,181884.0,361085.0,50.37
44,2025,202504,2,외국인,211885.0,418540.0,50.62
44,2025,202505,2,외국인,207921.0,411090.0,50.58
44,2025,202506,2,외국인,191859.0,378634.0,50.67
44,2025,202507,2,외국인,222875.0,440996.0,50.54
44,2025,202508,2,외국인,200992.0,399117.0,50.36
44,2025,202509,2,외국인,208489.0,412339.0,50.56
44,2025,202510,2,외국인,217234.0,433448.0,50.12
44,2025,202511,2,외국인,190860.0,379444.0,50.3
44,2025,202512,2,외국인,177541.0,353409.0,50.24
52,2024_1-8,202401,1,내국인,3198227.0,6829339.0,46.83
52,2024_1-8,202402,1,내국인,4047590.0,8398047.0,48.2
52,2024_1-8,202403,1,내국인,3953410.0,8434657.0,46.87
52,2024_1-8,202404,1,내국인,3451647.0,7485709.0,46.11
52,2024_1-8,202405,1,내국인,3949131.0,8443431.0,46.77
52,2024_1-8,202406,1,내국인,3493914.0,7503908.0,46.56
52,2024_1-8,202407,1,내국인,3507447.0,7458829.0,47.02
52,2024_1-8,202408,1,내국인,4188736.0,8899079.0,47.07
52,2024_1-8,202401,2,외국인,79962.0,156615.0,51.06
52,2024_1-8,202402,2,외국인,75529.0,147933.0,51.06
52,2024_1-8,202403,2,외국인,100031.0,195922.0,51.06
52,2024_1-8,202404,2,외국인,112991.0,221305.0,51.06
52,2024_1-8,202405,2,외국인,114541.0,224341.0,51.06
52,2024_1-8,202406,2,외국인,96298.0,188611.0,51.06
