조회_시도,조회기간,SIDO_CD,SIDO_NM,LRFRN_DIV_CD,LRFRN_DIV_NM,NIGHT_TOU_NUM,TOU_NUM
47,2024_1-8,41,경기도,1,내국인,185049757.0,418092986.0
47,2024_1-8,11,서울특별시,1,내국인,169961734.0,394230336.0
47,2024_1-8,28,인천광역시,1,내국인,53092587.0,118083906.0
47,2024_1-8,47,경상북도,1,내국인,52758120.0,118252319.0
47,2024_1-8,44,충청남도,1,내국인,49493024.0,109549306.0
47,2024_1-8,51,강원특별자치도,1,내국인,48000483.0,100240955.0
47,2024_1-8,48,경상남도,1,내국인,47661970.0,104650598.0
47,2024_1-8,26,부산광역시,1,내국인,47129741.0,99754130.0
47,2024_1-8,46,전라남도,1,내국인,38614325.0,84930716.0
47,2024_1-8,43,충청북도,1,내국인,33828290.0,76036429.0
47,2024_1-8,27,대구광역시,1,내국인,32434397.0,69765307.0
47,2024_1-8,52,전북특별자치도,1,내국인,29790107.0,63453001.0
47,2024_1-8,30,대전광역시,1,내국인,25423139.0,56348670.0
47,2024_1-8,29,광주광역시,1,내국인,20848970.0,44217418.0
47,2024_1-8,50,제주특별자치도,1,내국인,20588904.0,39480735.0
47,2024_1-8,31,울산광역시,1,내국인,15018105.0,33261483.0
47,2024_1-8,36,세종특별자치시,1,내국인,7991017.0,18596210.0
47,2024_1-8,11,서울특별시,2,외국인,14111743.0,26851352.0
47,2024_1-8,41,경기도,2,외국인,7398872.0,14811965.0
47,2024_1-8,28,인천광역시,2,외국인,6977873.0,14345701.0
47,2024_1-8,50,제주특별자치도,2,외국인,4064402.0,7930589.0
47,2024_1-8,26,부산광역시,2,외국인,3721487.0,7280570.0
47,2024_1-8,48,경상남도,2,외국인,2474770.0,4981954.0
47,2024_1-8,46,전라남도,2,외국인,2469734.0,4780928.0
47,2024_1-8,47,경상북도,2,외국인,1450550.0,2892055.0
47,2024_1-8,44,충청남도,2,외국인,1334006.0,2642443.0
47,2024_1-8,31,울산광역시,2,외국인,1083695.0,2181661.0
47,2024_1-8,51,강원특별자치도,2,외국인,1016677.0,2144258.0
47,2024_1-8,43,충청북도,2,외국인,874526.0,1724871.0
47,2024_1-8,52,전북특별자치도,2,외국인,785474.0,1538438.0
47,2024_1-8,27,대구광역시,2,외국인,636041.0,1234274.0
47,2024_1-8,30,대전광역시,2,외국인,325941.0,636112.0
47,2024_1-8,29,광주광역시,2,외국인,304687.0,591799.0
47,2024_1-8,36,세종특별자치시,2,외국인,111804.0,218818.0
47,2026_1-8,41,경기도,1,내국인,194570147.0,438468310.0
47,2026_1-8,11,서울특별시,1,내국인,178069524.0,418165317.0
47,2026_1-8,28,인천광역시,1,내국인,55242769.0,123541719.0
47,2026_1-8,47,경상북도,1,내국인,54578841.0,122774501.0
47,2026_1-8,44,충청남도,1,내국인,51689793.0,114765399.0
47,2026_1-8,26,부산광역시,1,내국인,50251701.0,107490575.0
47,2026_1-8,48,경상남도,1,내국인,49343973.0,108142009.0
47,2026_1-8,51,강원특별자치도,1,내국인,49212994.0,102402104.0
47,2026_1-8,43,충청북도,1,내국인,35747262.0,80584230.0
47,2026_1-8,27,대구광역시,1,내국인,34186549.0,73910952.0
47,2026_1-8,52,전북특별자치도,1,내국인,31234485.0,66540271.0
47,2026_1-8,30,대전광역시,1,내국인,27285181.0,60653113.0
47,2026_1-8,50,제주특별자치도,1,내국인,20617410.0,39483367.0
47,2026_1-8,31,울산광역시,1,내국인,15008146.0,33321057.0
47,2026_1-8,12,전남광주통합특별시,1,내국인,10913709.0,22224579.0
47,2026_1-8,36,세종특별자치시,1,내국인,8654097.0,20230462.0
47,2026_1-8,11,서울특별시,2,외국인,20143814.0,38606792.0
47,2026_1-8,28,인천광역시,2,외국인,10476962.0,21580816.0
47,2026_1-8,41,경기도,2,외국인,9106040.0,18244111.0
