조회_시도,조회기간,SIDO_CD,SGG_CD,ADONG_CD,SIDO_NM,SGG_NM,ADONG_NM,LRFRN_DIV_CD,LRFRN_DIV_NM,NIGHT_TOU_NUM,TOU_NUM,RATE_NUM,RNK
47,2024_1-8,47,47170,47170620,경상북도,안동시,평화동,1,내국인,88690.0,165501.0,53.59,1
47,2024_1-8,47,47210,47210600,경상북도,영주시,휴천2동,1,내국인,403691.0,781872.0,51.63,2
47,2024_1-8,47,47170,47170650,경상북도,안동시,옥동,1,내국인,880914.0,1711528.0,51.47,3
47,2024_1-8,47,47150,47150610,경상북도,김천시,지좌동,1,내국인,196452.0,382728.0,51.33,4
47,2024_1-8,47,47170,47170600,경상북도,안동시,태화동,1,내국인,351507.0,697886.0,50.37,5
47,2024_1-8,47,47930,47930360,경상북도,울진군,온정면,1,내국인,194370.0,399066.0,48.71,6
47,2024_1-8,47,47210,47210620,경상북도,영주시,가흥1동,1,내국인,577625.0,1202032.0,48.05,7
47,2024_1-8,47,47210,47210590,경상북도,영주시,휴천1동,1,내국인,110732.0,231332.0,47.87,8
47,2024_1-8,47,47190,47190670,경상북도,구미시,인동동,1,내국인,886669.0,1904511.0,46.56,9
47,2024_1-8,47,47940,47940250,경상북도,울릉군,울릉읍,1,내국인,493463.0,1063989.0,46.38,10
47,2024_1-8,47,47150,47150575,경상북도,김천시,대신동,2,외국인,31968.0,50128.0,63.77,1
47,2024_1-8,47,47250,47250560,경상북도,상주시,동성동,2,외국인,1675.0,2712.0,61.76,2
47,2024_1-8,47,47111,47111545,경상북도,포항시 남구,해도동,2,외국인,9079.0,14915.0,60.87,3
47,2024_1-8,47,47170,47170620,경상북도,안동시,평화동,2,외국인,1176.0,1933.0,60.84,4
47,2024_1-8,47,47113,47113690,경상북도,포항시 북구,두호동,2,외국인,21553.0,35718.0,60.34,5
47,2024_1-8,47,47130,47130660,경상북도,경주시,보덕동,2,외국인,60725.0,101206.0,60.0,6
47,2024_1-8,47,47170,47170510,경상북도,안동시,중구동,2,외국인,9808.0,16626.0,58.99,7
47,2024_1-8,47,47190,47190670,경상북도,구미시,인동동,2,외국인,27099.0,45985.0,58.93,8
47,2024_1-8,47,47280,47280570,경상북도,문경시,점촌1동,2,외국인,3911.0,6678.0,58.57,9
47,2024_1-8,47,47170,47170600,경상북도,안동시,태화동,2,외국인,4197.0,7192.0,58.36,10
47,2026_1-8,47,47170,47170620,경상북도,안동시,평화동,1,내국인,58025.0,110232.0,52.64,1
47,2026_1-8,47,47210,47210600,경상북도,영주시,휴천2동,1,내국인,404431.0,785662.0,51.48,2
47,2026_1-8,47,47150,47150610,경상북도,김천시,지좌동,1,내국인,199460.0,389836.0,51.17,3
47,2026_1-8,47,47170,47170650,경상북도,안동시,옥동,1,내국인,876451.0,1731922.0,50.61,4
47,2026_1-8,47,47210,47210590,경상북도,영주시,휴천1동,1,내국인,128583.0,257155.0,50.0,5
47,2026_1-8,47,47930,47930360,경상북도,울진군,온정면,1,내국인,185806.0,377580.0,49.21,6
47,2026_1-8,47,47210,47210525,경상북도,영주시,하망동,1,내국인,249919.0,517765.0,48.27,7
47,2026_1-8,47,47940,47940250,경상북도,울릉군,울릉읍,1,내국인,404458.0,852068.0,47.47,8
47,2026_1-8,47,47170,47170600,경상북도,안동시,태화동,1,내국인,374998.0,791854.0,47.36,9
47,2026_1-8,47,47210,47210610,경상북도,영주시,휴천3동,1,내국인,219617.0,465587.0,47.17,10
47,2026_1-8,47,47210,47210525,경상북도,영주시,하망동,2,외국인,3812.0,5743.0,66.38,1
47,2026_1-8,47,47280,47280570,경상북도,문경시,점촌1동,2,외국인,3921.0,6436.0,60.92,2
47,2026_1-8,47,47170,47170520,경상북도,안동시,명륜동,2,외국인,8612.0,14491.0,59.43,3
47,2026_1-8,47,47210,47210550,경상북도,영주시,영주1동,2,외국인,6518.0,11023.0,59.13,4
47,2026_1-8,47,47170,47170510,경상북도,안동시,중구동,2,외국인,14459.0,24475.0,59.08,5
47,2026_1-8,47,47111,47111545,경상북도,포항시 남구,해도동,2,외국인,6855.0,11726.0,58.46,6
47,2026_1-8,47,47190,47190670,경상북도,구미시,인동동,2,외국인,38766.0,66323.0,58.45,7
47,2026_1-8,47,47113,47113690,경상북도,포항시 북구,두호동,2,외국인,24558.0,42138.0,58.28,8
47,2026_1-8,47,47280,47280580,경상북도,문경시,점촌2동,2,외국인,7958.0,13843.0,57.49,9
47,2026_1-8,47,47210,47210250,경상북도,영주시,풍기읍,2,외국인,14982.0,26240.0,57.1,10
47,2025,47,47170,47170620,경상북도,안동시,평화동,1,내국인,114792.0,210563.0,54.52,1
47,2025,47,47210,47210600,경상북도,영주시,휴천2동,1,내국인,667046.0,1278889.0,52.16,2
47,2025,47,47150,47150610,경상북도,김천시,지좌동,1,내국인,318933.0,615954.0,51.78,3
47,2025,47,47170,47170650,경상북도,안동시,옥동,1,내국인,1397648.0,2726493.0,51.26,4
47,2025,47,47930,47930360,경상북도,울진군,온정면,1,내국인,286690.0,582809.0,49.19,5
47,2025,47,47210,47210590,경상북도,영주시,휴천1동,1,내국인,175225.0,368998.0,47.49,6
47,2025,47,47940,47940250,경상북도,울릉군,울릉읍,1,내국인,669165.0,1410401.0,47.45,7
47,2025,47,47170,47170600,경상북도,안동시,태화동,1,내국인,556349.0,1184564.0,46.97,8
47,2025,47,47210,47210525,경상북도,영주시,하망동,1,내국인,399938.0,862599.0,46.36,9
47,2025,47,47210,47210610,경상북도,영주시,휴천3동,1,내국인,334636.0,722655.0,46.31,10
47,2025,47,47170,47170630,경상북도,안동시,안기동,2,외국인,2827.0,4415.0,64.03,1
47,2025,47,47210,47210525,경상북도,영주시,하망동,2,외국인,3439.0,5561.0,61.84,2
47,2025,47,47111,47111545,경상북도,포항시 남구,해도동,2,외국인,10801.0,17847.0,60.52,3
47,2025,47,47280,47280570,경상북도,문경시,점촌1동,2,외국인,5421.0,8957.0,60.52,4
47,2025,47,47230,47230520,경상북도,영천시,중앙동,2,외국인,11917.0,19807.0,60.17,5
47,2025,47,47170,47170510,경상북도,안동시,중구동,2,외국인,20478.0,34309.0,59.69,6
47,2025,47,47210,47210250,경상북도,영주시,풍기읍,2,외국인,25796.0,43266.0,59.62,7
47,2025,47,47113,47113690,경상북도,포항시 북구,두호동,2,외국인,33530.0,56898.0,58.93,8
47,2025,47,47920,47920320,경상북도,봉화군,봉성면,2,외국인,7584.0,13007.0,58.31,9
47,2025,47,47190,47190670,경상북도,구미시,인동동,2,외국인,51787.0,89153.0,58.09,10
44,2024_1-8,44,44133,44133520,충청남도,천안시 서북구,성정2동,1,내국인,1558107.0,2982917.0,52.23,1
44,2024_1-8,44,44133,44133510,충청남도,천안시 서북구,성정1동,1,내국인,630939.0,1240312.0,50.87,2
44,2024_1-8,44,44133,44133530,충청남도,천안시 서북구,쌍용1동,1,내국인,1023677.0,2123411.0,48.21,3
44,2024_1-8,44,44133,44133550,충청남도,천안시 서북구,쌍용3동,1,내국인,271721.0,565904.0,48.02,4
44,2024_1-8,44,44210,44210510,충청남도,서산시,부춘동,1,내국인,980695.0,2149553.0,45.62,5
44,2024_1-8,44,44210,44210550,충청남도,서산시,석남동,1,내국인,764417.0,1702336.0,44.9,6
44,2024_1-8,44,44270,44270520,충청남도,당진시,당진2동,1,내국인,317752.0,709534.0,44.78,7
44,2024_1-8,44,44131,44131550,충청남도,천안시 동남구,봉명동,1,내국인,857579.0,1922336.0,44.61,8
44,2024_1-8,44,44210,44210360,충청남도,서산시,성연면,1,내국인,287144.0,643891.0,44.6,9
44,2024_1-8,44,44133,44133540,충청남도,천안시 서북구,쌍용2동,1,내국인,747025.0,1702844.0,43.87,10
44,2024_1-8,44,44770,44770340,충청남도,서천군,한산면,2,외국인,1198.0,1819.0,65.86,1
44,2024_1-8,44,44710,44710250,충청남도,금산군,금산읍,2,외국인,7934.0,12974.0,61.15,2
44,2024_1-8,44,44133,44133520,충청남도,천안시 서북구,성정2동,2,외국인,46059.0,77360.0,59.54,3
44,2024_1-8,44,44810,44810350,충청남도,예산군,응봉면,2,외국인,5364.0,9140.0,58.69,4
44,2024_1-8,44,44133,44133566,충청남도,천안시 서북구,불당1동,2,외국인,27185.0,46712.0,58.2,5
44,2024_1-8,44,44250,44250510,충청남도,계룡시,금암동,2,외국인,1731.0,2991.0,57.87,6
44,2024_1-8,44,44133,44133530,충청남도,천안시 서북구,쌍용1동,2,외국인,10486.0,18171.0,57.71,7
44,2024_1-8,44,44210,44210510,충청남도,서산시,부춘동,2,외국인,12335.0,21678.0,56.9,8
44,2024_1-8,44,44270,44270340,충청남도,당진시,정미면,2,외국인,3735.0,6584.0,56.73,9
44,2024_1-8,44,44230,44230510,충청남도,논산시,취암동,2,외국인,25467.0,45392.0,56.1,10
44,2026_1-8,44,44133,44133510,충청남도,천안시 서북구,성정1동,1,내국인,562204.0,1093316.0,51.42,1
44,2026_1-8,44,44133,44133550,충청남도,천안시 서북구,쌍용3동,1,내국인,257698.0,524471.0,49.13,2
44,2026_1-8,44,44133,44133520,충청남도,천안시 서북구,성정2동,1,내국인,1481756.0,3194110.0,46.39,3
44,2026_1-8,44,44210,44210510,충청남도,서산시,부춘동,1,내국인,959505.0,2090798.0,45.89,4
44,2026_1-8,44,44270,44270520,충청남도,당진시,당진2동,1,내국인,343635.0,766888.0,44.81,5
44,2026_1-8,44,44270,44270510,충청남도,당진시,당진1동,1,내국인,1166568.0,2641274.0,44.17,6
44,2026_1-8,44,44133,44133540,충청남도,천안시 서북구,쌍용2동,1,내국인,690035.0,1566827.0,44.04,7
44,2026_1-8,44,44210,44210360,충청남도,서산시,성연면,1,내국인,307286.0,698039.0,44.02,8
44,2026_1-8,44,44210,44210550,충청남도,서산시,석남동,1,내국인,792921.0,1807767.0,43.86,9
44,2026_1-8,44,44200,44200410,충청남도,아산시,신창면,1,내국인,659587.0,1507593.0,43.75,10
44,2026_1-8,44,44770,44770340,충청남도,서천군,한산면,2,외국인,3533.0,4699.0,75.19,1
44,2026_1-8,44,44230,44230520,충청남도,논산시,부창동,2,외국인,13925.0,22880.0,60.86,2
44,2026_1-8,44,44133,44133520,충청남도,천안시 서북구,성정2동,2,외국인,54808.0,90909.0,60.29,3
44,2026_1-8,44,44133,44133530,충청남도,천안시 서북구,쌍용1동,2,외국인,15492.0,26185.0,59.16,4
44,2026_1-8,44,44810,44810250,충청남도,예산군,예산읍,2,외국인,31685.0,53881.0,58.81,5
44,2026_1-8,44,44230,44230250,충청남도,논산시,강경읍,2,외국인,7404.0,12651.0,58.53,6
44,2026_1-8,44,44210,44210510,충청남도,서산시,부춘동,2,외국인,16771.0,28860.0,58.11,7
