조회_시도,조회기간,DT,LRFRN_DIV_CD,LRFRN_DIV_NM,NIGHT_CNSM_AMT,CNSM_AMT
47,2024_1-8,202401,0,현지인,2307636510.8,11239553250.699999
47,2024_1-8,202402,0,현지인,2564295303.4000015,11580289703.49999
47,2024_1-8,202403,0,현지인,3320621525.6,15201062483.79999
47,2024_1-8,202404,0,현지인,3250960725.599996,15756054267.900003
47,2024_1-8,202405,0,현지인,3657218658.099999,16604158288.200014
47,2024_1-8,202406,0,현지인,3360977858.0000005,14608821013.199986
47,2024_1-8,202407,0,현지인,2956796627.6999984,12846961928.600002
47,2024_1-8,202408,0,현지인,2747066791.2000027,12296976783.8
47,2024_1-8,202401,1,외지인,123659173804.80005,394601503857.5998
47,2024_1-8,202402,1,외지인,128583810830.29999,410098084253.10004
47,2024_1-8,202403,1,외지인,143524788141.6002,453515198146.49994
47,2024_1-8,202404,1,외지인,144665594103.69998,449640992299.1
47,2024_1-8,202405,1,외지인,157531922017.8001,487981836948.8002
47,2024_1-8,202406,1,외지인,146267825626.7999,451818534275.39966
47,2024_1-8,202407,1,외지인,146816781632.50003,445457483026.99945
47,2024_1-8,202408,1,외지인,160482144895.30008,501036163073.3003
47,2024_1-8,202401,2,외국인,1034228356.3999999,2414687849.1000004
47,2024_1-8,202402,2,외국인,1226166620.9000006,2773464517.4
47,2024_1-8,202403,2,외국인,1903218599.4000003,4618505879.500002
47,2024_1-8,202404,2,외국인,1896334936.0000002,4639326207.3
47,2024_1-8,202405,2,외국인,1983713563.0000002,5046167160.999999
47,2024_1-8,202406,2,외국인,1745875440.9,4395343431.299998
47,2024_1-8,202407,2,외국인,1740217188.3999996,4089681975.5000005
47,2024_1-8,202408,2,외국인,2337388383.3999987,5110200564.699999
47,2026_1-8,202601,0,현지인,2423175508.3000016,10846959713.000002
47,2026_1-8,202602,0,현지인,2309220070.2999997,10681319271.999996
47,2026_1-8,202603,0,현지인,2610029122.400001,13691880924.300003
47,2026_1-8,202604,0,현지인,2842653511.3,13704584787.799997
47,2026_1-8,202605,0,현지인,3178083228.6999993,15660966045.799994
47,2026_1-8,202606,0,현지인,2902974378.5,13267076635.499998
47,2026_1-8,202607,0,현지인,2709754276.1,12132990152.600012
47,2026_1-8,202608,0,현지인,2580163924.099999,11310426943.999998
47,2026_1-8,202601,1,외지인,134035535174.89995,447711782463.00006
47,2026_1-8,202602,1,외지인,132138020434.89998,446915448535.6995
47,2026_1-8,202603,1,외지인,149968379203.50003,483735155814.2995
47,2026_1-8,202604,1,외지인,152528598816.49997,497472454558.60016
47,2026_1-8,202605,1,외지인,172607037598.6999,561687544108.8
47,2026_1-8,202606,1,외지인,151757314974.9,489692020329.30035
47,2026_1-8,202607,1,외지인,155159590900.80008,501121569274.1002
47,2026_1-8,202608,1,외지인,158765539429.40005,530582626594.80005
47,2026_1-8,202601,2,외국인,1230453711.1,3031058906.2000017
47,2026_1-8,202602,2,외국인,1207949592.8,3046291103.1000013
47,2026_1-8,202603,2,외국인,3115286801.2,8021123678.599998
47,2026_1-8,202604,2,외국인,3575639122.600002,9165577876.799994
47,2026_1-8,202605,2,외국인,3892490514.900001,9483358191.699995
47,2026_1-8,202606,2,외국인,3057358599.3000007,7487848267.899999
47,2026_1-8,202607,2,외국인,2967349073.2000003,7217154399.1
47,2026_1-8,202608,2,외국인,2885963303.000002,7133950190.0999975
47,2025,202501,0,현지인,2252222681.3000007,10347899804.300001
47,2025,202502,0,현지인,2007921158.1000004,9254525631.800005
47,2025,202503,0,현지인,2507679274.4,12603975497.999998
