조회_시도,조회기간,DT,LRFRN_DIV_CD,LRFRN_DIV_NM,NIGHT_CNSM_AMT,CNSM_AMT,RATE_NUM
47,2024_1-8,202401,0,현지인,2307636510.8,11239553250.699999,20.53
47,2024_1-8,202402,0,현지인,2564295303.4000015,11580289703.49999,22.14
47,2024_1-8,202403,0,현지인,3320621525.6,15201062483.79999,21.84
47,2024_1-8,202404,0,현지인,3250960725.599996,15756054267.900003,20.63
47,2024_1-8,202405,0,현지인,3657218658.099999,16604158288.200014,22.03
47,2024_1-8,202406,0,현지인,3360977858.0000005,14608821013.199986,23.01
47,2024_1-8,202407,0,현지인,2956796627.6999984,12846961928.600002,23.02
47,2024_1-8,202408,0,현지인,2747066791.2000027,12296976783.8,22.34
47,2024_1-8,202401,1,외지인,123659173804.80005,394601503857.5998,31.34
47,2024_1-8,202402,1,외지인,128583810830.29999,410098084253.10004,31.35
47,2024_1-8,202403,1,외지인,143524788141.6002,453515198146.49994,31.65
47,2024_1-8,202404,1,외지인,144665594103.69998,449640992299.1,32.17
47,2024_1-8,202405,1,외지인,157531922017.8001,487981836948.8002,32.28
47,2024_1-8,202406,1,외지인,146267825626.7999,451818534275.39966,32.37
47,2024_1-8,202407,1,외지인,146816781632.50003,445457483026.99945,32.96
47,2024_1-8,202408,1,외지인,160482144895.30008,501036163073.3003,32.03
47,2024_1-8,202401,2,외국인,1034228356.3999999,2414687849.1000004,42.83
47,2024_1-8,202402,2,외국인,1226166620.9000006,2773464517.4,44.21
47,2024_1-8,202403,2,외국인,1903218599.4000003,4618505879.500002,41.21
47,2024_1-8,202404,2,외국인,1896334936.0000002,4639326207.3,40.88
47,2024_1-8,202405,2,외국인,1983713563.0000002,5046167160.999999,39.31
47,2024_1-8,202406,2,외국인,1745875440.9,4395343431.299998,39.72
47,2024_1-8,202407,2,외국인,1740217188.3999996,4089681975.5000005,42.55
47,2024_1-8,202408,2,외국인,2337388383.3999987,5110200564.699999,45.74
47,2024_1-8,202401,3,내국인,125966810315.60008,405841057108.2998,31.04
47,2024_1-8,202402,3,내국인,131148106133.69998,421678373956.6,31.1
47,2024_1-8,202403,3,내국인,146845409667.20013,468716260630.3001,31.33
47,2024_1-8,202404,3,내국인,147916554829.29996,465397046566.9999,31.78
47,2024_1-8,202405,3,내국인,161189140675.9001,504585995237.00024,31.94
47,2024_1-8,202406,3,내국인,149628803484.79993,466427355288.59973,32.08
47,2024_1-8,202407,3,내국인,149773578260.2,458304444955.5995,32.68
47,2024_1-8,202408,3,내국인,163229211686.5001,513333139857.1005,31.8
47,2026_1-8,202601,0,현지인,2423175508.3000016,10846959713.000002,22.34
47,2026_1-8,202602,0,현지인,2309220070.2999997,10681319271.999996,21.62
47,2026_1-8,202603,0,현지인,2610029122.400001,13691880924.300003,19.06
47,2026_1-8,202604,0,현지인,2842653511.3,13704584787.799997,20.74
47,2026_1-8,202605,0,현지인,3178083228.6999993,15660966045.799994,20.29
47,2026_1-8,202606,0,현지인,2902974378.5,13267076635.499998,21.88
47,2026_1-8,202607,0,현지인,2709754276.1,12132990152.600012,22.33
47,2026_1-8,202608,0,현지인,2580163924.099999,11310426943.999998,22.81
47,2026_1-8,202601,1,외지인,134035535174.89995,447711782463.00006,29.94
47,2026_1-8,202602,1,외지인,132138020434.89998,446915448535.6995,29.57
47,2026_1-8,202603,1,외지인,149968379203.50003,483735155814.2995,31.0
47,2026_1-8,202604,1,외지인,152528598816.49997,497472454558.60016,30.66
47,2026_1-8,202605,1,외지인,172607037598.6999,561687544108.8,30.73
47,2026_1-8,202606,1,외지인,151757314974.9,489692020329.30035,30.99
47,2026_1-8,202607,1,외지인,155159590900.80008,501121569274.1002,30.96
47,2026_1-8,202608,1,외지인,158765539429.40005,530582626594.80005,29.92
47,2026_1-8,202601,2,외국인,1230453711.1,3031058906.2000017,40.59
47,2026_1-8,202602,2,외국인,1207949592.8,3046291103.1000013,39.65
47,2026_1-8,202603,2,외국인,3115286801.2,8021123678.599998,38.84
47,2026_1-8,202604,2,외국인,3575639122.600002,9165577876.799994,39.01
47,2026_1-8,202605,2,외국인,3892490514.900001,9483358191.699995,41.05
47,2026_1-8,202606,2,외국인,3057358599.3000007,7487848267.899999,40.83
47,2026_1-8,202607,2,외국인,2967349073.2000003,7217154399.1,41.12
47,2026_1-8,202608,2,외국인,2885963303.000002,7133950190.0999975,40.45
47,2026_1-8,202601,3,내국인,136458710683.19994,458558742176.0001,29.76
47,2026_1-8,202602,3,내국인,134447240505.19998,457596767807.6996,29.38
47,2026_1-8,202603,3,내국인,152578408325.90002,497427036738.5995,30.67
47,2026_1-8,202604,3,내국인,155371252327.79996,511177039346.4002,30.39
47,2026_1-8,202605,3,내국인,175785120827.3999,577348510154.6001,30.45
47,2026_1-8,202606,3,내국인,154660289353.4,502959096964.80035,30.75
47,2026_1-8,202607,3,내국인,157869345176.90005,513254559426.7004,30.76
47,2026_1-8,202608,3,내국인,161345703353.50012,541893053538.8001,29.77
47,2025,202501,0,현지인,2252222681.3000007,10347899804.300001,21.77
47,2025,202502,0,현지인,2007921158.1000004,9254525631.800005,21.7
47,2025,202503,0,현지인,2507679274.4,12603975497.999998,19.9
47,2025,202504,0,현지인,2662251099.9000006,12944824973.999994,20.57
47,2025,202505,0,현지인,2979536878.1000013,14690043939.299995,20.28
47,2025,202506,0,현지인,2823889512.2000017,12710799350.899992,22.22
47,2025,202507,0,현지인,2786241780.5000005,12393235960.099998,22.48
47,2025,202508,0,현지인,2783287020.3999996,11765408310.899994,23.66
47,2025,202509,0,현지인,2539175275.2999997,12149322951.599997,20.9
47,2025,202510,0,현지인,2839913297.299999,15801540938.399998,17.97
47,2025,202511,0,현지인,3117033045.0,16230153853.0,19.21
47,2025,202512,0,현지인,2628837174.0,14389590387.0,18.27
47,2025,202501,1,외지인,128249797366.89993,434560124906.2001,29.51
47,2025,202502,1,외지인,116601615229.40007,369310116935.5996,31.57
47,2025,202503,1,외지인,133114272991.4001,435423790827.5005,30.57
47,2025,202504,1,외지인,133736247288.40001,424138971022.4998,31.53
47,2025,202505,1,외지인,152733758704.69998,484681966903.4001,31.51
47,2025,202506,1,외지인,135083707508.79994,424798592605.69977,31.8
47,2025,202507,1,외지인,148653281408.7001,457443236720.40015,32.5
47,2025,202508,1,외지인,157716694193.4999,503460835287.7999,31.33
47,2025,202509,1,외지인,135322130763.59993,430934854880.8003,31.4
