조회_시도,조회기간,SIDO_CD,SIDO_NM,LRFRN_DIV_CD,LRFRN_DIV_NM,NIGHT_CNSM_AMT,CNSM_AMT
47,2024_1-8,11,서울특별시,0,현지인,474217233108.0997,1806033807129.3047
47,2024_1-8,41,경기도,0,현지인,326248144859.5991,1248484469254.2993
47,2024_1-8,26,부산광역시,0,현지인,99746925171.3999,453645332099.29974
47,2024_1-8,48,경상남도,0,현지인,46773114071.40001,196771394580.50027
47,2024_1-8,30,대전광역시,0,현지인,46413668617.299995,198431259039.90015
47,2024_1-8,27,대구광역시,0,현지인,37349149453.29994,145368600543.39984
47,2024_1-8,51,강원특별자치도,0,현지인,33376003228.900043,146451452293.90018
47,2024_1-8,28,인천광역시,0,현지인,31503731087.299995,108658262594.90013
47,2024_1-8,44,충청남도,0,현지인,27990050786.699997,102322977775.09969
47,2024_1-8,43,충청북도,0,현지인,27461201905.20003,110003934251.60002
47,2024_1-8,29,광주광역시,0,현지인,25660203765.100018,125139276764.80017
47,2024_1-8,47,경상북도,0,현지인,24165574000.400047,110133877719.70006
47,2024_1-8,50,제주특별자치도,0,현지인,19414039543.499996,95652024797.0
47,2024_1-8,46,전라남도,0,현지인,19377925359.800003,86168551148.90007
47,2024_1-8,31,울산광역시,0,현지인,15573572332.000015,62129931242.19998
47,2024_1-8,52,전북특별자치도,0,현지인,15080343699.199993,62307013032.700066
47,2024_1-8,36,세종특별자치시,0,현지인,2230293801.899999,8159396695.8
47,2024_1-8,11,서울특별시,1,외지인,11812856664834.797,30615943293263.695
47,2024_1-8,41,경기도,1,외지인,8244233588124.807,25040170899147.918
47,2024_1-8,26,부산광역시,1,외지인,2142483109999.5967,6110706094858.207
47,2024_1-8,28,인천광역시,1,외지인,1985534710113.4004,5679342876606.485
47,2024_1-8,27,대구광역시,1,외지인,1348517509229.8994,3917036779603.0938
47,2024_1-8,43,충청북도,1,외지인,1208986803807.803,3626469660396.904
47,2024_1-8,48,경상남도,1,외지인,1184832351370.8015,3705194918692.2905
47,2024_1-8,47,경상북도,1,외지인,1151532041052.8005,3594149795880.8003
47,2024_1-8,44,충청남도,1,외지인,1141457085730.299,3635529028593.8003
47,2024_1-8,30,대전광역시,1,외지인,1060141976478.5999,3136365272729.002
47,2024_1-8,51,강원특별자치도,1,외지인,1035631219050.0996,3354216567608.594
47,2024_1-8,52,전북특별자치도,1,외지인,695142189812.9994,2206375971067.7065
47,2024_1-8,46,전라남도,1,외지인,689229015418.9989,2389820600535.9956
47,2024_1-8,29,광주광역시,1,외지인,685789547453.8998,2025141599248.5005
47,2024_1-8,50,제주특별자치도,1,외지인,670772223241.0,2031870303781.2993
