조회_시도,조회기간,SIDO_CD,SIDO_NM,LRFRN_DIV_CD,LRFRN_DIV_NM,NIGHT_CNSM_AMT,CNSM_AMT,RATE_NUM
47,2024_1-8,28,인천광역시,0,현지인,472555966309.50055,1629873938923.5261,28.99
47,2024_1-8,44,충청남도,0,현지인,475830863373.90265,1739490622176.626,27.35
47,2024_1-8,36,세종특별자치시,0,현지인,2230293801.899998,8159396695.800002,27.33
47,2024_1-8,11,서울특별시,0,현지인,11855430827702.398,45150845178230.34,26.26
47,2024_1-8,41,경기도,0,현지인,17943647967275.145,68666645808979.84,26.13
47,2024_1-8,27,대구광역시,0,현지인,360307919080.0987,1418451282610.2778,25.4
47,2024_1-8,31,울산광역시,0,현지인,77867861659.99976,310649656210.99945,25.07
47,2024_1-8,43,충청북도,0,현지인,411918028578.0059,1650059013773.997,24.96
47,2024_1-8,52,전북특별자치도,0,현지인,241285499187.20056,996912208523.2069,24.2
47,2024_1-8,48,경상남도,0,현지인,1075781623642.1809,4525742075351.596,23.77
47,2024_1-8,30,대전광역시,0,현지인,232068343086.5003,992156295199.4983,23.39
47,2024_1-8,51,강원특별자치도,0,현지인,600768058120.2063,2636126141290.2354,22.79
47,2024_1-8,12,전남광주통합특별시,0,현지인,554615376741.1088,2521404509099.8335,22.0
47,2024_1-8,26,부산광역시,0,현지인,1595950802742.375,7258325313588.82,21.99
47,2024_1-8,47,경상북도,0,현지인,579973776009.6113,2643213065272.8926,21.94
47,2024_1-8,50,제주특별자치도,0,현지인,38828079087.00001,191304049594.00012,20.3
47,2024_1-8,11,서울특별시,1,외지인,295321416620868.3,765398582331596.0,38.58
47,2024_1-8,31,울산광역시,1,외지인,2719168398866.0117,7555994420515.514,35.99
47,2024_1-8,26,부산광역시,1,외지인,34279729759992.895,97771297517732.14,35.06
47,2024_1-8,28,인천광역시,1,외지인,29783020651701.14,85190143149095.22,34.96
47,2024_1-8,27,대구광역시,1,외지인,13288189624121.879,38847480812308.68,34.21
47,2024_1-8,36,세종특별자치시,1,외지인,108048935855.1,316803264799.3998,34.11
47,2024_1-8,30,대전광역시,1,외지인,5300709882393.02,15681826363644.988,33.8
47,2024_1-8,43,충청북도,1,외지인,18134802057117.734,54397044905953.46,33.34
47,2024_1-8,50,제주특별자치도,1,외지인,1341544446481.9998,4063740607562.603,33.01
47,2024_1-8,41,경기도,1,외지인,453432847346807.8,1377209399453185.8,32.92
47,2024_1-8,47,경상북도,1,외지인,27636768985267.477,86259595101141.9,32.04
47,2024_1-8,48,경상남도,1,외지인,27251144081529.418,85219483129923.06,31.98
47,2024_1-8,52,전북특별자치도,1,외지인,11122275037007.938,35302015537084.51,31.51
47,2024_1-8,44,충청남도,1,외지인,19404770457414.75,61803993486095.28,31.4
47,2024_1-8,51,강원특별자치도,1,외지인,18641361942901.61,60375898216953.79,30.88
47,2024_1-8,12,전남광주통합특별시,1,외지인,18591986076487.047,62701761208035.234,29.65
47,2024_1-8,47,경상북도,2,외국인,332811434121.5909,794097062059.1919,41.91
47,2024_1-8,52,전북특별자치도,2,외국인,135726033011.20161,327736149761.60504,41.41
47,2024_1-8,31,울산광역시,2,외국인,22104611929.999996,54146005232.49995,40.82
47,2024_1-8,48,경상남도,2,외국인,266283322795.11005,667813783366.5231,39.87
47,2024_1-8,28,인천광역시,2,외국인,2235810852265.4917,5647620981733.526,39.59
47,2024_1-8,43,충청북도,2,외국인,71835017029.4985,185122505050.4999,38.8
47,2024_1-8,27,대구광역시,2,외국인,140776962756.19955,364773264554.8002,38.59
