조회_시도,조회기간,SIDO_CD,SGG_CD,ADONG_CD,SIDO_NM,SGG_NM,ADONG_NM,LRFRN_DIV_CD,LRFRN_DIV_NM,NIGHT_CNSM_AMT,CNSM_AMT,RATE_NUM,RNK
47,2024_1-8,47,47250,47250410,경상북도,상주시,화서면,0,현지인,862076.0,862076.0,100.0,1
47,2024_1-8,47,47920,47920340,경상북도,봉화군,춘양면,0,현지인,504989.0,504989.0,100.0,2
47,2024_1-8,47,47750,47750340,경상북도,청송군,현서면,0,현지인,445099.0,445099.0,100.0,3
47,2024_1-8,47,47920,47920330,경상북도,봉화군,법전면,0,현지인,257409.0,257409.0,100.0,4
47,2024_1-8,47,47280,47280350,경상북도,문경시,동로면,0,현지인,15280.0,15280.0,100.0,5
47,2024_1-8,47,47150,47150370,경상북도,김천시,봉산면,0,현지인,7881672.0,9079336.0,86.81,6
47,2024_1-8,47,47930,47930330,경상북도,울진군,근남면,0,현지인,22214308.0,25745197.0,86.29,7
47,2024_1-8,47,47170,47170360,경상북도,안동시,남후면,0,현지인,505174.0,613286.0,82.37,8
47,2024_1-8,47,47850,47850370,경상북도,칠곡군,기산면,0,현지인,10330128.0,12630872.0,81.78,9
47,2024_1-8,47,47730,47730410,경상북도,의성군,단밀면,0,현지인,1554368.0,1963935.0,79.15,10
47,2024_1-8,47,47190,47190600,경상북도,구미시,신평2동,1,외지인,242814923.0,327798987.0,74.07,1
47,2024_1-8,47,47130,47130630,경상북도,경주시,동천동,1,외지인,6506811590.0,11301871609.0,57.57,2
47,2024_1-8,47,47113,47113690,경상북도,포항시 북구,두호동,1,외지인,20056662570.0,35940453846.0,55.81,3
47,2024_1-8,47,47190,47190645,경상북도,구미시,상모사곡동,1,외지인,6402246101.0,11508971122.0,55.63,4
47,2024_1-8,47,47190,47190690,경상북도,구미시,양포동,1,외지인,10947579730.0,21017250334.0,52.09,5
47,2024_1-8,47,47111,47111525,경상북도,포항시 남구,상대동,1,외지인,19010133199.0,36783305015.0,51.68,6
47,2024_1-8,47,47170,47170600,경상북도,안동시,태화동,1,외지인,1275492714.0,2506765880.0,50.88,7
47,2024_1-8,47,47130,47130550,경상북도,경주시,성건동,1,외지인,6511204806.0,12896224237.0,50.49,8
47,2024_1-8,47,47190,47190510,경상북도,구미시,송정동,1,외지인,5373944751.0,10735892363.0,50.06,9
47,2024_1-8,47,47840,47840380,경상북도,성주군,초전면,1,외지인,29764196622.0,59685607525.0,49.87,10
47,2024_1-8,47,47830,47830360,경상북도,고령군,우곡면,2,외국인,52050.0,52050.0,100.0,1
47,2024_1-8,47,47170,47170410,경상북도,안동시,예안면,2,외국인,24000.0,24000.0,100.0,2
47,2024_1-8,47,47170,47170370,경상북도,안동시,남선면,2,외국인,440800.0,512700.0,85.98,3
47,2024_1-8,47,47150,47150340,경상북도,김천시,개령면,2,외국인,20000.0,25000.0,80.0,4
47,2024_1-8,47,47190,47190600,경상북도,구미시,신평2동,2,외국인,1219950.0,1593174.0,76.57,5
47,2024_1-8,47,47190,47190583,경상북도,구미시,형곡2동,2,외국인,41913254.0,54933716.0,76.3,6
47,2024_1-8,47,47190,47190645,경상북도,구미시,상모사곡동,2,외국인,83207508.0,114236835.0,72.84,7
47,2024_1-8,47,47150,47150390,경상북도,김천시,감천면,2,외국인,244315.0,336315.0,72.64,8
47,2024_1-8,47,47830,47830320,경상북도,고령군,운수면,2,외국인,766100.0,1165900.0,65.71,9
47,2024_1-8,47,47190,47190670,경상북도,구미시,인동동,2,외국인,525498993.0,811631560.0,64.75,10
47,2024_1-8,47,47190,47190600,경상북도,구미시,신평2동,3,내국인,242814923.0,327798987.0,74.07,1
