조회_시도,조회기간,BASE_DATE,SIDO_NM,KTO_TOB_MCLS_NM,CNSM_AMT
47,2024_1-8,202401,경상북도,관광총소비,11239553.0
47,2024_1-8,202405,경상북도,관광총소비,16604158.0
47,2024_1-8,202404,경상북도,관광총소비,15756054.0
47,2024_1-8,202403,경상북도,관광총소비,15201062.0
47,2024_1-8,202402,경상북도,관광총소비,11580290.0
47,2024_1-8,202408,경상북도,관광총소비,12296977.0
47,2024_1-8,202407,경상북도,관광총소비,12846962.0
47,2024_1-8,202406,경상북도,관광총소비,14608821.0
47,2026_1-8,202601,경상북도,관광총소비,10846960.0
47,2026_1-8,202605,경상북도,관광총소비,15660966.0
47,2026_1-8,202604,경상북도,관광총소비,13704585.0
47,2026_1-8,202603,경상북도,관광총소비,13691881.0
47,2026_1-8,202602,경상북도,관광총소비,10681319.0
47,2026_1-8,202608,경상북도,관광총소비,11310427.0
47,2026_1-8,202607,경상북도,관광총소비,12132990.0
47,2026_1-8,202606,경상북도,관광총소비,13267077.0
47,2025,202501,경상북도,관광총소비,10347900.0
47,2025,202505,경상북도,관광총소비,14690044.0
47,2025,202504,경상북도,관광총소비,12944825.0
47,2025,202503,경상북도,관광총소비,12603975.0
47,2025,202502,경상북도,관광총소비,9254526.0
47,2025,202509,경상북도,관광총소비,12149323.0
47,2025,202508,경상북도,관광총소비,11765408.0
47,2025,202507,경상북도,관광총소비,12393236.0
47,2025,202506,경상북도,관광총소비,12710799.0
47,2025,202512,경상북도,관광총소비,14389590.0
47,2025,202511,경상북도,관광총소비,16230154.0
47,2025,202510,경상북도,관광총소비,15801541.0
44,2024_1-8,202401,충청남도,관광총소비,10953034.0
44,2024_1-8,202405,충청남도,관광총소비,14342996.0
44,2024_1-8,202404,충청남도,관광총소비,13489365.0
44,2024_1-8,202403,충청남도,관광총소비,13418255.0
44,2024_1-8,202402,충청남도,관광총소비,11321843.0
44,2024_1-8,202408,충청남도,관광총소비,12496224.0
44,2024_1-8,202407,충청남도,관광총소비,12436060.0
44,2024_1-8,202406,충청남도,관광총소비,13865201.0
44,2026_1-8,202601,충청남도,관광총소비,10769101.0
44,2026_1-8,202605,충청남도,관광총소비,13468472.0
44,2026_1-8,202604,충청남도,관광총소비,12523581.0
44,2026_1-8,202603,충청남도,관광총소비,11679536.0
44,2026_1-8,202602,충청남도,관광총소비,10841467.0
44,2026_1-8,202608,충청남도,관광총소비,10833376.0
44,2026_1-8,202607,충청남도,관광총소비,11067304.0
44,2026_1-8,202606,충청남도,관광총소비,11600898.0
44,2025,202501,충청남도,관광총소비,10399333.0
44,2025,202505,충청남도,관광총소비,13223107.0
44,2025,202504,충청남도,관광총소비,12012910.0
44,2025,202503,충청남도,관광총소비,11967966.0
44,2025,202502,충청남도,관광총소비,9093811.0
44,2025,202509,충청남도,관광총소비,11247618.0
44,2025,202508,충청남도,관광총소비,11381555.0
44,2025,202507,충청남도,관광총소비,11738239.0
44,2025,202506,충청남도,관광총소비,11600763.0
44,2025,202512,충청남도,관광총소비,13809121.0
44,2025,202511,충청남도,관광총소비,13972060.0
44,2025,202510,충청남도,관광총소비,13587936.0
52,2024_1-8,202405,전북특별자치도,관광총소비,9190037.0
52,2024_1-8,202404,전북특별자치도,관광총소비,8897307.0
52,2024_1-8,202403,전북특별자치도,관광총소비,8596074.0
52,2024_1-8,202402,전북특별자치도,관광총소비,6911979.0
52,2024_1-8,202401,전북특별자치도,관광총소비,7134257.0
52,2024_1-8,202408,전북특별자치도,관광총소비,6469322.0
52,2024_1-8,202407,전북특별자치도,관광총소비,6889157.0
52,2024_1-8,202406,전북특별자치도,관광총소비,8218881.0
52,2026_1-8,202605,전북특별자치도,관광총소비,8223748.0
52,2026_1-8,202604,전북특별자치도,관광총소비,7831932.0
52,2026_1-8,202603,전북특별자치도,관광총소비,7814948.0
52,2026_1-8,202602,전북특별자치도,관광총소비,7720724.0
52,2026_1-8,202601,전북특별자치도,관광총소비,8980329.0
52,2026_1-8,202608,전북특별자치도,관광총소비,5668648.0
52,2026_1-8,202607,전북특별자치도,관광총소비,6245125.0
52,2026_1-8,202606,전북특별자치도,관광총소비,6376762.0
52,2025,202505,전북특별자치도,관광총소비,7796409.0
52,2025,202504,전북특별자치도,관광총소비,7002849.0
52,2025,202503,전북특별자치도,관광총소비,7338586.0
52,2025,202502,전북특별자치도,관광총소비,6160356.0
52,2025,202501,전북특별자치도,관광총소비,7768670.0
52,2025,202509,전북특별자치도,관광총소비,6465214.0
52,2025,202508,전북특별자치도,관광총소비,5559797.0
52,2025,202507,전북특별자치도,관광총소비,6368346.0
52,2025,202506,전북특별자치도,관광총소비,6616108.0
52,2025,202512,전북특별자치도,관광총소비,10052907.0
52,2025,202511,전북특별자치도,관광총소비,9997173.0
52,2025,202510,전북특별자치도,관광총소비,9025249.0
43,2024_1-8,202401,충청북도,관광총소비,11016251.0
43,2024_1-8,202408,충청북도,관광총소비,12390793.0
43,2024_1-8,202407,충청북도,관광총소비,12631378.0
43,2024_1-8,202406,충청북도,관광총소비,14567180.0
43,2024_1-8,202405,충청북도,관광총소비,16497177.0
43,2024_1-8,202404,충청북도,관광총소비,15792890.0
43,2024_1-8,202403,충청북도,관광총소비,15140409.0
43,2024_1-8,202402,충청북도,관광총소비,11967857.0
43,2026_1-8,202601,충청북도,관광총소비,13637708.0
43,2026_1-8,202608,충청북도,관광총소비,14433077.0
43,2026_1-8,202607,충청북도,관광총소비,14562957.0
43,2026_1-8,202606,충청북도,관광총소비,15886298.0
43,2026_1-8,202605,충청북도,관광총소비,18350410.0
43,2026_1-8,202604,충청북도,관광총소비,16381914.0
43,2026_1-8,202603,충청북도,관광총소비,16566927.0
43,2026_1-8,202602,충청북도,관광총소비,13908612.0
43,2025,202501,충청북도,관광총소비,11005202.0
43,2025,202510,충청북도,관광총소비,19274385.0
43,2025,202509,충청북도,관광총소비,14321506.0
43,2025,202508,충청북도,관광총소비,14677956.0
43,2025,202507,충청북도,관광총소비,16180728.0
43,2025,202506,충청북도,관광총소비,14102351.0
43,2025,202505,충청북도,관광총소비,14511261.0
43,2025,202504,충청북도,관광총소비,13063388.0
43,2025,202503,충청북도,관광총소비,13405730.0
43,2025,202502,충청북도,관광총소비,9781530.0
43,2025,202512,충청북도,관광총소비,17099514.0
43,2025,202511,충청북도,관광총소비,18132769.0
00,2024_1-8,202401,전국,관광총소비,588058389.0
00,2024_1-8,202402,전국,관광총소비,585128420.0
00,2024_1-8,202403,전국,관광총소비,673634995.0
00,2024_1-8,202404,전국,관광총소비,668463075.0
00,2024_1-8,202405,전국,관광총소비,696796281.0
00,2024_1-8,202406,전국,관광총소비,668933744.0
00,2024_1-8,202407,전국,관광총소비,600192349.0
00,2024_1-8,202408,전국,관광총소비,584654307.0
00,2026_1-8,202601,전국,관광총소비,660320421.0
00,2026_1-8,202602,전국,관광총소비,644266973.0
00,2026_1-8,202603,전국,관광총소비,657084432.0
00,2026_1-8,202604,전국,관광총소비,643947483.0
00,2026_1-8,202605,전국,관광총소비,747542058.0
00,2026_1-8,202606,전국,관광총소비,632535329.0
00,2026_1-8,202607,전국,관광총소비,585521423.0
00,2026_1-8,202608,전국,관광총소비,577930023.0
