조회_시도,조회기간,BASE_DATE,SIDO_NM,KTO_TOB_MCLS_NM,KTO_TOB_MCLS_CD,CNSM_AMT
47,2024_1-8,202401,경상북도,관광총소비,00,2414688.0
47,2024_1-8,202402,경상북도,관광총소비,00,2773465.0
47,2024_1-8,202403,경상북도,관광총소비,00,4618506.0
47,2024_1-8,202404,경상북도,관광총소비,00,4639326.0
47,2024_1-8,202405,경상북도,관광총소비,00,5046167.0
47,2024_1-8,202406,경상북도,관광총소비,00,4395343.0
47,2024_1-8,202407,경상북도,관광총소비,00,4089682.0
47,2024_1-8,202408,경상북도,관광총소비,00,5110201.0
47,2026_1-8,202601,경상북도,관광총소비,00,3031059.0
47,2026_1-8,202602,경상북도,관광총소비,00,3046291.0
47,2026_1-8,202603,경상북도,관광총소비,00,8021124.0
47,2026_1-8,202604,경상북도,관광총소비,00,9165578.0
47,2026_1-8,202605,경상북도,관광총소비,00,9483358.0
47,2026_1-8,202606,경상북도,관광총소비,00,7487848.0
47,2026_1-8,202607,경상북도,관광총소비,00,7217154.0
47,2026_1-8,202608,경상북도,관광총소비,00,7133950.0
47,2025,202502,경상북도,관광총소비,00,3669191.0
47,2025,202501,경상북도,관광총소비,00,2994467.0
47,2025,202504,경상북도,관광총소비,00,6464151.0
47,2025,202503,경상북도,관광총소비,00,6655454.0
47,2025,202506,경상북도,관광총소비,00,5594361.0
47,2025,202505,경상북도,관광총소비,00,6318613.0
47,2025,202507,경상북도,관광총소비,00,4772022.0
47,2025,202509,경상북도,관광총소비,00,6010425.0
47,2025,202508,경상북도,관광총소비,00,5444693.0
47,2025,202511,경상북도,관광총소비,00,7052614.0
47,2025,202510,경상북도,관광총소비,00,8074866.0
47,2025,202512,경상북도,관광총소비,00,4575833.0
44,2024_1-8,202401,충청남도,관광총소비,00,2092859.0
44,2024_1-8,202402,충청남도,관광총소비,00,1968567.0
44,2024_1-8,202403,충청남도,관광총소비,00,2851233.0
44,2024_1-8,202404,충청남도,관광총소비,00,2848009.0
44,2024_1-8,202405,충청남도,관광총소비,00,3123683.0
44,2024_1-8,202406,충청남도,관광총소비,00,3249690.0
44,2024_1-8,202407,충청남도,관광총소비,00,2894318.0
44,2024_1-8,202408,충청남도,관광총소비,00,3045661.0
44,2026_1-8,202601,충청남도,관광총소비,00,3298751.0
44,2026_1-8,202602,충청남도,관광총소비,00,2864059.0
44,2026_1-8,202603,충청남도,관광총소비,00,4577770.0
44,2026_1-8,202604,충청남도,관광총소비,00,4652509.0
44,2026_1-8,202605,충청남도,관광총소비,00,5331602.0
44,2026_1-8,202606,충청남도,관광총소비,00,5094334.0
44,2026_1-8,202607,충청남도,관광총소비,00,5248787.0
44,2026_1-8,202608,충청남도,관광총소비,00,4844997.0
44,2025,202502,충청남도,관광총소비,00,2430097.0
44,2025,202501,충청남도,관광총소비,00,2606924.0
44,2025,202504,충청남도,관광총소비,00,3523510.0
44,2025,202503,충청남도,관광총소비,00,3555490.0
44,2025,202506,충청남도,관광총소비,00,3478701.0
44,2025,202505,충청남도,관광총소비,00,3618449.0
44,2025,202507,충청남도,관광총소비,00,3273725.0
44,2025,202509,충청남도,관광총소비,00,3389344.0
44,2025,202508,충청남도,관광총소비,00,3303791.0
44,2025,202511,충청남도,관광총소비,00,3688029.0
44,2025,202510,충청남도,관광총소비,00,3954473.0
44,2025,202512,충청남도,관광총소비,00,3687818.0
52,2024_1-8,202401,전북특별자치도,관광총소비,00,1811830.0
52,2024_1-8,202402,전북특별자치도,관광총소비,00,1845076.0
52,2024_1-8,202403,전북특별자치도,관광총소비,00,2751578.0
52,2024_1-8,202404,전북특별자치도,관광총소비,00,3381202.0
52,2024_1-8,202405,전북특별자치도,관광총소비,00,2847452.0
52,2024_1-8,202406,전북특별자치도,관광총소비,00,2645361.0
52,2024_1-8,202407,전북특별자치도,관광총소비,00,2352558.0
52,2024_1-8,202408,전북특별자치도,관광총소비,00,2848452.0
52,2026_1-8,202601,전북특별자치도,관광총소비,00,2152761.0
52,2026_1-8,202602,전북특별자치도,관광총소비,00,1940533.0
52,2026_1-8,202603,전북특별자치도,관광총소비,00,4200815.0
52,2026_1-8,202604,전북특별자치도,관광총소비,00,5105190.0
52,2026_1-8,202605,전북특별자치도,관광총소비,00,5002245.0
52,2026_1-8,202606,전북특별자치도,관광총소비,00,4213411.0
52,2026_1-8,202607,전북특별자치도,관광총소비,00,3640232.0
52,2026_1-8,202608,전북특별자치도,관광총소비,00,3737304.0
52,2025,202502,전북특별자치도,관광총소비,00,1957453.0
52,2025,202501,전북특별자치도,관광총소비,00,2012546.0
52,2025,202504,전북특별자치도,관광총소비,00,3432085.0
52,2025,202503,전북특별자치도,관광총소비,00,2870907.0
52,2025,202505,전북특별자치도,관광총소비,00,3348417.0
52,2025,202507,전북특별자치도,관광총소비,00,2695172.0
52,2025,202506,전북특별자치도,관광총소비,00,2886053.0
52,2025,202509,전북특별자치도,관광총소비,00,3158449.0
52,2025,202508,전북특별자치도,관광총소비,00,3080272.0
52,2025,202510,전북특별자치도,관광총소비,00,3926359.0
52,2025,202512,전북특별자치도,관광총소비,00,3012360.0
52,2025,202511,전북특별자치도,관광총소비,00,3788461.0
43,2024_1-8,202402,충청북도,관광총소비,00,1136918.0
43,2024_1-8,202401,충청북도,관광총소비,00,1260188.0
43,2024_1-8,202403,충청북도,관광총소비,00,1663265.0
43,2024_1-8,202404,충청북도,관광총소비,00,1801540.0
43,2024_1-8,202405,충청북도,관광총소비,00,1670419.0
43,2024_1-8,202406,충청북도,관광총소비,00,1762750.0
43,2024_1-8,202407,충청북도,관광총소비,00,1525908.0
43,2024_1-8,202408,충청북도,관광총소비,00,1520513.0
43,2026_1-8,202601,충청북도,관광총소비,00,1719902.0
43,2026_1-8,202602,충청북도,관광총소비,00,1632033.0
43,2026_1-8,202603,충청북도,관광총소비,00,3817708.0
43,2026_1-8,202604,충청북도,관광총소비,00,3853376.0
43,2026_1-8,202605,충청북도,관광총소비,00,4268131.0
43,2026_1-8,202606,충청북도,관광총소비,00,3818687.0
43,2026_1-8,202607,충청북도,관광총소비,00,3195775.0
43,2026_1-8,202608,충청북도,관광총소비,00,3363815.0
43,2025,202502,충청북도,관광총소비,00,1292252.0
43,2025,202501,충청북도,관광총소비,00,1428974.0
43,2025,202504,충청북도,관광총소비,00,2251397.0
43,2025,202503,충청북도,관광총소비,00,2154366.0
