조회_시도,조회기간,DT,SIDO_CD,SGG_CD,NIGHT_SRCH_CNT,SRCH_CNT
47,2024_1-8,202401,00,00000,3243215,18256954
47,2024_1-8,202402,00,00000,3119281,18507594
47,2024_1-8,202403,00,00000,3979897,23016332
47,2024_1-8,202404,00,00000,4158886,23682187
47,2024_1-8,202405,00,00000,4891837,27613623
47,2024_1-8,202406,00,00000,5364706,27850975
47,2024_1-8,202407,00,00000,6725099,31261860
47,2024_1-8,202408,00,00000,6906412,34654235
47,2026_1-8,202601,00,00000,2908522,18265121
47,2026_1-8,202602,00,00000,2927178,18889471
47,2026_1-8,202603,00,00000,3034748,19417137
47,2026_1-8,202604,00,00000,3789300,21685547
47,2026_1-8,202605,00,00000,4507734,27534527
47,2026_1-8,202606,00,00000,3673302,20677594
47,2026_1-8,202607,00,00000,4155107,23039047
47,2026_1-8,202608,00,00000,4651471,27058412
47,2025,202501,00,00000,3045023,18951852
47,2025,202502,00,00000,2797322,16266872
47,2025,202503,00,00000,3404229,20852902
47,2025,202504,00,00000,3602402,21340662
47,2025,202505,00,00000,4303840,26887540
47,2025,202506,00,00000,3974019,23385099
47,2025,202507,00,00000,4371391,23318682
47,2025,202508,00,00000,4818478,27565622
47,2025,202509,00,00000,3758414,20752514
47,2025,202510,00,00000,7249759,46561133
47,2025,202511,00,00000,3940911,25854020
47,2025,202512,00,00000,3563592,19934342
44,2024_1-8,202401,00,00000,3243215,18256954
44,2024_1-8,202402,00,00000,3119281,18507594
44,2024_1-8,202403,00,00000,3979897,23016332
44,2024_1-8,202404,00,00000,4158886,23682187
44,2024_1-8,202405,00,00000,4891837,27613623
44,2024_1-8,202406,00,00000,5364706,27850975
44,2024_1-8,202407,00,00000,6725099,31261860
44,2024_1-8,202408,00,00000,6906412,34654235
44,2026_1-8,202601,00,00000,2908522,18265121
44,2026_1-8,202602,00,00000,2927178,18889471
44,2026_1-8,202603,00,00000,3034748,19417137
44,2026_1-8,202604,00,00000,3789300,21685547
44,2026_1-8,202605,00,00000,4507734,27534527
44,2026_1-8,202606,00,00000,3673302,20677594
44,2026_1-8,202607,00,00000,4155107,23039047
44,2026_1-8,202608,00,00000,4651471,27058412
44,2025,202501,00,00000,3045023,18951852
44,2025,202502,00,00000,2797322,16266872
44,2025,202503,00,00000,3404229,20852902
44,2025,202504,00,00000,3602402,21340662
44,2025,202505,00,00000,4303840,26887540
44,2025,202506,00,00000,3974019,23385099
44,2025,202507,00,00000,4371391,23318682
44,2025,202508,00,00000,4818478,27565622
44,2025,202509,00,00000,3758414,20752514
44,2025,202510,00,00000,7249759,46561133
44,2025,202511,00,00000,3940911,25854020
44,2025,202512,00,00000,3563592,19934342
52,2024_1-8,202401,00,00000,3243215,18256954
