조회_시도,조회기간,SIDO_CD,SIDO_NM,NIGHT_SRCH_CNT,SRCH_CNT
47,2024_1-8,41,경기도,12528104,67781160
47,2024_1-8,11,서울특별시,7429793,29434396
47,2024_1-8,28,인천광역시,2689292,13246163
47,2024_1-8,51,강원특별자치도,2319537,15797225
47,2024_1-8,26,부산광역시,2160866,10880976
47,2024_1-8,44,충청남도,1618474,10441214
47,2024_1-8,12,전남광주통합특별시,1547848,9137800
47,2024_1-8,48,경상남도,1375026,9438926
47,2024_1-8,47,경상북도,1302436,8550724
47,2024_1-8,27,대구광역시,1211193,5470002
47,2024_1-8,43,충청북도,997576,6354860
47,2024_1-8,50,제주특별자치도,930566,5555679
47,2024_1-8,30,대전광역시,927963,4526049
47,2024_1-8,52,전북특별자치도,567766,4220287
47,2024_1-8,31,울산광역시,537579,2745175
47,2024_1-8,36,세종특별자치시,245314,1263124
47,2026_1-8,41,경기도,9556462,57625714
47,2026_1-8,11,서울특별시,5743494,24430480
47,2026_1-8,51,강원특별자치도,2371598,16202312
47,2026_1-8,28,인천광역시,2151468,11616018
47,2026_1-8,26,부산광역시,1694938,9450082
47,2026_1-8,44,충청남도,1228970,9348006
47,2026_1-8,12,전남광주통합특별시,1053983,7241479
47,2026_1-8,48,경상남도,991375,7988143
47,2026_1-8,47,경상북도,991055,7469634
47,2026_1-8,27,대구광역시,828771,4434136
47,2026_1-8,43,충청북도,736613,5290856
47,2026_1-8,30,대전광역시,652789,3920565
47,2026_1-8,50,제주특별자치도,626651,4231087
47,2026_1-8,52,전북특별자치도,561834,4446708
47,2026_1-8,31,울산광역시,319034,1951596
47,2026_1-8,36,세종특별자치시,138327,920040
47,2025,41,경기도,15696319,95608719
47,2025,11,서울특별시,10265812,43069330
47,2025,28,인천광역시,3572672,19160176
47,2025,51,강원특별자치도,3205491,23589091
47,2025,26,부산광역시,2888977,15897490
47,2025,44,충청남도,1829165,14184584
47,2025,12,전남광주통합특별시,1754717,12174524
47,2025,48,경상남도,1584438,13303597
47,2025,47,경상북도,1523973,12205835
47,2025,27,대구광역시,1478346,7722087
47,2025,30,대전광역시,1132017,6622306
47,2025,50,제주특별자치도,1085588,7232970
47,2025,43,충청북도,1085231,8578672
47,2025,52,전북특별자치도,886533,7222361
47,2025,31,울산광역시,576425,3452657
47,2025,36,세종특별자치시,263676,1646841
44,2024_1-8,41,경기도,12528104,67781160
44,2024_1-8,11,서울특별시,7429793,29434396
44,2024_1-8,28,인천광역시,2689292,13246163
44,2024_1-8,51,강원특별자치도,2319537,15797225
44,2024_1-8,26,부산광역시,2160866,10880976
44,2024_1-8,44,충청남도,1618474,10441214
44,2024_1-8,12,전남광주통합특별시,1547848,9137800
44,2024_1-8,48,경상남도,1375026,9438926
44,2024_1-8,47,경상북도,1302436,8550724
44,2024_1-8,27,대구광역시,1211193,5470002
44,2024_1-8,43,충청북도,997576,6354860
44,2024_1-8,50,제주특별자치도,930566,5555679
44,2024_1-8,30,대전광역시,927963,4526049
44,2024_1-8,52,전북특별자치도,567766,4220287
44,2024_1-8,31,울산광역시,537579,2745175
44,2024_1-8,36,세종특별자치시,245314,1263124
44,2026_1-8,41,경기도,9556462,57625714
44,2026_1-8,11,서울특별시,5743494,24430480
44,2026_1-8,51,강원특별자치도,2371598,16202312
44,2026_1-8,28,인천광역시,2151468,11616018
44,2026_1-8,26,부산광역시,1694938,9450082
44,2026_1-8,44,충청남도,1228970,9348006
44,2026_1-8,12,전남광주통합특별시,1053983,7241479
44,2026_1-8,48,경상남도,991375,7988143
44,2026_1-8,47,경상북도,991055,7469634
44,2026_1-8,27,대구광역시,828771,4434136
44,2026_1-8,43,충청북도,736613,5290856
44,2026_1-8,30,대전광역시,652789,3920565
44,2026_1-8,50,제주특별자치도,626651,4231087
44,2026_1-8,52,전북특별자치도,561834,4446708
44,2026_1-8,31,울산광역시,319034,1951596
44,2026_1-8,36,세종특별자치시,138327,920040
44,2025,41,경기도,15696319,95608719
44,2025,11,서울특별시,10265812,43069330
44,2025,28,인천광역시,3572672,19160176
44,2025,51,강원특별자치도,3205491,23589091
