조회_시도,조회기간,RNK,SIDO_CD,SIDO_NM,SGG_CD,SGG_NM,ITS_BRO_ID,ITS_BRO_NM,ADDR_ROAD_NM,KTO_CATE_MCLS_NM,KTO_CATE_SCLS_NM,NIGHT_SRCH_CNT,SRCH_CNT
47,2024_1-8,1,47,경상북도,47130,경주시,7940617,황리단길,경북 경주시,음식,음식점기타,18852,103140
47,2024_1-8,1,47,경상북도,47113,포항시 북구,394541,죽도시장,경북 포항시 북구 죽도시장13길 13-1,쇼핑,시장,14116,119188
47,2024_1-8,1,47,경상북도,47130,경주시,1143513,소노벨 경주,경북 경주시 보문로 402-12,숙박,콘도미니엄,18774,55638
47,2024_1-8,1,47,경상북도,47930,울진군,373624,덕구온천스파월드,경북 울진군 덕구온천로 924-0,체험관광,웰니스관광,2529,22924
47,2024_1-8,1,47,경상북도,47130,경주시,318196,보문관광단지,경북 경주시 보문로 424-33,문화관광,복합관광시설,9587,67601
47,2024_1-8,1,47,경상북도,47130,경주시,5391257,동궁과월지,경북 경주시 원화로 102-0,역사관광,역사유적지,65104,90098
47,2024_1-8,1,47,경상북도,47170,안동시,737840,월영교,경북 안동시,기타관광,기타관광,16541,38143
47,2024_1-8,1,47,경상북도,47113,포항시 북구,320097,영일대해수욕장,경북 포항시 북구,자연관광,자연경관(하천/해양),39589,97120
47,2024_1-8,1,47,경상북도,47113,포항시 북구,10444090,환호공원 스페이스워크,경북 포항시 북구,레저스포츠,기타레저스포츠,4597,51005
47,2024_1-8,2,47,경상북도,47130,경주시,318201,첨성대,경북 경주시 첨성로 140-25,역사관광,역사유적지,21612,78141
47,2024_1-8,2,47,경상북도,47770,영덕군,707961,강구항,경북 영덕군,자연관광,자연경관(하천/해양),9922,72179
47,2024_1-8,2,47,경상북도,47130,경주시,67967,경주중앙시장,경북 경주시 금성로 295-0,쇼핑,시장,9513,22588
47,2024_1-8,2,47,경상북도,47130,경주시,377356,황남빵,경북 경주시 태종로 783-0,음식,간이음식,3593,26094
47,2024_1-8,2,47,경상북도,47280,문경시,1040178,문경종합온천,경북 문경시 온천2길 24-0,체험관광,웰니스관광,1870,14391
47,2024_1-8,2,47,경상북도,47290,경산시,310891,대구CC,경북 경산시 일연로 718-42,레저스포츠,육상레저스포츠,3092,24299
47,2024_1-8,2,47,경상북도,47130,경주시,318089,라한셀렉트 경주,경북 경주시 보문로 338-0,숙박,호텔,16752,56992
47,2024_1-8,2,47,경상북도,47290,경산시,10296941,CGV 경산,경북 경산시 대학로28길 6-5,문화관광,공연시설,4407,11913
47,2024_1-8,2,47,경상북도,47130,경주시,8900684,흥무로벚꽃길,경북 경주시,기타관광,기타관광,1002,2944
47,2024_1-8,3,47,경상북도,47930,울진군,83361,후포항,경북 울진군 울진대게로 236-14,자연관광,자연경관(하천/해양),8648,43180
47,2024_1-8,3,47,경상북도,47130,경주시,377855,영양숯불갈비 경주점,경북 경주시 봉황로 79-0,음식,한식,3241,9293
47,2024_1-8,3,47,경상북도,47111,포항시 남구,2880648,오천시장,경북 포항시 남구 장기로1690번길 16-0,쇼핑,시장,4984,32598
47,2024_1-8,3,47,경상북도,47113,포항시 북구,1795222,CGV 북포항,경북 포항시 북구 서동로 93-0,문화관광,공연시설,4245,13171
47,2024_1-8,3,47,경상북도,47290,경산시,1497691,인터불고경산CC,경북 경산시 삼성현로 614-26,레저스포츠,육상레저스포츠,2524,21573
47,2024_1-8,3,47,경상북도,47130,경주시,310971,한화리조트 경주,경북 경주시 보문로 182-27,숙박,콘도미니엄,13312,38784
47,2024_1-8,3,47,경상북도,47130,경주시,318102,대릉원,경북 경주시 계림로 9-0,역사관광,역사유적지,6649,61717
47,2024_1-8,3,47,경상북도,47230,영천시,690919,보현산천문대,경북 영천시 정각길 475-0,기타관광,기타관광,877,4832
47,2024_1-8,3,47,경상북도,47930,울진군,373649,백암온천,경북 울진군,체험관광,웰니스관광,772,6344
47,2024_1-8,4,47,경상북도,47130,경주시,3808,경주CC,경북 경주시 보문로 182-98,레저스포츠,육상레저스포츠,2286,18194
47,2024_1-8,4,47,경상북도,47113,포항시 북구,10255660,해상스카이워크,경북 포항시 북구 해안로 523-0,기타관광,기타관광,873,13455
47,2024_1-8,4,47,경상북도,47820,청도군,1041843,청도용암웰빙스파,경북 청도군 온천길 23-0,체험관광,웰니스관광,698,15350
47,2024_1-8,4,47,경상북도,47150,김천시,1788666,연화지,경북 김천시,자연관광,자연경관(하천/해양),7078,18079
47,2024_1-8,4,47,경상북도,47210,영주시,8879590,명륜진사갈비 영주가흥점,경북 영주시 대학로 194-0,음식,한식,3064,7522
47,2024_1-8,4,47,경상북도,47113,포항시 북구,386106,롯데백화점 포항점,경북 포항시 북구 학산로 62-0,쇼핑,백화점,4890,33899
47,2024_1-8,4,47,경상북도,47130,경주시,470321,경주힐튼호텔,경북 경주시 보문로 484-7,숙박,호텔,11213,38723
47,2024_1-8,4,47,경상북도,47130,경주시,2991507,월정교,경북 경주시,역사관광,역사유적지,6297,8157
47,2024_1-8,4,47,경상북도,47190,구미시,1102638,동락공원,경북 구미시 3공단1로 191-0,문화관광,도시공원,3009,17292
47,2024_1-8,5,47,경상북도,47130,경주시,8704619,경주바람의언덕,경북 경주시 불국로 1056-185,기타관광,기타관광,713,4847
47,2024_1-8,5,47,경상북도,47130,경주시,310975,켄싱턴리조트 경주,경북 경주시 보문로 182-29,숙박,콘도미니엄,11012,30487
47,2024_1-8,5,47,경상북도,47750,청송군,8996274,스노벨청송솔샘온천,경북 청송군 주왕산로 494-1,체험관광,웰니스관광,491,5106
47,2024_1-8,5,47,경상북도,47850,칠곡군,1698116,세븐밸리CC,경북 칠곡군 봉계3길 180-0,레저스포츠,육상레저스포츠,2134,13392
47,2024_1-8,5,47,경상북도,47190,구미시,1311800,CGV 구미,경북 구미시 구미중앙로 44-0,문화관광,공연시설,2591,9598
47,2024_1-8,5,47,경상북도,47190,구미시,8924531,명륜진사갈비 구미 봉곡점,경북 구미시 봉곡로 50-0,음식,한식,2847,5542
47,2024_1-8,5,47,경상북도,47930,울진군,8032057,오산항,경북 울진군,자연관광,자연경관(하천/해양),6382,14712
47,2024_1-8,5,47,경상북도,47170,안동시,4076002,안동구시장,경북 안동시 번영1길 47-0,쇼핑,시장,4377,30940
47,2024_1-8,5,47,경상북도,47130,경주시,318106,불국사,경북 경주시 불국로 385-0,역사관광,종교성지,5112,148041
47,2026_1-8,1,47,경상북도,47113,포항시 북구,394541,죽도시장,경북 포항시 북구 죽도시장13길 13-1,쇼핑,시장,14480,127118
47,2026_1-8,1,47,경상북도,47130,경주시,318089,라한셀렉트 경주,경북 경주시 보문로 338-0,숙박,호텔,14821,49503
47,2026_1-8,1,47,경상북도,47130,경주시,318195,경주월드,경북 경주시 보문로 544-0,문화관광,테마공원,5557,74209
47,2026_1-8,1,47,경상북도,47113,포항시 북구,320097,영일대해수욕장,경북 포항시 북구,자연관광,자연경관(하천/해양),28828,79444
47,2026_1-8,1,47,경상북도,47130,경주시,7940617,황리단길,경북 경주시,음식,음식점기타,20312,105439
47,2026_1-8,1,47,경상북도,47930,울진군,373624,덕구온천스파월드,경북 울진군 덕구온천로 924-0,체험관광,웰니스관광,4727,32790
47,2026_1-8,1,47,경상북도,47130,경주시,5391257,동궁과월지,경북 경주시 원화로 102-0,역사관광,역사유적지,48860,68314
47,2026_1-8,1,47,경상북도,47170,안동시,737840,월영교,경북 안동시,기타관광,기타관광,10914,27128
47,2026_1-8,1,47,경상북도,47113,포항시 북구,10444090,환호공원 스페이스워크,경북 포항시 북구,레저스포츠,기타레저스포츠,2997,37736
47,2026_1-8,2,47,경상북도,47770,영덕군,707961,강구항,경북 영덕군,자연관광,자연경관(하천/해양),13437,85151
47,2026_1-8,2,47,경상북도,47130,경주시,8900684,흥무로벚꽃길,경북 경주시,기타관광,기타관광,2033,4884
47,2026_1-8,2,47,경상북도,47130,경주시,318201,첨성대,경북 경주시 첨성로 140-25,역사관광,역사유적지,29202,86975
47,2026_1-8,2,47,경상북도,47130,경주시,1143513,소노캄 경주,경북 경주시 보문로 402-12,숙박,콘도미니엄,14735,48590
47,2026_1-8,2,47,경상북도,47750,청송군,8996274,소노벨청송솔샘온천,경북 청송군 소노로 38-0,체험관광,웰니스관광,1873,13288
47,2026_1-8,2,47,경상북도,47130,경주시,377356,황남빵,경북 경주시 태종로 783-0,음식,간이음식,5957,39782
47,2026_1-8,2,47,경상북도,47130,경주시,318196,보문관광단지,경북 경주시 한국관광1번로 33-0,문화관광,복합관광시설,5476,40086
47,2026_1-8,2,47,경상북도,47130,경주시,67967,경주중앙시장,경북 경주시 금성로 295-0,쇼핑,시장,5028,15350
47,2026_1-8,2,47,경상북도,47290,경산시,310891,대구CC,경북 경산시 일연로 718-42,레저스포츠,육상레저스포츠,2977,24380
47,2026_1-8,3,47,경상북도,47930,울진군,83361,후포항,경북 울진군 울진대게로 236-14,자연관광,자연경관(하천/해양),8877,46532
47,2026_1-8,3,47,경상북도,47113,포항시 북구,386106,롯데백화점 포항점,경북 포항시 북구 학산로 62-0,쇼핑,백화점,4035,33677
47,2026_1-8,3,47,경상북도,47113,포항시 북구,1795222,CGV 북포항,경북 포항시 북구 서동로 93-0,문화관광,공연시설,4185,13279
47,2026_1-8,3,47,경상북도,47130,경주시,377855,영양숯불갈비 경주점,경북 경주시 봉황로 79-0,음식,한식,3096,9854
47,2026_1-8,3,47,경상북도,47113,포항시 북구,10255660,해상스카이워크,경북 포항시 북구 해안로 523-0,기타관광,기타관광,763,15096
47,2026_1-8,3,47,경상북도,47280,문경시,1040178,문경종합온천,경북 문경시 온천2길 24-0,체험관광,웰니스관광,1714,14733
47,2026_1-8,3,47,경상북도,47130,경주시,1102820,맷돌순두부,경북 경주시 북군길 7-0,음식,한식,3096,26224
47,2026_1-8,3,47,경상북도,47130,경주시,2964916,소노캄경주 오션플레이,경북 경주시 보문로 402-12,레저스포츠,기타레저스포츠,2731,10847
47,2026_1-8,3,47,경상북도,47130,경주시,318106,불국사,경북 경주시 불국로 385-0,역사관광,종교성지,9991,176688
47,2026_1-8,3,47,경상북도,47130,경주시,310975,켄싱턴리조트 경주,경북 경주시 보문로 182-29,숙박,콘도미니엄,12618,32632
47,2026_1-8,4,47,경상북도,47290,경산시,10296941,CGV 경산,경북 경산시 대학로28길 6-5,문화관광,공연시설,2628,7475
47,2026_1-8,4,47,경상북도,47130,경주시,310971,한화리조트 경주,경북 경주시 보문로 182-27,숙박,콘도미니엄,11885,33896
47,2026_1-8,4,47,경상북도,47130,경주시,2991507,월정교,경북 경주시,역사관광,역사유적지,7917,10439
47,2026_1-8,4,47,경상북도,47111,포항시 남구,701581,구룡포시장,경북 포항시 남구 호미로221번길 14-1,쇼핑,시장,2128,24526
47,2026_1-8,4,47,경상북도,47930,울진군,67324,죽변항,경북 울진군,자연관광,자연경관(하천/해양),6883,37455
47,2026_1-8,4,47,경상북도,47930,울진군,373649,백암온천,경북 울진군,체험관광,웰니스관광,1035,9359
47,2026_1-8,4,47,경상북도,47130,경주시,2962773,경주양남주상절리,경북 경주시,기타관광,기타관광,615,14203
47,2026_1-8,4,47,경상북도,47850,칠곡군,1698116,세븐밸리CC,경북 칠곡군 봉계3길 180-0,레저스포츠,육상레저스포츠,2674,14864
47,2026_1-8,5,47,경상북도,47770,영덕군,1124409,오션비치골프&리조트,경북 영덕군 동해대로 4265-43,레저스포츠,육상레저스포츠,2667,16675
47,2026_1-8,5,47,경상북도,47130,경주시,318210,문무대왕릉,경북 경주시,역사관광,역사유적지,4941,52887
47,2026_1-8,5,47,경상북도,47111,포항시 남구,320095,송도해수욕장,경북 포항시 남구,자연관광,자연경관(하천/해양),6094,20596
47,2026_1-8,5,47,경상북도,47820,청도군,1041843,청도용암웰빙스파,경북 청도군 온천길 23-0,체험관광,웰니스관광,904,17779
47,2026_1-8,5,47,경상북도,47130,경주시,470321,경주힐튼호텔,경북 경주시 보문로 484-7,숙박,호텔,10944,38373
47,2026_1-8,5,47,경상북도,47130,경주시,5457204,모다아울렛 경주포항점,경북 경주시 산업로 4930-0,쇼핑,쇼핑몰,1734,19522
47,2026_1-8,5,47,경상북도,47900,예천군,615698,회룡포,경북 예천군,기타관광,기타관광,560,6568
47,2026_1-8,5,47,경상북도,47130,경주시,318073,국립경주박물관,경북 경주시 일정로 186-0,문화관광,전시시설,1973,94760
47,2026_1-8,5,47,경상북도,47113,포항시 북구,1189609,환여횟집,경북 포항시 북구 해안로 189-1,음식,전문음식,1906,20451
47,2025,1,47,경상북도,47170,안동시,737840,월영교,경북 안동시,기타관광,기타관광,22709,57625
47,2025,1,47,경상북도,47130,경주시,7940617,황리단길,경북 경주시,음식,음식점기타,28739,175677
47,2025,1,47,경상북도,47130,경주시,5391257,동궁과월지,경북 경주시 원화로 102-0,역사관광,역사유적지,85815,129429
47,2025,1,47,경상북도,47113,포항시 북구,394541,죽도시장,경북 포항시 북구 죽도시장13길 13-1,쇼핑,시장,17699,181304
47,2025,1,47,경상북도,47130,경주시,318196,보문관광단지,경북 경주시 한국관광1번로 33-0,문화관광,복합관광시설,10299,88943
47,2025,1,47,경상북도,47930,울진군,373624,덕구온천스파월드,경북 울진군 덕구온천로 924-0,체험관광,웰니스관광,4143,40748
47,2025,1,47,경상북도,47113,포항시 북구,320097,영일대해수욕장,경북 포항시 북구,자연관광,자연경관(하천/해양),46077,119403
47,2025,1,47,경상북도,47130,경주시,318089,라한셀렉트 경주,경북 경주시 보문로 338-0,숙박,호텔,24336,87904
47,2025,1,47,경상북도,47113,포항시 북구,10444090,환호공원 스페이스워크,경북 포항시 북구,레저스포츠,기타레저스포츠,3892,56664
47,2025,2,47,경상북도,47130,경주시,67967,경주중앙시장,경북 경주시 금성로 295-0,쇼핑,시장,10094,30577
47,2025,2,47,경상북도,47130,경주시,3808,경주CC,경북 경주시 보문로 182-98,레저스포츠,육상레저스포츠,3592,29484
47,2025,2,47,경상북도,47130,경주시,377356,황남빵,경북 경주시 태종로 783-0,음식,간이음식,7440,51511
47,2025,2,47,경상북도,47130,경주시,318201,첨성대,경북 경주시 첨성로 140-25,역사관광,역사유적지,27915,126478
47,2025,2,47,경상북도,47290,경산시,10296941,CGV 경산,경북 경산시 대학로28길 6-5,문화관광,공연시설,5349,14177
47,2025,2,47,경상북도,47130,경주시,310971,한화리조트 경주,경북 경주시 보문로 182-27,숙박,콘도미니엄,21582,63550
47,2025,2,47,경상북도,47770,영덕군,707961,강구항,경북 영덕군,자연관광,자연경관(하천/해양),15559,118421
47,2025,2,47,경상북도,47280,문경시,1040178,문경종합온천,경북 문경시 온천2길 24-0,체험관광,웰니스관광,2812,24632
47,2025,2,47,경상북도,47130,경주시,8900684,흥무로벚꽃길,경북 경주시,기타관광,기타관광,1978,6514
47,2025,3,47,경상북도,47750,청송군,8996274,소노벨청송솔샘온천,경북 청송군 주왕산로 494-1,체험관광,웰니스관광,1952,17068
47,2025,3,47,경상북도,47930,울진군,83361,후포항,경북 울진군 울진대게로 236-14,자연관광,자연경관(하천/해양),11744,65539
47,2025,3,47,경상북도,47130,경주시,1102820,맷돌순두부,경북 경주시 북군길 7-0,음식,한식,4956,42611
47,2025,3,47,경상북도,47130,경주시,700622,경주엑스포대공원,경북 경주시 경감로 614-0,문화관광,도시공원,5058,40268
47,2025,3,47,경상북도,47113,포항시 북구,10255660,해상스카이워크,경북 포항시 북구 해안로 523-0,기타관광,기타관광,1078,24096
47,2025,3,47,경상북도,47170,안동시,4076002,안동구시장,경북 안동시 번영1길 47-0,쇼핑,시장,6422,52119
47,2025,3,47,경상북도,47130,경주시,318102,대릉원,경북 경주시 계림로 9-0,역사관광,역사유적지,11198,107739
47,2025,3,47,경상북도,47130,경주시,310975,켄싱턴리조트 경주,경북 경주시 보문로 182-29,숙박,콘도미니엄,18242,49139
