조회_SGG_CD,조회_지역,조회기간,DPTR_REGN_NM,DPTR_REGN_DTL_NM,TOU_NUM,TOU_NUM_SQRT,TOU_NUM_RATE,DTL_TOU_NUM,DTL_TOU_NUM_SQRT,DTL_TOU_NUM_RATE
47170,경상북도 안동시,202501-202512,쇼핑업,레저용품쇼핑,90647581.0,301077.0,33.3,8024282.691,89578.0,8.9
47170,경상북도 안동시,202501-202512,쇼핑업,기타관광쇼핑,90647581.0,301077.0,33.3,61564465.443,248122.0,67.9
47170,경상북도 안동시,202501-202512,쇼핑업,대형쇼핑몰,90647581.0,301077.0,33.3,21058832.948,145117.0,23.2
47170,경상북도 안동시,202501-202512,숙박업,호텔,7220849.0,84976.0,2.7,188677.899,13736.0,2.6
47170,경상북도 안동시,202501-202512,숙박업,캠핑장/펜션,7220849.0,84976.0,2.7,171252.446,13086.0,2.4
47170,경상북도 안동시,202501-202512,숙박업,기타숙박,7220849.0,84976.0,2.7,6860918.406,82831.0,95.0
47170,경상북도 안동시,202501-202512,식음료업,일반외식업,88684645.0,297800.0,32.6,74664724.14,273248.0,84.2
47170,경상북도 안동시,202501-202512,식음료업,제과음료업,88684645.0,297800.0,32.6,14019921.265,118406.0,15.8
47170,경상북도 안동시,202501-202512,여가서비스업,관광유원시설,12219099.0,110540.0,4.5,9987.718,3160.0,0.1
47170,경상북도 안동시,202501-202512,여가서비스업,골프장,12219099.0,110540.0,4.5,9163923.274,95728.0,75.0
47170,경상북도 안동시,202501-202512,여가서비스업,기타레저,12219099.0,110540.0,4.5,2430791.101,49303.0,19.9
47170,경상북도 안동시,202501-202512,여가서비스업,문화서비스,12219099.0,110540.0,4.5,614396.606,24787.0,5.0
47170,경상북도 안동시,202501-202512,여행업,여행업,270406.0,16444.0,0.1,270405.995,16444.0,100.0
47170,경상북도 안동시,202501-202512,운송업,육상운송,68418257.0,261569.0,25.1,68345090.747,261429.0,99.9
47170,경상북도 안동시,202501-202512,운송업,렌터카,68418257.0,261569.0,25.1,73166.064,8554.0,0.1
47170,경상북도 안동시,202501-202512,의료웰니스업,뷰티,4629624.0,68041.0,1.7,4629623.548,68041.0,100.0
