조회_SGG_CD,조회_지역,조회기간,DPTR_REGN_NM,DPTR_REGN_DTL_NM,TOU_NUM,TOU_NUM_SQRT,TOU_NUM_RATE,DTL_TOU_NUM,DTL_TOU_NUM_SQRT,DTL_TOU_NUM_RATE
47170,경상북도 안동시,202501-202512,쇼핑업,대형쇼핑몰,614228.0,24784.0,21.9,119520.0,10932.0,19.5
47170,경상북도 안동시,202501-202512,쇼핑업,레저용품쇼핑,614228.0,24784.0,21.9,69398.0,8331.0,11.3
47170,경상북도 안동시,202501-202512,쇼핑업,기타관광쇼핑,614228.0,24784.0,21.9,425311.0,20623.0,69.2
47170,경상북도 안동시,202501-202512,숙박업,호텔,680419.0,26085.0,24.3,34932.0,5910.0,5.1
47170,경상북도 안동시,202501-202512,숙박업,기타숙박,680419.0,26085.0,24.3,645207.0,25401.0,94.8
47170,경상북도 안동시,202501-202512,숙박업,캠핑장/펜션,680419.0,26085.0,24.3,281.0,530.0,0.0
47170,경상북도 안동시,202501-202512,식음료업,일반외식업,940413.0,30666.0,33.5,760655.0,27580.0,80.9
47170,경상북도 안동시,202501-202512,식음료업,제과음료업,940413.0,30666.0,33.5,179758.0,13407.0,19.1
47170,경상북도 안동시,202501-202512,여가서비스업,관광유원시설,150276.0,12259.0,5.4,25.0,158.0,0.0
47170,경상북도 안동시,202501-202512,여가서비스업,골프장,150276.0,12259.0,5.4,50359.0,7096.0,33.5
47170,경상북도 안동시,202501-202512,여가서비스업,기타레저,150276.0,12259.0,5.4,62993.0,7937.0,41.9
47170,경상북도 안동시,202501-202512,여가서비스업,문화서비스,150276.0,12259.0,5.4,36899.0,6074.0,24.6
47170,경상북도 안동시,202501-202512,여행업,여행업,12185.0,3491.0,0.4,12185.0,3491.0,100.0
47170,경상북도 안동시,202501-202512,운송업,육상운송,150385.0,12263.0,5.4,138855.0,11784.0,92.3
47170,경상북도 안동시,202501-202512,운송업,렌터카,150385.0,12263.0,5.4,11530.0,3396.0,7.7
47170,경상북도 안동시,202501-202512,의료웰니스업,의료관광,257741.0,16054.0,9.2,191907.0,13853.0,74.5
47170,경상북도 안동시,202501-202512,의료웰니스업,뷰티,257741.0,16054.0,9.2,65834.0,8114.0,25.5
47130,경상북도 경주시,202501-202512,쇼핑업,대형쇼핑몰,4319646.0,65724.0,17.6,119189.0,10917.0,2.8
47130,경상북도 경주시,202501-202512,쇼핑업,레저용품쇼핑,4319646.0,65724.0,17.6,230214.0,15173.0,5.3
47130,경상북도 경주시,202501-202512,쇼핑업,기타관광쇼핑,4319646.0,65724.0,17.6,3970243.0,63010.0,91.9
47130,경상북도 경주시,202501-202512,숙박업,호텔,7558896.0,86942.0,30.8,6357660.0,79735.0,84.1
47130,경상북도 경주시,202501-202512,숙박업,콘도,7558896.0,86942.0,30.8,290107.0,17033.0,3.8
47130,경상북도 경주시,202501-202512,숙박업,캠핑장/펜션,7558896.0,86942.0,30.8,228387.0,15112.0,3.0
47130,경상북도 경주시,202501-202512,숙박업,기타숙박,7558896.0,86942.0,30.8,682742.0,26129.0,9.0
47130,경상북도 경주시,202501-202512,식음료업,일반외식업,9357299.0,96733.0,38.1,7138672.0,84491.0,76.3
47130,경상북도 경주시,202501-202512,식음료업,제과음료업,9357299.0,96733.0,38.1,2218627.0,47102.0,23.7
47130,경상북도 경주시,202501-202512,여가서비스업,관광유원시설,2204899.0,46956.0,9.0,20403.0,4517.0,0.9
47130,경상북도 경주시,202501-202512,여가서비스업,골프장,2204899.0,46956.0,9.0,1960184.0,44274.0,88.9
47130,경상북도 경주시,202501-202512,여가서비스업,기타레저,2204899.0,46956.0,9.0,131939.0,11486.0,6.0
47130,경상북도 경주시,202501-202512,여가서비스업,문화서비스,2204899.0,46956.0,9.0,92374.0,9611.0,4.2
47130,경상북도 경주시,202501-202512,여행업,여행업,66443.0,8151.0,0.3,66443.0,8151.0,100.0
47130,경상북도 경주시,202501-202512,운송업,육상운송,499841.0,22357.0,2.0,368610.0,19199.0,73.7
47130,경상북도 경주시,202501-202512,운송업,렌터카,499841.0,22357.0,2.0,131231.0,11456.0,26.3
47130,경상북도 경주시,202501-202512,의료웰니스업,의료관광,528756.0,22995.0,2.2,329210.0,18144.0,62.3
47130,경상북도 경주시,202501-202512,의료웰니스업,뷰티,528756.0,22995.0,2.2,199546.0,14126.0,37.7
44150,충청남도 공주시,202501-202512,쇼핑업,레저용품쇼핑,399445.0,19986.0,34.4,7219.0,2687.0,1.8
44150,충청남도 공주시,202501-202512,쇼핑업,기타관광쇼핑,399445.0,19986.0,34.4,392226.0,19805.0,98.2
44150,충청남도 공주시,202501-202512,숙박업,캠핑장/펜션,55514.0,7451.0,4.8,5835.0,2416.0,10.5
44150,충청남도 공주시,202501-202512,숙박업,기타숙박,55514.0,7451.0,4.8,49679.0,7048.0,89.5
44150,충청남도 공주시,202501-202512,식음료업,일반외식업,542693.0,23296.0,46.8,293607.0,17135.0,54.1
44150,충청남도 공주시,202501-202512,식음료업,제과음료업,542693.0,23296.0,46.8,249087.0,15782.0,45.9
44150,충청남도 공주시,202501-202512,여가서비스업,기타레저,26066.0,5105.0,2.2,11928.0,3454.0,45.8
44150,충청남도 공주시,202501-202512,여가서비스업,문화서비스,26066.0,5105.0,2.2,4697.0,2167.0,18.0
44150,충청남도 공주시,202501-202512,여가서비스업,골프장,26066.0,5105.0,2.2,9440.0,3072.0,36.2
44150,충청남도 공주시,202501-202512,운송업,육상운송,92390.0,9612.0,8.0,86595.0,9306.0,93.7
44150,충청남도 공주시,202501-202512,운송업,렌터카,92390.0,9612.0,8.0,5795.0,2407.0,6.3
44150,충청남도 공주시,202501-202512,의료웰니스업,의료관광,43927.0,6628.0,3.8,28087.0,5300.0,63.9
44150,충청남도 공주시,202501-202512,의료웰니스업,뷰티,43927.0,6628.0,3.8,15840.0,3980.0,36.1
44760,충청남도 부여군,202501-202512,쇼핑업,대형쇼핑몰,538415.0,23204.0,59.9,459563.0,21437.0,85.4
44760,충청남도 부여군,202501-202512,쇼핑업,레저용품쇼핑,538415.0,23204.0,59.9,2538.0,1593.0,0.5
44760,충청남도 부여군,202501-202512,쇼핑업,기타관광쇼핑,538415.0,23204.0,59.9,76314.0,8736.0,14.2
44760,충청남도 부여군,202501-202512,숙박업,호텔,69633.0,8345.0,7.7,58543.0,7651.0,84.1
44760,충청남도 부여군,202501-202512,숙박업,기타숙박,69633.0,8345.0,7.7,9354.0,3058.0,13.4
44760,충청남도 부여군,202501-202512,숙박업,캠핑장/펜션,69633.0,8345.0,7.7,1736.0,1318.0,2.5
44760,충청남도 부여군,202501-202512,식음료업,일반외식업,172776.0,13144.0,19.2,158826.0,12603.0,91.9
44760,충청남도 부여군,202501-202512,식음료업,제과음료업,172776.0,13144.0,19.2,13950.0,3735.0,8.1
44760,충청남도 부여군,202501-202512,여가서비스업,골프장,26649.0,5162.0,3.0,24185.0,4918.0,90.8
44760,충청남도 부여군,202501-202512,여가서비스업,기타레저,26649.0,5162.0,3.0,1006.0,1003.0,3.8
44760,충청남도 부여군,202501-202512,여가서비스업,문화서비스,26649.0,5162.0,3.0,1418.0,1191.0,5.3
44760,충청남도 부여군,202501-202512,여가서비스업,관광유원시설,26649.0,5162.0,3.0,40.0,200.0,0.2
44760,충청남도 부여군,202501-202512,여행업,여행업,5.0,71.0,0.0,5.0,71.0,100.0
44760,충청남도 부여군,202501-202512,운송업,육상운송,76704.0,8758.0,8.5,76704.0,8758.0,100.0
44760,충청남도 부여군,202501-202512,의료웰니스업,의료관광,14601.0,3821.0,1.6,9716.0,3117.0,66.5
44760,충청남도 부여군,202501-202512,의료웰니스업,뷰티,14601.0,3821.0,1.6,4884.0,2210.0,33.5
47280,경상북도 문경시,202501-202512,쇼핑업,대형쇼핑몰,176663.0,13291.0,16.6,4658.0,2158.0,2.6
47280,경상북도 문경시,202501-202512,쇼핑업,기타관광쇼핑,176663.0,13291.0,16.6,144242.0,12010.0,81.6
47280,경상북도 문경시,202501-202512,쇼핑업,레저용품쇼핑,176663.0,13291.0,16.6,27764.0,5269.0,15.7
47280,경상북도 문경시,202501-202512,숙박업,콘도,476895.0,21838.0,44.8,16373.0,4046.0,3.4
47280,경상북도 문경시,202501-202512,숙박업,기타숙박,476895.0,21838.0,44.8,458917.0,21422.0,96.2
47280,경상북도 문경시,202501-202512,숙박업,캠핑장/펜션,476895.0,21838.0,44.8,736.0,858.0,0.2
47280,경상북도 문경시,202501-202512,숙박업,호텔,476895.0,21838.0,44.8,869.0,932.0,0.2
47280,경상북도 문경시,202501-202512,식음료업,일반외식업,199793.0,14135.0,18.8,169493.0,13019.0,84.8
47280,경상북도 문경시,202501-202512,식음료업,제과음료업,199793.0,14135.0,18.8,30301.0,5505.0,15.2
47280,경상북도 문경시,202501-202512,여가서비스업,문화서비스,39803.0,6309.0,3.7,2996.0,1731.0,7.5
47280,경상북도 문경시,202501-202512,여가서비스업,골프장,39803.0,6309.0,3.7,25232.0,5023.0,63.4
47280,경상북도 문경시,202501-202512,여가서비스업,기타레저,39803.0,6309.0,3.7,10400.0,3225.0,26.1
47280,경상북도 문경시,202501-202512,여가서비스업,관광유원시설,39803.0,6309.0,3.7,1174.0,1084.0,2.9
