조회_SGG_CD,조회_지역,조회기간,DPTR_REGN_NM,DPTR_REGN_DTL_NM,TOU_NUM,TOU_NUM_SQRT,TOU_NUM_RATE,DTL_TOU_NUM,DTL_TOU_NUM_SQRT,DTL_TOU_NUM_RATE
47170,경상북도 안동시,202601-202608,쇼핑업,대형쇼핑몰,425517.0,20628.0,21.6,92727.0,9630.0,21.8
47170,경상북도 안동시,202601-202608,쇼핑업,레저용품쇼핑,425517.0,20628.0,21.6,38973.0,6243.0,9.2
47170,경상북도 안동시,202601-202608,쇼핑업,기타관광쇼핑,425517.0,20628.0,21.6,293817.0,17141.0,69.0
47170,경상북도 안동시,202601-202608,숙박업,호텔,442586.0,21038.0,22.5,18714.0,4326.0,4.2
47170,경상북도 안동시,202601-202608,숙박업,기타숙박,442586.0,21038.0,22.5,421879.0,20540.0,95.3
47170,경상북도 안동시,202601-202608,숙박업,캠핑장/펜션,442586.0,21038.0,22.5,1994.0,1412.0,0.5
47170,경상북도 안동시,202601-202608,식음료업,일반외식업,687611.0,26222.0,35.0,528129.0,22981.0,76.8
47170,경상북도 안동시,202601-202608,식음료업,제과음료업,687611.0,26222.0,35.0,159482.0,12629.0,23.2
47170,경상북도 안동시,202601-202608,여가서비스업,골프장,71029.0,8428.0,3.6,11004.0,3317.0,15.5
47170,경상북도 안동시,202601-202608,여가서비스업,기타레저,71029.0,8428.0,3.6,31488.0,5611.0,44.3
47170,경상북도 안동시,202601-202608,여가서비스업,문화서비스,71029.0,8428.0,3.6,28536.0,5342.0,40.2
47170,경상북도 안동시,202601-202608,여행업,여행업,283.0,532.0,0.0,283.0,532.0,100.0
47170,경상북도 안동시,202601-202608,운송업,육상운송,152272.0,12340.0,7.7,144352.0,12015.0,94.8
47170,경상북도 안동시,202601-202608,운송업,렌터카,152272.0,12340.0,7.7,7920.0,2814.0,5.2
47170,경상북도 안동시,202601-202608,의료웰니스업,의료관광,186932.0,13672.0,9.5,148868.0,12201.0,79.6
47170,경상북도 안동시,202601-202608,의료웰니스업,뷰티,186932.0,13672.0,9.5,38064.0,6170.0,20.4
47130,경상북도 경주시,202601-202608,쇼핑업,대형쇼핑몰,4866949.0,69764.0,24.7,116324.0,10785.0,2.4
47130,경상북도 경주시,202601-202608,쇼핑업,레저용품쇼핑,4866949.0,69764.0,24.7,206967.0,14386.0,4.3
47130,경상북도 경주시,202601-202608,쇼핑업,기타관광쇼핑,4866949.0,69764.0,24.7,4543659.0,67407.0,93.4
47130,경상북도 경주시,202601-202608,숙박업,호텔,3818829.0,61797.0,19.4,3162548.0,56237.0,82.8
47130,경상북도 경주시,202601-202608,숙박업,콘도,3818829.0,61797.0,19.4,154256.0,12420.0,4.0
47130,경상북도 경주시,202601-202608,숙박업,캠핑장/펜션,3818829.0,61797.0,19.4,155699.0,12478.0,4.1
47130,경상북도 경주시,202601-202608,숙박업,기타숙박,3818829.0,61797.0,19.4,346326.0,18610.0,9.1
47130,경상북도 경주시,202601-202608,식음료업,일반외식업,9583556.0,97896.0,48.7,7399474.0,86020.0,77.2
47130,경상북도 경주시,202601-202608,식음료업,제과음료업,9583556.0,97896.0,48.7,2184082.0,46734.0,22.8
47130,경상북도 경주시,202601-202608,여가서비스업,관광유원시설,457891.0,21398.0,2.3,26779.0,5175.0,5.8
47130,경상북도 경주시,202601-202608,여가서비스업,골프장,457891.0,21398.0,2.3,158035.0,12571.0,34.5
47130,경상북도 경주시,202601-202608,여가서비스업,기타레저,457891.0,21398.0,2.3,161491.0,12708.0,35.3
47130,경상북도 경주시,202601-202608,여가서비스업,문화서비스,457891.0,21398.0,2.3,111586.0,10563.0,24.4
47130,경상북도 경주시,202601-202608,여행업,여행업,6227.0,2495.0,0.0,6227.0,2495.0,100.0
47130,경상북도 경주시,202601-202608,운송업,육상운송,397150.0,19929.0,2.0,276159.0,16618.0,69.5
47130,경상북도 경주시,202601-202608,운송업,렌터카,397150.0,19929.0,2.0,120992.0,11000.0,30.5
47130,경상북도 경주시,202601-202608,의료웰니스업,의료관광,549916.0,23450.0,2.8,324402.0,18011.0,59.0
47130,경상북도 경주시,202601-202608,의료웰니스업,뷰티,549916.0,23450.0,2.8,225514.0,15017.0,41.0
44150,충청남도 공주시,202601-202608,쇼핑업,레저용품쇼핑,256071.0,16002.0,30.8,6991.0,2644.0,2.7
44150,충청남도 공주시,202601-202608,쇼핑업,기타관광쇼핑,256071.0,16002.0,30.8,249080.0,15782.0,97.3
44150,충청남도 공주시,202601-202608,숙박업,캠핑장/펜션,48187.0,6942.0,5.8,3198.0,1788.0,6.6
44150,충청남도 공주시,202601-202608,숙박업,기타숙박,48187.0,6942.0,5.8,44989.0,6707.0,93.4
44150,충청남도 공주시,202601-202608,식음료업,일반외식업,411932.0,20296.0,49.5,218798.0,14792.0,53.1
