조회_SGG_CD,조회_지역,조회기간,DAYWK_DIV_NM,TOU_NUM,VISIT_RAT,DAYWK_DIV_CD,PREDICT_YMD,X,WK
47170,경상북도 안동시,202608-202608,월요일,42738.0,1.9,1,20260914,1,1
47170,경상북도 안동시,202608-202608,화요일,42707.0,1.9,2,20260915,2,1
47170,경상북도 안동시,202608-202608,수요일,42029.0,1.9,3,20260916,3,1
47170,경상북도 안동시,202608-202608,목요일,44412.0,2.0,4,20260917,4,1
47170,경상북도 안동시,202608-202608,금요일,49521.0,2.2,5,20260918,5,1
47170,경상북도 안동시,202608-202608,토요일,72338.0,3.2,6,20260919,6,1
47170,경상북도 안동시,202608-202608,일요일,64528.0,2.9,7,20260920,7,1
47170,경상북도 안동시,202608-202608,월요일,42738.0,1.9,1,20260921,8,2
47170,경상북도 안동시,202608-202608,화요일,42707.0,1.9,2,20260922,9,2
47170,경상북도 안동시,202608-202608,수요일,42029.0,1.9,3,20260923,10,2
47170,경상북도 안동시,202608-202608,목요일,122907.0,5.5,4,20260924,11,2
47170,경상북도 안동시,202608-202608,금요일,126366.0,5.7,5,20260925,12,2
47170,경상북도 안동시,202608-202608,토요일,131098.0,5.9,6,20260926,13,2
47170,경상북도 안동시,202608-202608,일요일,64528.0,2.9,7,20260927,14,2
47170,경상북도 안동시,202608-202608,월요일,42738.0,1.9,1,20260928,15,3
47170,경상북도 안동시,202608-202608,화요일,42707.0,1.9,2,20260929,16,3
47170,경상북도 안동시,202608-202608,수요일,42029.0,1.9,3,20260930,17,3
47170,경상북도 안동시,202608-202608,목요일,46271.0,2.1,4,20261001,18,3
47170,경상북도 안동시,202608-202608,금요일,52173.0,2.3,5,20261002,19,3
47170,경상북도 안동시,202608-202608,토요일,113462.0,5.1,6,20261003,20,3
47170,경상북도 안동시,202608-202608,일요일,70273.0,3.2,7,20261004,21,3
47170,경상북도 안동시,202608-202608,월요일,111151.0,5.0,1,20261005,22,4
47170,경상북도 안동시,202608-202608,화요일,45157.0,2.0,2,20261006,23,4
47170,경상북도 안동시,202608-202608,수요일,45295.0,2.0,3,20261007,24,4
47170,경상북도 안동시,202608-202608,목요일,46271.0,2.1,4,20261008,25,4
47170,경상북도 안동시,202608-202608,금요일,110579.0,5.0,5,20261009,26,4
47170,경상북도 안동시,202608-202608,토요일,77068.0,3.5,6,20261010,27,4
47170,경상북도 안동시,202608-202608,일요일,70273.0,3.2,7,20261011,28,4
47170,경상북도 안동시,202608-202608,월요일,45025.0,2.0,1,20261012,29,5
47170,경상북도 안동시,202608-202608,화요일,45157.0,2.0,2,20261013,30,5
47170,경상북도 안동시,202608-202608,수요일,45295.0,2.0,3,20261014,31,5
47170,경상북도 안동시,202608-202608,목요일,46271.0,2.1,4,20261015,32,5
47170,경상북도 안동시,202608-202608,금요일,52173.0,2.3,5,20261016,33,5
47170,경상북도 안동시,202608-202608,토요일,77068.0,3.5,6,20261017,34,5
47170,경상북도 안동시,202608-202608,일요일,70273.0,3.2,7,20261018,35,5
