조회_SGG_CD,조회_지역,조회기간,FROM_NM,TO_NM,DPTR_REGN_NM,DPTR_REGN_DTL_NM,TOU_NUM,TOU_NUM_SQRT,TOU_NUM_RATE,DTL_TOU_NUM,DTL_TOU_NUM_SQRT,DTL_TOU_NUM_RATE
47170,경상북도 안동시,202401-202408,경상남도 의령군,경상북도 안동시,음식,한식,71639,268.0,39.9,2,1.0,47.4
47170,경상북도 안동시,202401-202408,전북특별자치도 정읍시,경상북도 안동시,음식,한식,71639,268.0,39.9,2,1.0,47.4
47170,경상북도 안동시,202401-202408,전남광주통합특별시 함평군,경상북도 안동시,음식,한식,71639,268.0,39.9,1,1.0,47.4
47170,경상북도 안동시,202401-202408,경상남도 고성군,경상북도 안동시,음식,한식,71639,268.0,39.9,5,2.0,47.4
47170,경상북도 안동시,202401-202408,전남광주통합특별시 영광군,경상북도 안동시,음식,한식,71639,268.0,39.9,1,1.0,47.4
47170,경상북도 안동시,202401-202408,전남광주통합특별시 북구,경상북도 안동시,음식,한식,71639,268.0,39.9,5,2.0,47.4
47170,경상북도 안동시,202401-202408,제주특별자치도 서귀포시,경상북도 안동시,음식,한식,71639,268.0,39.9,1,1.0,47.4
47170,경상북도 안동시,202401-202408,경기도 연천군,경상북도 안동시,음식,한식,71639,268.0,39.9,1,1.0,47.4
47170,경상북도 안동시,202401-202408,전남광주통합특별시 목포시,경상북도 안동시,음식,한식,71639,268.0,39.9,2,1.0,47.4
47170,경상북도 안동시,202401-202408,경상남도 함양군,경상북도 안동시,음식,한식,71639,268.0,39.9,2,1.0,47.4
47170,경상북도 안동시,202401-202408,전남광주통합특별시 화순군,경상북도 안동시,음식,한식,71639,268.0,39.9,1,1.0,47.4
47170,경상북도 안동시,202401-202408,전북특별자치도 고창군,경상북도 안동시,음식,한식,71639,268.0,39.9,32,6.0,47.4
47170,경상북도 안동시,202401-202408,강원특별자치도 고성군,경상북도 안동시,음식,한식,71639,268.0,39.9,1,1.0,47.4
47170,경상북도 안동시,202401-202408,충청남도 예산군,경상북도 안동시,음식,한식,71639,268.0,39.9,1,1.0,47.4
47170,경상북도 안동시,202401-202408,전남광주통합특별시 보성군,경상북도 안동시,음식,한식,71639,268.0,39.9,1,1.0,47.4
47170,경상북도 안동시,202401-202408,강원특별자치도 양양군,경상북도 안동시,음식,한식,71639,268.0,39.9,1,1.0,47.4
47170,경상북도 안동시,202401-202408,경기도 부천시 원미구,경상북도 안동시,음식,전문음식,71639,268.0,39.9,2,1.0,18.2
47170,경상북도 안동시,202401-202408,경기도 가평군,경상북도 안동시,음식,전문음식,71639,268.0,39.9,1,1.0,18.2
47170,경상북도 안동시,202401-202408,경기도 포천시,경상북도 안동시,음식,전문음식,71639,268.0,39.9,1,1.0,18.2
47170,경상북도 안동시,202401-202408,경기도 고양시 일산서구,경상북도 안동시,음식,전문음식,71639,268.0,39.9,2,1.0,18.2
47170,경상북도 안동시,202401-202408,전북특별자치도 김제시,경상북도 안동시,음식,전문음식,71639,268.0,39.9,3,2.0,18.2
47170,경상북도 안동시,202401-202408,전남광주통합특별시 광양시,경상북도 안동시,음식,전문음식,71639,268.0,39.9,1,1.0,18.2
47170,경상북도 안동시,202401-202408,전남광주통합특별시 광산구,경상북도 안동시,음식,전문음식,71639,268.0,39.9,1,1.0,18.2
47170,경상북도 안동시,202401-202408,강원특별자치도 인제군,경상북도 안동시,음식,전문음식,71639,268.0,39.9,2,1.0,18.2
47170,경상북도 안동시,202401-202408,전북특별자치도 무주군,경상북도 안동시,음식,전문음식,71639,268.0,39.9,4,2.0,18.2
47170,경상북도 안동시,202401-202408,서울특별시 중구,경상북도 안동시,음식,전문음식,71639,268.0,39.9,23,5.0,18.2
47170,경상북도 안동시,202401-202408,서울특별시 성북구,경상북도 안동시,음식,전문음식,71639,268.0,39.9,2,1.0,18.2
47170,경상북도 안동시,202401-202408,서울특별시 도봉구,경상북도 안동시,음식,전문음식,71639,268.0,39.9,5,2.0,18.2
47170,경상북도 안동시,202401-202408,부산광역시 서구,경상북도 안동시,음식,전문음식,71639,268.0,39.9,1,1.0,18.2
47170,경상북도 안동시,202401-202408,부산광역시 북구,경상북도 안동시,음식,전문음식,71639,268.0,39.9,13,4.0,18.2
47170,경상북도 안동시,202401-202408,부산광역시 연제구,경상북도 안동시,음식,전문음식,71639,268.0,39.9,9,3.0,18.2
47170,경상북도 안동시,202401-202408,부산광역시 수영구,경상북도 안동시,음식,전문음식,71639,268.0,39.9,4,2.0,18.2
47170,경상북도 안동시,202401-202408,대구광역시 북구,경상북도 안동시,음식,전문음식,71639,268.0,39.9,237,15.0,18.2
47170,경상북도 안동시,202401-202408,대전광역시 대덕구,경상북도 안동시,음식,전문음식,71639,268.0,39.9,8,3.0,18.2
47170,경상북도 안동시,202401-202408,울산광역시 남구,경상북도 안동시,음식,전문음식,71639,268.0,39.9,18,4.0,18.2
47170,경상북도 안동시,202401-202408,경기도 성남시 수정구,경상북도 안동시,음식,전문음식,71639,268.0,39.9,9,3.0,18.2
47170,경상북도 안동시,202401-202408,경기도 성남시 분당구,경상북도 안동시,음식,전문음식,71639,268.0,39.9,33,6.0,18.2
47170,경상북도 안동시,202401-202408,경기도 하남시,경상북도 안동시,음식,전문음식,71639,268.0,39.9,34,6.0,18.2
47170,경상북도 안동시,202401-202408,경기도 용인시 처인구,경상북도 안동시,음식,전문음식,71639,268.0,39.9,21,5.0,18.2
47170,경상북도 안동시,202401-202408,경기도 용인시 수지구,경상북도 안동시,음식,전문음식,71639,268.0,39.9,12,3.0,18.2
47170,경상북도 안동시,202401-202408,경기도 여주시,경상북도 안동시,음식,전문음식,71639,268.0,39.9,33,6.0,18.2
47170,경상북도 안동시,202401-202408,강원특별자치도 홍천군,경상북도 안동시,음식,전문음식,71639,268.0,39.9,4,2.0,18.2
47170,경상북도 안동시,202401-202408,강원특별자치도 평창군,경상북도 안동시,음식,전문음식,71639,268.0,39.9,22,5.0,18.2
47170,경상북도 안동시,202401-202408,충청남도 천안시 서북구,경상북도 안동시,음식,전문음식,71639,268.0,39.9,37,6.0,18.2
47170,경상북도 안동시,202401-202408,경상북도 포항시 북구,경상북도 안동시,음식,전문음식,71639,268.0,39.9,112,11.0,18.2
47170,경상북도 안동시,202401-202408,서울특별시 도봉구,경상북도 안동시,음식,카페/찻집,71639,268.0,39.9,4,2.0,16.4
47170,경상북도 안동시,202401-202408,서울특별시 서초구,경상북도 안동시,음식,카페/찻집,71639,268.0,39.9,11,3.0,16.4
47170,경상북도 안동시,202401-202408,대구광역시 북구,경상북도 안동시,음식,카페/찻집,71639,268.0,39.9,321,18.0,16.4
