조회_SGG_CD,조회_지역,조회기간,FROM_NM,TO_NM,DPTR_REGN_NM,DPTR_REGN_DTL_NM,TOU_NUM,TOU_NUM_SQRT,TOU_NUM_RATE,DTL_TOU_NUM,DTL_TOU_NUM_SQRT,DTL_TOU_NUM_RATE
47170,경상북도 안동시,202501-202512,경상북도 포항시 남구,경상북도 안동시,음식,전문음식,77737,279.0,31.7,64,8.0,17.9
47170,경상북도 안동시,202501-202512,경상북도 포항시 북구,경상북도 안동시,음식,전문음식,77737,279.0,31.7,134,12.0,17.9
47170,경상북도 안동시,202501-202512,경상북도 영주시,경상북도 안동시,음식,전문음식,77737,279.0,31.7,2072,46.0,17.9
47170,경상북도 안동시,202501-202512,경상북도 영천시,경상북도 안동시,음식,전문음식,77737,279.0,31.7,125,11.0,17.9
47170,경상북도 안동시,202501-202512,경상북도 상주시,경상북도 안동시,음식,전문음식,77737,279.0,31.7,227,15.0,17.9
47170,경상북도 안동시,202501-202512,경상북도 경산시,경상북도 안동시,음식,전문음식,77737,279.0,31.7,71,8.0,17.9
47170,경상북도 안동시,202501-202512,대구광역시 군위군,경상북도 안동시,음식,전문음식,77737,279.0,31.7,327,18.0,17.9
47170,경상북도 안동시,202501-202512,경상북도 영양군,경상북도 안동시,음식,전문음식,77737,279.0,31.7,188,14.0,17.9
47170,경상북도 안동시,202501-202512,서울특별시 서대문구,경상북도 안동시,음식,카페/찻집,77737,279.0,31.7,3,2.0,14.3
47170,경상북도 안동시,202501-202512,전남광주통합특별시 해남군,경상북도 안동시,음식,카페/찻집,77737,279.0,31.7,1,1.0,14.3
47170,경상북도 안동시,202501-202512,부산광역시 사상구,경상북도 안동시,음식,카페/찻집,77737,279.0,31.7,2,1.0,14.3
47170,경상북도 안동시,202501-202512,경상남도 사천시,경상북도 안동시,음식,카페/찻집,77737,279.0,31.7,3,2.0,14.3
47170,경상북도 안동시,202501-202512,경상남도 산청군,경상북도 안동시,음식,카페/찻집,77737,279.0,31.7,3,2.0,14.3
47170,경상북도 안동시,202501-202512,서울특별시 은평구,경상북도 안동시,음식,카페/찻집,77737,279.0,31.7,5,2.0,14.3
47170,경상북도 안동시,202501-202512,부산광역시 남구,경상북도 안동시,음식,카페/찻집,77737,279.0,31.7,2,1.0,14.3
47170,경상북도 안동시,202501-202512,경기도 동두천시,경상북도 안동시,음식,카페/찻집,77737,279.0,31.7,1,1.0,14.3
47170,경상북도 안동시,202501-202512,경상남도 함양군,경상북도 안동시,음식,카페/찻집,77737,279.0,31.7,1,1.0,14.3
47170,경상북도 안동시,202501-202512,전북특별자치도 남원시,경상북도 안동시,음식,카페/찻집,77737,279.0,31.7,3,2.0,14.3
47170,경상북도 안동시,202501-202512,경기도 오산시,경상북도 안동시,음식,카페/찻집,77737,279.0,31.7,2,1.0,14.3
47170,경상북도 안동시,202501-202512,충청남도 계룡시,경상북도 안동시,음식,카페/찻집,77737,279.0,31.7,3,2.0,14.3
47170,경상북도 안동시,202501-202512,강원특별자치도 평창군,경상북도 안동시,음식,카페/찻집,77737,279.0,31.7,4,2.0,14.3
47170,경상북도 안동시,202501-202512,서울특별시 동대문구,경상북도 안동시,음식,카페/찻집,77737,279.0,31.7,3,2.0,14.3
47170,경상북도 안동시,202501-202512,전북특별자치도 전주시 완산구,경상북도 안동시,음식,카페/찻집,77737,279.0,31.7,1,1.0,14.3
47170,경상북도 안동시,202501-202512,인천광역시 서구,경상북도 안동시,음식,카페/찻집,77737,279.0,31.7,2,1.0,14.3
47170,경상북도 안동시,202501-202512,서울특별시 노원구,경상북도 안동시,음식,카페/찻집,77737,279.0,31.7,1,1.0,14.3
