조회_SGG_CD,조회_지역,조회기간,FROM_NM,TO_NM,TOU_NUM_RATE,TAR_SGG_CD,TDIV
47170,경상북도 안동시,202401-202408,경상북도 예천군 , 경상북도 안동시,25.0,47900,1
47170,경상북도 안동시,202401-202408,경상북도 영주시 , 경상북도 안동시,11.7,47210,1
47170,경상북도 안동시,202401-202408,경상북도 의성군 , 경상북도 안동시,7.8,47730,1
47170,경상북도 안동시,202401-202408,경상북도 청송군 , 경상북도 안동시,4.1,47750,1
47170,경상북도 안동시,202401-202408,경상북도 구미시 , 경상북도 안동시,3.1,47190,1
47170,경상북도 안동시,202401-202408,대구광역시 군위군 , 경상북도 안동시,2.6,27720,1
47170,경상북도 안동시,202401-202408,대구광역시 북구 , 경상북도 안동시,2.6,27230,1
47170,경상북도 안동시,202401-202408,경상북도 문경시 , 경상북도 안동시,2.3,47280,1
47170,경상북도 안동시,202401-202408,경상북도 봉화군 , 경상북도 안동시,2.2,47920,1
47170,경상북도 안동시,202401-202408,충청북도 단양군 , 경상북도 안동시,2.0,43800,1
47170,경상북도 안동시,202401-202408,경상북도 칠곡군 , 경상북도 안동시,1.9,47850,1
47170,경상북도 안동시,202401-202408,경상북도 영덕군 , 경상북도 안동시,1.8,47770,1
47170,경상북도 안동시,202401-202408,대구광역시 달서구 , 경상북도 안동시,1.7,27290,1
47170,경상북도 안동시,202401-202408,경상북도 상주시 , 경상북도 안동시,1.7,47250,1
47170,경상북도 안동시,202401-202408,대구광역시 동구 , 경상북도 안동시,1.6,27140,1
47170,경상북도 안동시,202401-202408,대구광역시 수성구 , 경상북도 안동시,1.4,27260,1
47170,경상북도 안동시,202401-202408,강원특별자치도 원주시 , 경상북도 안동시,1.1,51130,1
47170,경상북도 안동시,202401-202408,충청북도 제천시 , 경상북도 안동시,1.0,43150,1
47170,경상북도 안동시,202401-202408,충청북도 충주시 , 경상북도 안동시,1.0,43130,1
47170,경상북도 안동시,202401-202408,경상북도 경주시 , 경상북도 안동시,1.0,47130,1
47170,경상북도 안동시,202401-202408, 경상북도 안동시,경상북도 예천군,27.2,47900,2
47170,경상북도 안동시,202401-202408, 경상북도 안동시,경상북도 영주시,10.9,47210,2
47170,경상북도 안동시,202401-202408, 경상북도 안동시,경상북도 영덕군,5.4,47770,2
47170,경상북도 안동시,202401-202408, 경상북도 안동시,경상북도 청송군,4.3,47750,2
47170,경상북도 안동시,202401-202408, 경상북도 안동시,경상북도 의성군,4.3,47730,2
47170,경상북도 안동시,202401-202408, 경상북도 안동시,경상북도 구미시,3.3,47190,2
47170,경상북도 안동시,202401-202408, 경상북도 안동시,경상북도 문경시,2.7,47280,2
47170,경상북도 안동시,202401-202408, 경상북도 안동시,경상북도 봉화군,2.7,47920,2
47170,경상북도 안동시,202401-202408, 경상북도 안동시,대구광역시 북구,2.2,27230,2
47170,경상북도 안동시,202401-202408, 경상북도 안동시,대구광역시 수성구,2.2,27260,2
47170,경상북도 안동시,202401-202408, 경상북도 안동시,경상북도 경주시,1.9,47130,2
47170,경상북도 안동시,202401-202408, 경상북도 안동시,대구광역시 군위군,1.8,27720,2
47170,경상북도 안동시,202401-202408, 경상북도 안동시,대구광역시 동구,1.8,27140,2
47170,경상북도 안동시,202401-202408, 경상북도 안동시,경상북도 포항시 북구,1.6,47113,2
47170,경상북도 안동시,202401-202408, 경상북도 안동시,대구광역시 달서구,1.6,27290,2
47170,경상북도 안동시,202401-202408, 경상북도 안동시,경상북도 상주시,1.3,47250,2
47170,경상북도 안동시,202401-202408, 경상북도 안동시,충청북도 단양군,1.3,43800,2
47170,경상북도 안동시,202401-202408, 경상북도 안동시,충청북도 제천시,1.3,43150,2
47170,경상북도 안동시,202401-202408, 경상북도 안동시,경상북도 칠곡군,1.2,47850,2
47170,경상북도 안동시,202401-202408, 경상북도 안동시,경상북도 울진군,1.2,47930,2
