조회_SGG_CD,조회_지역,조회기간,FROM_NM,TO_NM,DPTR_REGN_NM,DPTR_REGN_DTL_NM,TOU_NUM,TOU_NUM_SQRT,TOU_NUM_RATE,DTL_TOU_NUM,DTL_TOU_NUM_SQRT,DTL_TOU_NUM_RATE
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 예천군,음식,한식,17526,132.0,11.8,8914,94.0,50.9
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 예천군,음식,음식점기타,17526,132.0,11.8,44,7.0,0.3
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 예천군,음식,전문음식,17526,132.0,11.8,2175,47.0,12.4
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 예천군,음식,카페/찻집,17526,132.0,11.8,3334,58.0,19.0
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 예천군,음식,간이음식,17526,132.0,11.8,2120,46.0,12.1
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 예천군,음식,외국식,17526,132.0,11.8,939,31.0,5.4
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 영주시,음식,간이음식,7903,89.0,5.3,1265,36.0,16.0
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 영주시,음식,외국식,7903,89.0,5.3,417,20.0,5.3
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 영주시,음식,한식,7903,89.0,5.3,3489,59.0,44.1
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 영주시,음식,음식점기타,7903,89.0,5.3,33,6.0,0.4
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 영주시,음식,전문음식,7903,89.0,5.3,1070,33.0,13.5
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 영주시,음식,카페/찻집,7903,89.0,5.3,1629,40.0,20.6
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 영덕군,자연관광,자연공원,3855,62.0,2.6,15,4.0,0.4
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 영덕군,자연관광,자연경관(산),3855,62.0,2.6,94,10.0,2.4
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 영덕군,자연관광,자연경관(하천/해양),3855,62.0,2.6,3746,61.0,97.2
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 예천군,레저스포츠,기타레저스포츠,3238,57.0,2.2,86,9.0,2.7
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 예천군,레저스포츠,수상레저스포츠,3238,57.0,2.2,63,8.0,1.9
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 예천군,레저스포츠,육상레저스포츠,3238,57.0,2.2,3089,56.0,95.4
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 의성군,음식,음식점기타,2843,53.0,1.9,18,4.0,0.6
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 의성군,음식,전문음식,2843,53.0,1.9,296,17.0,10.4
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 의성군,음식,카페/찻집,2843,53.0,1.9,353,19.0,12.4
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 의성군,음식,간이음식,2843,53.0,1.9,192,14.0,6.8
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 의성군,음식,외국식,2843,53.0,1.9,137,12.0,4.8
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 의성군,음식,한식,2843,53.0,1.9,1847,43.0,65.0
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 예천군,문화관광,공연시설,2796,53.0,1.9,706,27.0,25.3
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 예천군,문화관광,기타문화관광지,2796,53.0,1.9,434,21.0,15.5
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 예천군,문화관광,도시공원,2796,53.0,1.9,400,20.0,14.3
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 예천군,문화관광,랜드마크관광,2796,53.0,1.9,256,16.0,9.2
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 예천군,문화관광,레저스포츠시설,2796,53.0,1.9,54,7.0,1.9
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 예천군,문화관광,전시시설,2796,53.0,1.9,649,25.0,23.2
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 예천군,문화관광,테마공원,2796,53.0,1.9,297,17.0,10.6
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 청송군,숙박,기타숙박,2760,53.0,1.9,19,4.0,0.7
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 청송군,숙박,모텔,2760,53.0,1.9,316,18.0,11.4
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 청송군,숙박,캠핑,2760,53.0,1.9,84,9.0,3.0
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 청송군,숙박,콘도미니엄,2760,53.0,1.9,2188,47.0,79.3
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 청송군,숙박,펜션/민박,2760,53.0,1.9,28,5.0,1.0
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 청송군,숙박,호텔,2760,53.0,1.9,125,11.0,4.5
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 청송군,음식,한식,2455,50.0,1.7,1861,43.0,75.8
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 청송군,음식,음식점기타,2455,50.0,1.7,11,3.0,0.4
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 청송군,음식,전문음식,2455,50.0,1.7,200,14.0,8.1
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 청송군,음식,카페/찻집,2455,50.0,1.7,197,14.0,8.0
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 청송군,음식,간이음식,2455,50.0,1.7,127,11.0,5.2
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 청송군,음식,외국식,2455,50.0,1.7,59,8.0,2.4
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 영덕군,음식,간이음식,2178,47.0,1.5,76,9.0,3.5
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 영덕군,음식,외국식,2178,47.0,1.5,94,10.0,4.3
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 영덕군,음식,한식,2178,47.0,1.5,401,20.0,18.4
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 영덕군,음식,음식점기타,2178,47.0,1.5,60,8.0,2.8
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 영덕군,음식,전문음식,2178,47.0,1.5,1240,35.0,56.9
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 영덕군,음식,카페/찻집,2178,47.0,1.5,307,18.0,14.1
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 영주시,역사관광,종교성지,2114,46.0,1.4,1525,39.0,72.1
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 영주시,역사관광,역사유물,2114,46.0,1.4,27,5.0,1.3
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 영주시,역사관광,역사유적지,2114,46.0,1.4,562,24.0,26.6
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 구미시,음식,간이음식,1987,45.0,1.3,339,18.0,17.1
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 구미시,음식,외국식,1987,45.0,1.3,132,11.0,6.6
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 구미시,음식,음식점기타,1987,45.0,1.3,14,4.0,0.7
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 구미시,음식,전문음식,1987,45.0,1.3,482,22.0,24.3
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 구미시,음식,카페/찻집,1987,45.0,1.3,296,17.0,14.9
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 구미시,음식,한식,1987,45.0,1.3,724,27.0,36.4
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 문경시,음식,한식,1918,44.0,1.3,811,28.0,42.3
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 문경시,음식,간이음식,1918,44.0,1.3,174,13.0,9.1
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 문경시,음식,외국식,1918,44.0,1.3,154,12.0,8.0
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 문경시,음식,음식점기타,1918,44.0,1.3,10,3.0,0.5
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 문경시,음식,전문음식,1918,44.0,1.3,223,15.0,11.6
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 문경시,음식,카페/찻집,1918,44.0,1.3,546,23.0,28.5
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 영주시,숙박,콘도미니엄,1846,43.0,1.2,404,20.0,21.9
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 영주시,숙박,펜션/민박,1846,43.0,1.2,30,5.0,1.6
47170,경상북도 안동시,202401-202408,경상북도 안동시,경상북도 영주시,숙박,호텔,1846,43.0,1.2,443,21.0,24.0
