조회_SGG_CD,조회_지역,조회기간,FROM_NM,TO_NM,DPTR_REGN_NM,DPTR_REGN_DTL_NM,TOU_NUM,TOU_NUM_SQRT,TOU_NUM_RATE,DTL_TOU_NUM,DTL_TOU_NUM_SQRT,DTL_TOU_NUM_RATE
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 예천군,음식,한식,19502,140.0,10.0,10562,103.0,54.2
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 예천군,음식,음식점기타,19502,140.0,10.0,58,8.0,0.3
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 예천군,음식,전문음식,19502,140.0,10.0,2625,51.0,13.5
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 예천군,음식,카페/찻집,19502,140.0,10.0,3293,57.0,16.9
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 예천군,음식,간이음식,19502,140.0,10.0,2117,46.0,10.9
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 예천군,음식,외국식,19502,140.0,10.0,847,29.0,4.3
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 영주시,음식,간이음식,9088,95.0,4.6,1324,36.0,14.6
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 영주시,음식,외국식,9088,95.0,4.6,557,24.0,6.1
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 영주시,음식,음식점기타,9088,95.0,4.6,46,7.0,0.5
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 영주시,음식,전문음식,9088,95.0,4.6,1299,36.0,14.3
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 영주시,음식,카페/찻집,9088,95.0,4.6,1844,43.0,20.3
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 영주시,음식,한식,9088,95.0,4.6,4018,63.0,44.2
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 영덕군,자연관광,자연경관(산),5001,71.0,2.6,128,11.0,2.6
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 영덕군,자연관광,자연경관(하천/해양),5001,71.0,2.6,4837,70.0,96.7
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 영덕군,자연관광,자연공원,5001,71.0,2.6,36,6.0,0.7
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 예천군,문화관광,도시/지역문화관광,3403,58.0,1.7,26,5.0,0.8
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 예천군,문화관광,도시공원,3403,58.0,1.7,434,21.0,12.8
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 예천군,문화관광,랜드마크관광,3403,58.0,1.7,340,18.0,10.0
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 예천군,문화관광,레저스포츠시설,3403,58.0,1.7,121,11.0,3.6
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 예천군,문화관광,전시시설,3403,58.0,1.7,533,23.0,15.7
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 예천군,문화관광,테마공원,3403,58.0,1.7,341,18.0,10.0
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 예천군,문화관광,공연시설,3403,58.0,1.7,795,28.0,23.4
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 예천군,문화관광,기타문화관광지,3403,58.0,1.7,813,29.0,23.9
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 영주시,역사관광,종교성지,3353,58.0,1.7,2353,49.0,70.2
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 영주시,역사관광,역사유물,3353,58.0,1.7,29,5.0,0.9
