조회_SGG_CD,조회_지역,조회기간,RK,SIDO_NM,SGG_NM,TAR_ID,BASE_YM,NATI_TOU_NUM,TOTAL_NUM
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201801,33665,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201802,31416,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201803,45780,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201804,272997,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201805,184528,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201806,74347,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201807,116089,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201808,92556,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201809,183395,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201810,393774,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201811,309331,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201812,102873,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201901,83080,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201902,88892,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201903,63836,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201904,186464,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201905,231340,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201906,170721,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201907,154066,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201908,164842,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201909,172020,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201910,346834,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201911,259673,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201912,160062,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202001,155403,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202002,97303,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202003,26058,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202004,42006,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202005,89651,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202006,78867,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202007,40383,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202008,158367,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202009,23517,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202010,59931,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202011,42635,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202012,13580,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202101,14104,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202102,32134,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202103,25202,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202104,34369,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202105,41601,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202106,30468,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202107,23924,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202108,40366,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202109,37507,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202110,55001,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202111,43654,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202112,22347,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202201,27165,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202202,23947,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202203,17123,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202204,40083,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202205,48185,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202206,36396,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202207,32223,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202208,50596,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202209,42849,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202210,89813,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202211,48783,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202212,23799,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202301,19943,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202302,26483,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202303,31515,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202304,54065,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202305,45307,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202306,35531,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202307,27310,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202308,36193,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202309,46764,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202310,101703,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202311,51074,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202312,28304,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202401,27452,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202402,33048,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202403,47433,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202404,60979,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202405,57281,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202406,47494,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202407,29145,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202408,36362,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202409,48374,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202410,84287,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202411,66763,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202412,25950,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202501,34652,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202502,24106,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202503,34242,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202504,32341,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202505,67950,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202506,44658,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202507,25997,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202508,45382,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202509,39857,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202510,89117,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202511,67677,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202512,29574,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202601,25549,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202602,35725,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202603,40807,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202604,-,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202605,-,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202606,-,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202607,-,7338315.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202608,-,7338315.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,201801,7817,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,201802,8760,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,201803,28771,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,201804,40636,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,201805,126273,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,201806,97935,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,201807,97244,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,201808,231585,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,201809,77343,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,201810,225201,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,201811,90841,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,201812,13561,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,201901,57020,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,201902,71926,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,201903,100715,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,201904,112783,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,201905,126580,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,201906,112536,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,201907,146799,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,201908,374271,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,201909,97359,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,201910,171069,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,201911,108684,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,201912,58134,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202001,60637,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202002,42133,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202003,39657,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202004,62328,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202005,79986,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202006,70042,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202007,80950,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202008,25780,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202009,17347,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202010,27835,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202011,19789,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202012,10964,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202101,12627,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202102,16324,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202103,20469,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202104,28473,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202105,28745,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202106,23130,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202107,19897,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202108,25695,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202109,21063,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202110,31298,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202111,66180,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202112,23603,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202201,6088,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202202,4902,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202203,4396,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202204,5686,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202205,6332,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202206,-,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202207,-,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202208,-,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202209,-,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202210,-,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202211,-,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202212,-,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202301,-,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202302,-,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202303,-,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202304,-,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202305,-,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202306,-,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202307,-,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202308,-,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202309,-,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202310,-,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202311,-,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202312,-,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202401,-,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202402,-,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202403,-,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202404,-,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202405,-,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202406,-,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202407,-,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202408,-,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202409,-,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202410,-,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202411,-,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202412,-,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202501,-,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202502,-,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202503,-,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202504,-,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202505,-,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202506,-,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202507,-,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202508,-,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202509,-,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202510,-,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202511,-,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202512,-,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202601,-,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202602,-,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202603,-,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202604,-,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202605,-,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202606,-,3466199.0
47170,경상북도 안동시,201801-202608,2,경상북도,안동시,시립민속박물관,202607,-,3466199.0
