조회_SGG_CD,조회_지역,조회기간,RK,SIDO_NM,SGG_NM,TAR_ID,BASE_YM,FRN_TOU_NUM,TOTAL_NUM
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201801,1838,241900.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201802,1600,241900.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201803,1771,241900.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201804,2816,241900.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201805,3622,241900.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201806,7548,241900.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201807,22196,241900.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201808,4557,241900.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201809,7754,241900.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201810,9881,241900.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201811,6492,241900.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201812,3329,241900.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201901,2837,241900.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201902,2552,241900.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201903,3046,241900.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201904,3184,241900.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201905,3346,241900.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201906,4649,241900.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201907,16050,241900.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201908,3654,241900.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201909,3196,241900.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201910,4712,241900.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201911,5317,241900.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201912,4895,241900.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202001,4334,241900.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202002,2552,241900.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202003,491,241900.0
