조회_SGG_CD,조회_지역,조회기간,RK,SIDO_NM,SGG_NM,TAR_ID,BASE_YM,ALL_TOU_NUM,TOTAL_NUM
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201801,35503,7580215.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201802,33016,7580215.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201803,47551,7580215.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201804,275813,7580215.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201805,188150,7580215.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201806,81895,7580215.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201807,138285,7580215.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201808,97113,7580215.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201809,191149,7580215.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201810,403655,7580215.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201811,315823,7580215.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201812,106202,7580215.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201901,85917,7580215.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201902,91444,7580215.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201903,66882,7580215.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201904,189648,7580215.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201905,234686,7580215.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201906,175370,7580215.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201907,170116,7580215.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201908,168496,7580215.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201909,175216,7580215.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201910,351546,7580215.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201911,264990,7580215.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,201912,164957,7580215.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202001,159737,7580215.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202002,99855,7580215.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202003,26549,7580215.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202004,42209,7580215.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202005,89865,7580215.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202006,79079,7580215.0
47170,경상북도 안동시,201801-202608,1,경상북도,안동시,하회마을,202007,40550,7580215.0
