조회_SGG_CD,조회_지역,조회기간,RK,CNTRL_POI_ID,MD5_POI_ID,CNTRL_SIDO_CD,CNTRL_SIDO_NM,CNTRL_SGG_CD,CNTRL_SGG_NM,CNTRL_POI_X_COORD,CNTRL_POI_Y_COORD,CNTRL_TAR_NM,RLTN_TAR_NM,CNTRL_TAR_ADDR_ROAD_NM,RLTN_CATE_NM_LARGE,RLTN_CATE_NM_MIDL,CNTRL_CATE_NM_LARGE,CNTRL_CATE_NM_MIDL,DGRE_CNTRL,BASE_YM
47170,경상북도 안동시,202401-202408,1,805DB1A51BD0A535C76D9B07EEFE8A9F,20f293475800f79e12653fa07c97258b,47,경상북도,47170,안동시,128.761,36.5766,월영교,월영교,경북 안동시,관광지,기타관광,관광지,기타관광,3.8321467687928177,202408
47170,경상북도 안동시,202401-202408,2,3B4656B45B731E7F16BBF5B3D1C4F8AE,446c3106f3d69d4cef86e1cfe0b876bf,47,경상북도,47170,안동시,128.5179,36.539,안동하회마을,안동하회마을,경북 안동시 하회종가길 2-1,관광지,역사관광,관광지,역사관광,2.6144550514109333,202408
47170,경상북도 안동시,202401-202408,3,6F7D6A017DA1AC8D29D7A654F7F53218,3a80de0f040387a963970e5981155c73,47,경상북도,47170,안동시,128.728,36.5655,안동구시장,안동구시장,경북 안동시 번영1길 47-0,관광지,쇼핑,관광지,쇼핑,2.5817023885316805,202408
47170,경상북도 안동시,202401-202408,4,6A8AE4410EE675B86DBF6B6898C9DEB5,365d558c221846b3e972433e9691b393,47,경상북도,47170,안동시,128.8432,36.7273,도산서원,도산서원,경북 안동시 도산서원길 154-0,관광지,역사관광,관광지,역사관광,1.9377177331949336,202408
47170,경상북도 안동시,202401-202408,5,026CFC2358E65BFA68AE779CA0D85DBB,e9978f29ae16aa0e25948c6c14d55d1e,47,경상북도,47170,안동시,128.7709,36.5878,낙강물길공원,낙강물길공원,경북 안동시,관광지,문화관광,관광지,문화관광,1.4819651061636803,202408
47170,경상북도 안동시,202401-202408,6,D3CBBA7E99D06CF450917CE4D16CAC47,20c99c680bff19bd1d0925e3aeb26f86,47,경상북도,47170,안동시,128.6625,36.6533,봉정사,봉정사,경북 안동시 봉정사길 222-0,관광지,역사관광,관광지,역사관광,1.0635404898421696,202408
47170,경상북도 안동시,202401-202408,7,42E8AED63CD20640B5F2FD04275DD257,0cd50eb0d6cfdb3bb1560c0f51fb2504,47,경상북도,47170,안동시,128.5527,36.5404,병산서원,병산서원,경북 안동시 병산길 386-0,관광지,역사관광,관광지,역사관광,0.9852508578534862,202408
47170,경상북도 안동시,202401-202408,8,041858CAF2C91C84AA7C2531564C6126,2fffa6dd1b50ced2b3d67b862bf2f61d,47,경상북도,47170,안동시,128.9098,36.4104,만휴정,만휴정,경북 안동시 묵계하리길 42-0,관광지,역사관광,관광지,역사관광,0.9518798410747888,202408
47170,경상북도 안동시,202401-202408,9,B64B0A5F39D16EFE651F58ACE99798F9,d0df033ec32bae3d244d2d9427cd7e55,47,경상북도,47170,안동시,128.7238,36.5649,중앙신시장,중앙신시장,경북 안동시 대안로 98-10,관광지,쇼핑,관광지,쇼핑,0.715149086732584,202408
47170,경상북도 안동시,202401-202408,10,89A15DEA964CB31C13C796EE6D8DE3BB,7271e336931c9bb7a70edf611ef61fdc,47,경상북도,47170,안동시,128.815,36.6978,선성수상길,선성수상길,경북 안동시 선성중앙길 77-0,관광지,레저스포츠,관광지,레저스포츠,0.6030575433791703,202408
47170,경상북도 안동시,202401-202408,11,9C8CCE57E3CBA93E49B18E092BF85DF5,976e0f7abaa5c9f9cd2dec1287213a7b,47,경상북도,47170,안동시,128.5165,36.5426,낙동강12경(부용경)/부용대,낙동강12경(부용경)/부용대,경북 안동시 광덕솔밭길 72-0,관광지,역사관광,관광지,역사관광,0.5895190815683746,202408
47170,경상북도 안동시,202401-202408,12,E2FE019909E3EAF939A3799CCEE7AA1A,ecbbdcb183a573c859d71c14ace48427,47,경상북도,47170,안동시,128.7802,36.5669,안동그랜드호텔,안동그랜드호텔,경북 안동시 관광단지로 346-84,숙박,숙박,숙박,숙박,0.5299415419639949,202408
47170,경상북도 안동시,202401-202408,13,39DAE12F127F43A034E2FE4B6D0401D9,f571b732c7e31d518e203c929b4a54c9,47,경상북도,47170,안동시,128.7782,36.5695,유교랜드,유교랜드,경북 안동시 관광단지로 346-30,관광지,레저스포츠,관광지,레저스포츠,0.5273606411838859,202408
47170,경상북도 안동시,202401-202408,14,31A8BFCC46667D1A401B0993F5D3FF4E,9bb22abf5132ed32bc2eb29a0be6f8c5,47,경상북도,47170,안동시,128.732,36.5647,안동중앙문화의거리,안동중앙문화의거리,경북 안동시,관광지,쇼핑,관광지,쇼핑,0.4380227501265019,202408
47170,경상북도 안동시,202401-202408,15,651A7A930C4D44B869E19E3D80F69BDF,53ddf361b2d95cc8a2bf051e334a13d2,47,경상북도,47170,안동시,128.7331,36.5661,웅부공원,웅부공원,경북 안동시,관광지,문화관광,관광지,문화관광,0.3582536587798456,202408
47170,경상북도 안동시,202401-202408,16,B7BE253FFAC20858A8CFD69DE574C8B2,bdfbcd179cf87218bbe8301e74087883,47,경상북도,47170,안동시,128.7355,36.5513,케이스호텔/안동점,케이스호텔/안동점,경북 안동시 강남2길 60-16,숙박,숙박,숙박,숙박,0.33932687883378565,202408
47170,경상북도 안동시,202401-202408,17,B6D3AD3CBCBBE77BB647E1A977CD8287,59c1c132657789d703978187b892a304,47,경상북도,47170,안동시,128.4951,36.5757,CM파크호텔,CM파크호텔,경북 안동시 검무로 10-17,숙박,숙박,숙박,숙박,0.30684885612299284,202408
47170,경상북도 안동시,202401-202408,18,0762750146B73A3094BB0F6170FA8A32,9d8b328dc999c1372195928a387b78b2,47,경상북도,47170,안동시,128.7823,36.5682,리첼호텔,리첼호텔,경북 안동시 관광단지로 346-69,숙박,숙박,숙박,숙박,0.3000410877391849,202408
47170,경상북도 안동시,202401-202408,19,89B1C6C4EC9DC76E42A3A42EB46261F1,38f348fb19d8d77626d9f186ef9fe402,47,경상북도,47170,안동시,128.648,36.5891,안동학가산온천,안동학가산온천,경북 안동시 학가산온천길 14-0,관광지,체험관광,관광지,체험관광,0.2861443990043833,202408
47170,경상북도 안동시,202401-202408,20,B4DFD24B48D0B2F001A2E4FD366DA8AC,fc89b255ff1cda6da5e7dd34d2537276,47,경상북도,47170,안동시,128.7808,36.5663,주토피움,주토피움,경북 안동시 관광단지로 346-95,관광지,문화관광,관광지,문화관광,0.275113245131898,202408
47170,경상북도 안동시,202401-202408,21,0D03964808D98C46D31586C19CA36911,55ab05913143b95c5b5a4455a1e079e4,47,경상북도,47170,안동시,128.7087,36.5497,안동소주전통음식박물관,안동소주전통음식박물관,경북 안동시 강남로 71-1,관광지,문화관광,관광지,문화관광,0.251679568455239,202408
47170,경상북도 안동시,202401-202408,22,C6C8E9A4B13AA82ABBF2A62DAEC8CC70,7b85fe72ff6949c80e26e57e75254399,47,경상북도,47170,안동시,128.7666,36.5795,안동시립박물관,안동시립박물관,경북 안동시 민속촌길 13-0,관광지,문화관광,관광지,문화관광,0.251212532430424,202408
47170,경상북도 안동시,202401-202408,23,AE4EF2035A8D785CD2B8359785EE5174,f7a8b2995a274f82e6278ed5f6cc4ccc,47,경상북도,47170,안동시,128.7493,36.5611,CGV/안동,CGV/안동,경북 안동시 경동로 841-0,관광지,문화관광,관광지,문화관광,0.21410285844140323,202408
47170,경상북도 안동시,202401-202408,24,88271C9C0B43343507FB440E1A3C9764,2363b066af52f4e64d8cc421ee5766ba,47,경상북도,47170,안동시,128.828,36.7032,안동호반자연휴양림,안동호반자연휴양림,경북 안동시 월천길 100-7,관광지,자연관광,관광지,자연관광,0.19454982563573558,202408
47170,경상북도 안동시,202401-202408,25,21CFD32801ECADC7D9651270A780F2E5,f951b67e9c846f89d465ef99dd0696fb,47,경상북도,47170,안동시,128.7733,36.5673,안동레이크GC,안동레이크GC,경북 안동시 관광단지로 316-0,관광지,레저스포츠,관광지,레저스포츠,0.16642461574285414,202408
47170,경상북도 안동시,202401-202408,26,74657AED1DDEC61701A31002258A239D,e1188ebdf4e50137c74ba1e3028486bd,47,경상북도,47170,안동시,128.7315,36.5601,탈춤공원,탈춤공원,경북 안동시 육사로 239-0,관광지,문화관광,관광지,문화관광,0.16201348253273282,202408
47170,경상북도 안동시,202401-202408,27,D6EE0409BA9853CED336EC7A0BF2CF6C,9bc463f60f7112293fb223386e35efdc,47,경상북도,47170,안동시,128.7255,36.5594,안동문화예술의전당,안동문화예술의전당,경북 안동시 축제장길 66-0,관광지,문화관광,관광지,문화관광,0.14590299854224248,202408
47170,경상북도 안동시,202401-202408,28,BDAFB5A4515B278B8F780FD4B78C0B51,dc5992dda5debc66f3b953225c531865,47,경상북도,47170,안동시,128.5708,36.5791,브라운도트호텔/안동풍산점,브라운도트호텔/안동풍산점,경북 안동시 풍산태사로 1023-6,숙박,숙박,숙박,숙박,0.13404150564366585,202408
47170,경상북도 안동시,202401-202408,29,9E3DCF4195A0B31678254DC852BC8C09,4cd9b9a23d1c08707a723b56062a502f,47,경상북도,47170,안동시,128.9175,36.4156,묵계서원,묵계서원,경북 안동시 국만리길 72-0,관광지,역사관광,관광지,역사관광,0.12948893669107084,202408
47170,경상북도 안동시,202401-202408,30,F93F087B88160C27DF33AF249F9A7AE4,187fc079998937654773cca40f9b7c17,47,경상북도,47170,안동시,128.7687,36.5733,구름에,구름에,경북 안동시 민속촌길 190-0,숙박,숙박,숙박,숙박,0.12600767600671864,202408
47170,경상북도 안동시,202401-202408,31,D030C20221D69EB701D890D32EFC687C,7fe09cba97ce77d62073096aaa7445fa,47,경상북도,47170,안동시,128.6085,36.5899,안동시농산물도매시장,안동시농산물도매시장,경북 안동시 유통단지길 100-0,관광지,쇼핑,관광지,쇼핑,0.12049523814064496,202408
47170,경상북도 안동시,202401-202408,32,A8E75312083DF3F6330A164A300325F2,72b7ab771a29f3db7e80cc6364b327a2,47,경상북도,47170,안동시,128.518,36.5447,화천서원,화천서원,경북 안동시 광덕솔밭길 72-0,관광지,역사관광,관광지,역사관광,0.1182821159168684,202408
47170,경상북도 안동시,202401-202408,33,3C7A7760AA183ED79829492F505525ED,49dd1aa5fa675c4159d456dfed3cfb44,47,경상북도,47170,안동시,128.863,36.7389,이육사문학관,이육사문학관,경북 안동시 백운로 525-0,관광지,문화관광,관광지,문화관광,0.11600856135748124,202408
47170,경상북도 안동시,202401-202408,34,CFF8A288858953940029FE539475FD61,558290443cdbf44022859babcadf0cf0,47,경상북도,47170,안동시,128.7311,36.5639,브라운도트호텔/안동문화의거리점,브라운도트호텔/안동문화의거리점,경북 안동시 문화광장길 16-13,숙박,숙박,숙박,숙박,0.11407240242091854,202408
47170,경상북도 안동시,202401-202408,35,CEAC8B3A28D1F878F5E190FA7D4DA32E,719de5cfd5b190694f5b2b59ef08c955,47,경상북도,47170,안동시,128.5754,36.4892,리버힐CC,리버힐CC,경북 안동시 풍일로 1572-0,관광지,레저스포츠,관광지,레저스포츠,0.11354095035806952,202408
47170,경상북도 안동시,202401-202408,36,CFE3290B1D832EB3BCB80C192019AC4E,59abc4e6b4db67812c9d56a82e4861e1,47,경상북도,47170,안동시,128.6107,36.4744,남안동CC,남안동CC,경북 안동시 풍일로 1887-0,관광지,레저스포츠,관광지,레저스포츠,0.11130060776675205,202408
