조회_SGG_CD,조회_지역,조회기간,RK,CNTRL_POI_ID,MD5_POI_ID,CNTRL_SIDO_CD,CNTRL_SIDO_NM,CNTRL_SGG_CD,CNTRL_SGG_NM,CNTRL_POI_X_COORD,CNTRL_POI_Y_COORD,CNTRL_TAR_NM,RLTN_TAR_NM,CNTRL_TAR_ADDR_ROAD_NM,RLTN_CATE_NM_LARGE,RLTN_CATE_NM_MIDL,CNTRL_CATE_NM_LARGE,CNTRL_CATE_NM_MIDL,DGRE_CNTRL,BASE_YM
47170,경상북도 안동시,202501-202512,1,805DB1A51BD0A535C76D9B07EEFE8A9F,20f293475800f79e12653fa07c97258b,47,경상북도,47170,안동시,128.7609,36.5765,월영교,월영교,경북 안동시,관광지,기타관광,관광지,기타관광,6.269692947567517,202512
47170,경상북도 안동시,202501-202512,2,3B4656B45B731E7F16BBF5B3D1C4F8AE,446c3106f3d69d4cef86e1cfe0b876bf,47,경상북도,47170,안동시,128.5179,36.539,안동하회마을,안동하회마을,경북 안동시 하회종가길 2-1,관광지,역사관광,관광지,역사관광,4.682491734635143,202512
47170,경상북도 안동시,202501-202512,3,6F7D6A017DA1AC8D29D7A654F7F53218,3a80de0f040387a963970e5981155c73,47,경상북도,47170,안동시,128.728,36.5655,안동구시장,안동구시장,경북 안동시 번영1길 47-0,관광지,쇼핑,관광지,쇼핑,4.487073256365344,202512
47170,경상북도 안동시,202501-202512,4,6A8AE4410EE675B86DBF6B6898C9DEB5,365d558c221846b3e972433e9691b393,47,경상북도,47170,안동시,128.8432,36.7273,도산서원,도산서원,경북 안동시 도산서원길 154-0,관광지,역사관광,관광지,역사관광,3.3810616202624013,202512
47170,경상북도 안동시,202501-202512,5,42E8AED63CD20640B5F2FD04275DD257,0cd50eb0d6cfdb3bb1560c0f51fb2504,47,경상북도,47170,안동시,128.5527,36.5404,병산서원,병산서원,경북 안동시 병산길 386-0,관광지,역사관광,관광지,역사관광,2.1943924567154505,202512
47170,경상북도 안동시,202501-202512,6,D3CBBA7E99D06CF450917CE4D16CAC47,20c99c680bff19bd1d0925e3aeb26f86,47,경상북도,47170,안동시,128.6625,36.6533,봉정사,봉정사,경북 안동시 봉정사길 222-0,관광지,역사관광,관광지,역사관광,2.183824671986866,202512
47170,경상북도 안동시,202501-202512,7,026CFC2358E65BFA68AE779CA0D85DBB,e9978f29ae16aa0e25948c6c14d55d1e,47,경상북도,47170,안동시,128.7709,36.5878,낙강물길공원,낙강물길공원,경북 안동시,관광지,문화관광,관광지,문화관광,2.129217925580684,202512
47170,경상북도 안동시,202501-202512,8,B64B0A5F39D16EFE651F58ACE99798F9,d0df033ec32bae3d244d2d9427cd7e55,47,경상북도,47170,안동시,128.7238,36.5649,중앙신시장,중앙신시장,경북 안동시 대안로 98-10,관광지,쇼핑,관광지,쇼핑,1.5729615980448164,202512
47170,경상북도 안동시,202501-202512,9,FF6035F6D19F7D99925C2FC5E5547B03,d709d495a429adce5e59f46969e89f42,47,경상북도,47170,안동시,128.509,36.5685,스탠포드호텔/안동,스탠포드호텔/안동,경북 안동시 도청대로 400-0,숙박,숙박,숙박,숙박,1.184287606896035,202512
47170,경상북도 안동시,202501-202512,10,6BC165A4B9DBCFC9692AF7706FC0794D,fdeb515b719050ed2934841d46f2040a,47,경상북도,47170,안동시,128.6748,36.5747,안동역,안동역,경북 안동시 경동로 122-16,관광지,기타관광,관광지,기타관광,1.00921462040131,202512
47170,경상북도 안동시,202501-202512,11,89A15DEA964CB31C13C796EE6D8DE3BB,7271e336931c9bb7a70edf611ef61fdc,47,경상북도,47170,안동시,128.815,36.6978,선성수상길,선성수상길,경북 안동시 선성중앙길 77-0,관광지,레저스포츠,관광지,레저스포츠,0.9979035728968052,202512
47170,경상북도 안동시,202501-202512,12,9C8CCE57E3CBA93E49B18E092BF85DF5,976e0f7abaa5c9f9cd2dec1287213a7b,47,경상북도,47170,안동시,128.5165,36.5426,낙동강12경(부용경)/부용대,낙동강12경(부용경)/부용대,경북 안동시 광덕솔밭길 72-0,관광지,역사관광,관광지,역사관광,0.9684558922665493,202512
47170,경상북도 안동시,202501-202512,13,31A8BFCC46667D1A401B0993F5D3FF4E,9bb22abf5132ed32bc2eb29a0be6f8c5,47,경상북도,47170,안동시,128.732,36.5647,안동중앙문화의거리,안동중앙문화의거리,경북 안동시,관광지,쇼핑,관광지,쇼핑,0.8799331255751373,202512
47170,경상북도 안동시,202501-202512,14,041858CAF2C91C84AA7C2531564C6126,2fffa6dd1b50ced2b3d67b862bf2f61d,47,경상북도,47170,안동시,128.9098,36.4104,만휴정,만휴정,경북 안동시 묵계하리길 42-0,관광지,역사관광,관광지,역사관광,0.8386192584766847,202512
47170,경상북도 안동시,202501-202512,15,39DAE12F127F43A034E2FE4B6D0401D9,f571b732c7e31d518e203c929b4a54c9,47,경상북도,47170,안동시,128.7782,36.5695,유교랜드,유교랜드,경북 안동시 관광단지로 346-30,관광지,레저스포츠,관광지,레저스포츠,0.8171420240829801,202512
47170,경상북도 안동시,202501-202512,16,E2FE019909E3EAF939A3799CCEE7AA1A,ecbbdcb183a573c859d71c14ace48427,47,경상북도,47170,안동시,128.7802,36.5669,안동그랜드호텔,안동그랜드호텔,경북 안동시 관광단지로 346-84,숙박,숙박,숙박,숙박,0.7439774987152269,202512
47170,경상북도 안동시,202501-202512,17,651A7A930C4D44B869E19E3D80F69BDF,53ddf361b2d95cc8a2bf051e334a13d2,47,경상북도,47170,안동시,128.7331,36.5661,웅부공원,웅부공원,경북 안동시,관광지,문화관광,관광지,문화관광,0.7264318555638286,202512
47170,경상북도 안동시,202501-202512,18,6CB787495DB3768DFC41FD53228103C6,101c58daf41e6c21759125ffe828e86e,47,경상북도,47170,안동시,128.6758,36.5745,안동터미널,안동터미널,경북 안동시 경동로 130-0,관광지,기타관광,관광지,기타관광,0.6536161041996552,202512
47170,경상북도 안동시,202501-202512,19,89B1C6C4EC9DC76E42A3A42EB46261F1,38f348fb19d8d77626d9f186ef9fe402,47,경상북도,47170,안동시,128.648,36.5891,안동학가산온천,안동학가산온천,경북 안동시 학가산온천길 14-0,관광지,체험관광,관광지,체험관광,0.6439746448169837,202512
