조회_SGG_CD,조회_지역,조회기간,RK,CNTRL_POI_ID,MD5_POI_ID,ITS_BRO_NM,KTO_CATE_NAME_C,SRCH_CNT
47170,경상북도 안동시,202501-202512,1,0D7A266AE37B433B6F52B298661D1644,456a9274b1bcc69301d510350d6b374e,일직식당,한식,16552
47170,경상북도 안동시,202501-202512,2,EC011C23A6B2CF31C12704E194ABAEAD,3e54cfb3b3b84acd551bf082997531bf,맘모스베이커리남부본점,간이음식,13734
47170,경상북도 안동시,202501-202512,3,8FB981CDF3BAA325AC5BE4B45A28C1EC,b1197a937fe9631d363597593ea51bfb,스타벅스안동강변DT점,카페/찻집,11362
47170,경상북도 안동시,202501-202512,4,536CD9CE4CCC68C00548588BE6964A57,bfdff166461906418b5143bd779d8fa9,맥도날드안동DT점,간이음식,9544
47170,경상북도 안동시,202501-202512,5,875433D77C818781717FA22CACCF06A8,b5eacdc9f9281c4120cf321a8f5adf5c,월영당,카페/찻집,6362
47170,경상북도 안동시,202501-202512,6,019DEF701586206426FF6D6650C87D16,ad1a0dcf6513658725077459573a8f43,구름에396커피,카페/찻집,6153
47170,경상북도 안동시,202501-202512,7,395E09B4AE1EE1882E9D1AC8653FD448,cb6cdc5af03b805fa16489fd5636771b,안동찜닭골목,음식점기타,5866
47170,경상북도 안동시,202501-202512,8,35C0732F89636F73EB34930A4896ECF6,c761025fe0d45b3150c591dd59da63be,다이닝원안동점,전문음식,5858
47170,경상북도 안동시,202501-202512,9,08AC31A497EDF1C2E7FF9DF45B7081CC,d61f48c14c8c98fc9ae5b6778d04f333,옥동손국수,한식,5793
47170,경상북도 안동시,202501-202512,10,C056BBEFAE5048F5D476E00ABFF1CF03,11a493db541579c7f46d400841f1b9df,산청식당,한식,5765
47170,경상북도 안동시,202501-202512,11,A62B6E4A16CC09BA64D0E81C4B561AE5,8c4862891ed47b9b1d89abb606281751,맘모스제과송현분점,간이음식,5227
47170,경상북도 안동시,202501-202512,12,185FAFD3DCC8EB7582460670DEE9046B,08d62b6ccdbcd337e53161cb4630752e,옥야식당,한식,4901
47170,경상북도 안동시,202501-202512,13,B8EB83301D73CA6984B0265546FEF6F4,a53aeaeaa931cf2a93705a5902ca2a01,동악골금재가든,한식,4635
47170,경상북도 안동시,202501-202512,14,9FF3E771BA051DC2476B06D932A7955B,dec62406ebb257630ea0c7c64ed68d3a,폴모스트,카페/찻집,4456
47170,경상북도 안동시,202501-202512,15,DD80BB7D548863206BF48DB033BDBF04,ac5f2fe3b96fc0c071769bf2afbe151b,396커피컴퍼니,카페/찻집,4275
47170,경상북도 안동시,202501-202512,16,6AF2172E1E0A9BEAD5C7C1BB706C0676,e070ffded0822d7d6ff747d52ec696e3,목석원,한식,4092
47170,경상북도 안동시,202501-202512,17,76C679E5F980046E7AC07C9BD2E2E3C9,ee0fa6a0088dd348989776f8e50eb6c6,아덴,카페/찻집,3597
47170,경상북도 안동시,202501-202512,18,E460E7F4327445FF9BE0CFA33F4510EB,6bcbc5cc2af1419964f82426d2783ebd,예미정본채 [한식],한식,3509
47170,경상북도 안동시,202501-202512,19,6A174C172076CAF5793636EB613ABCBF,931a8a5cc5fc2eccc9346f1d7d048f72,헛제사밥까치구멍집[한식],한식,3492
47170,경상북도 안동시,202501-202512,20,B5209CB07C584B4E68F819ADA1C706C1,2635938ea56f75f229b4edd7e209c922,커피홀베이커리안동풍산점,카페/찻집,3333
47170,경상북도 안동시,202501-202512,21,7C46A893A2B9378AF180BC970D2E5067,0d20668fab5c27c544667095bef7e4d3,대구식육식당,한식,3318
47170,경상북도 안동시,202501-202512,22,AAE1C13E300A766885073DB8E7191C3D,24e32523ff728febd6436991cd09151f,까치와호랑이,카페/찻집,3276
47170,경상북도 안동시,202501-202512,23,B0481F9AD141C454E790049171AC8F1B,d88f3124304374fdd858635972395d39,안동갈비골목,음식점기타,2914
47170,경상북도 안동시,202501-202512,24,B4A4CB9DBC099BA0D2A3351930A71D13,7742517a3f4971f38853468b95113694,묵향,한식,2889
47170,경상북도 안동시,202501-202512,25,FF978541E72A87986FC6356BF6B5EC4F,7ab5779d0b6e6530cf0b2e50aadc5c69,한상채비,한식,2877
47170,경상북도 안동시,202501-202512,26,B16572349A0FE5938C1EB841CEC291AD,602006a5f5996cea67da891ea42e596a,소담촌안동점,전문음식,2871
47170,경상북도 안동시,202501-202512,27,FCE4FC0B0048C8992F9A77EE2C103139,9e704cf2185ab0d146c4ccdc6b72ad88,안동신세계찜닭,전문음식,2701
47170,경상북도 안동시,202501-202512,28,64E180744531491192600655BF83D985,e3a43c03ccf189b236ef45862e29d9e4,이화식당안동점,한식,2689
47170,경상북도 안동시,202501-202512,29,E9D86374240CF667BB95681D7516CF2F,f71ea9200c95cba5d47e701f8c7a0464,스타벅스안동옥동점,카페/찻집,2636
47170,경상북도 안동시,202501-202512,30,5E3211F21E805B9EB7ACC36B8EDEFB77,cd17a4362f2de9cbc036cbd470cab9f4,꽃피는화덕피자D485안동점,간이음식,2453
47170,경상북도 안동시,202501-202512,31,B34AAFD7D1AC7667637F827CAE050A21,683cf978859940abe377da81c96a1289,만복이쭈꾸미낙지볶음,전문음식,2381
47170,경상북도 안동시,202501-202512,32,F711897B461FC0DE41EC398DFD2A9122,95ab69d2dfd102ea37f32369c4ad7fe7,신라국밥,한식,2340
47170,경상북도 안동시,202501-202512,33,C4B3608CAFF25308158D3E8D436AE3A8,1d5054ba68f80d7c4039634a5f71d772,전원,전문음식,2338
47170,경상북도 안동시,202501-202512,34,81FAE0470E299B4967F82696D813E68D,90fbcd07672ac561c6d810bab47277fa,아차가,카페/찻집,2298
47170,경상북도 안동시,202501-202512,35,64DED9A7EDE7FE54BAD12CAD1F572D2E,53b3a325f7ea0ebee301c0c38bf0d7c7,안동김대감,전문음식,2261
47170,경상북도 안동시,202501-202512,36,AD739A67F21D185816FDF5FE55A21ECA,26f3c4893430374ca42652c5f821b279,곤지곤지,한식,2246
47170,경상북도 안동시,202501-202512,37,422DAE0AA03EBB7382D574D10788340C,455d53b2f7a196d56e45d43f78de8e90,보리식당,한식,2215
47170,경상북도 안동시,202501-202512,38,ACBC5C0F47568CC01635A3BE0F7465AD,0e0886661ad494f7d5bd5a6b4bac31c3,길풍,한식,2198
47170,경상북도 안동시,202501-202512,39,51382EC7E25E90BDBACFA79BACDB0507,963dcb24d03d31680b11cdc1b3da29df,청록한정식[한식],한식,2192
47170,경상북도 안동시,202501-202512,40,BBDD3F602B22D27979100CE87B803164,e597799b72b32e53aad0f5a700acc060,투썸플레이스경북도청점,카페/찻집,2180
47170,경상북도 안동시,202501-202512,41,FF60B938761F5ECEEE3EF6D5703CD4D0,53f90c64c7ad2fbaadcbdde1d7a0722f,커피명가안동점,카페/찻집,2146
47170,경상북도 안동시,202501-202512,42,70021C89BA04776DBBEDA265FE68A27F,721bba279279951b166877e100d18eda,땡큐커피,카페/찻집,2132
47170,경상북도 안동시,202501-202512,43,DD2D52E0DBC852ECF6D1EF46015DB67B,4e88e3a850871809a22c09a11f85b801,버버리찰떡,전문음식,2115
47170,경상북도 안동시,202501-202512,44,21B905A157F42B1E00A42E6F752EF947,2d75eed00c7373a7e635a419d76ad17f,솔밭식당,한식,2003
47170,경상북도 안동시,202501-202512,44,19608E8BB8D60ADFEA4D7A8E69A79A23,34fa19bffee571723539c53953ad5971,투썸플레이스안동옥동점,카페/찻집,2003
47170,경상북도 안동시,202501-202512,46,5C24ECF484DE08A91E6D5EAB61759CFC,ac097ef5564e21b239f84a0b9e1e3210,투썸플레이스안동강변점,카페/찻집,1974
47170,경상북도 안동시,202501-202512,47,0B24D1B49205FF511426B17841D5D373,9a665ba460489a7099a06766a5a87ecb,안동현대찜닭,전문음식,1969
47170,경상북도 안동시,202501-202512,48,267E850BB33BEF2E7957FE8EB8FABDE7,d168ece943406de8e5bf7809b5a026b8,중앙찜닭,전문음식,1893
47170,경상북도 안동시,202501-202512,49,6325F39C74A0B4F1F873B959951617D1,3b9025006cf978070c2db54f0a07d643,윤부리[일식],외국식,1861
47170,경상북도 안동시,202501-202512,50,A27F0AFE076D94415F5155E82E6BEB12,c471fd2d811c71d8ce2447987d97ca91,황소곳간,한식,1843
47170,경상북도 안동시,202501-202512,51,C54FAAD4A7201D889DBA9C54245885EC,1f17f5f274c711340525793a4937c3bd,뉴서울갈비,한식,1837
47170,경상북도 안동시,202501-202512,52,B9590E1989BCA8AE3B2B0795D9977272,214b46e541df0d270e972195a9f9a603,카페더뷰,카페/찻집,1785
47170,경상북도 안동시,202501-202512,53,ACF2E5EA9B2391E89067D25D3A1AEE93,2e0ead1815d44d93012f89f565b085b4,밀레니엄안동찜닭,전문음식,1776
47170,경상북도 안동시,202501-202512,54,CFF2C4432663A5C6C622B53EF8C7422B,15d7b0f81a10db7fd19b8c45d00b124b,만당해장국옥동점,한식,1760
47170,경상북도 안동시,202501-202512,55,6F1954F8FC163CCA6442BAB80453CCD7,122ed35b8c7c97b11d9becd6f762238c,청하감자탕,한식,1748
47170,경상북도 안동시,202501-202512,56,410528E6BC3F4D0C2118DAFAE344C5F7,5351bd429d646d09e90b64722f4760c8,피오르달리조안동대본점,전문음식,1744
47170,경상북도 안동시,202501-202512,57,79D4B660256E8D9BB797F3AF248EA2B2,a7595c1dde46a3e5ff04908cc3028b76,바토플루이르안동점,카페/찻집,1710
47170,경상북도 안동시,202501-202512,58,15D3D2E4EF3462087534AAD5C5F64581,b7913720e42885df6d67d028338dafe0,안동유진찜닭,전문음식,1696
47170,경상북도 안동시,202501-202512,59,0F14458CE57D7090E1902C1F705A156E,1aab64319c21d6d843890ce41407fb1d,비스트로봄날본점,전문음식,1688
47170,경상북도 안동시,202501-202512,60,90AB31A30CEF7E2333B0E548C6630B9B,6d7a2380db585087d374cdcccd712687,풍전,전문음식,1600
47170,경상북도 안동시,202501-202512,61,C23F529B7ADF353D2867426842596324,e7f859ff76377c57ec41a1a6d44ded11,예닮,한식,1599
47170,경상북도 안동시,202501-202512,62,4E45B82E2E35745444F278626621EAC0,1fd801018917f9788c2e58a3b9721a39,안동김대감찜닭,전문음식,1593
47170,경상북도 안동시,202501-202512,63,887FA47CF8DCB84D9AE9E942329674FD,3181211bf4d7b08af0d5aa9162c93fc9,효자통닭,간이음식,1590
47170,경상북도 안동시,202501-202512,64,86D111CA04B62561076E26449E37D80E,c5ec3a8332270bdca6bda58f0083f409,동굴매운탕,한식,1554
47170,경상북도 안동시,202501-202512,65,3DCFD77DCB41C3DD4D126B536ECAA0A6,03ab85f4e5527d2f113dff2c99cd9225,금강옥,전문음식,1547
47170,경상북도 안동시,202501-202512,66,93FD66B3088467AD09D9F4D869B3F0F1,d185f66724429c739c4a81439a121ed5,경복궁,한식,1534
47170,경상북도 안동시,202501-202512,67,E5828BE5D2A7B42F8E5AC5BE0A467E80,65da030187e2b17b7714d04a67e0bc30,투썸플레이스경북신도청중앙점,카페/찻집,1527
47170,경상북도 안동시,202501-202512,68,835EE7854E5D7D9FF36BAAB9B9354E7F,db00304955b6aca7c85d9b8fad30693c,옛날이야기,카페/찻집,1502
