조회_SGG_CD,조회_지역,조회기간,BASE_DATE,SGG_NM,CARD_AMT,TOTL_CARD_AMT,CARD_PER
47170,경상북도 안동시,201801-202608,202603,경상북도 안동시,853.0,657084.0,0.1
47170,경상북도 안동시,201801-202608,202604,경상북도 안동시,983.0,643947.0,0.2
47170,경상북도 안동시,201801-202608,202605,경상북도 안동시,1258.0,747542.0,0.2
47170,경상북도 안동시,201801-202608,202606,경상북도 안동시,896.0,632535.0,0.1
47170,경상북도 안동시,201801-202608,201801,경상북도 안동시,812.0,523339.0,0.2
47170,경상북도 안동시,201801-202608,201802,경상북도 안동시,757.0,520192.0,0.1
47170,경상북도 안동시,201801-202608,201803,경상북도 안동시,1050.0,577789.0,0.2
47170,경상북도 안동시,201801-202608,201804,경상북도 안동시,1082.0,581444.0,0.2
47170,경상북도 안동시,201801-202608,201805,경상북도 안동시,1138.0,632365.0,0.2
47170,경상북도 안동시,201801-202608,201806,경상북도 안동시,983.0,585292.0,0.2
47170,경상북도 안동시,201801-202608,201808,경상북도 안동시,801.0,540391.0,0.1
47170,경상북도 안동시,201801-202608,201809,경상북도 안동시,1148.0,620515.0,0.2
47170,경상북도 안동시,201801-202608,201810,경상북도 안동시,1454.0,676479.0,0.2
47170,경상북도 안동시,201801-202608,201811,경상북도 안동시,1413.0,646061.0,0.2
47170,경상북도 안동시,201801-202608,201812,경상북도 안동시,1217.0,706241.0,0.2
47170,경상북도 안동시,201801-202608,201901,경상북도 안동시,798.0,558412.0,0.1
47170,경상북도 안동시,201801-202608,201902,경상북도 안동시,725.0,529467.0,0.1
47170,경상북도 안동시,201801-202608,201903,경상북도 안동시,1099.0,637448.0,0.2
47170,경상북도 안동시,201801-202608,201904,경상북도 안동시,1091.0,611147.0,0.2
47170,경상북도 안동시,201801-202608,201905,경상북도 안동시,1237.0,692777.0,0.2
47170,경상북도 안동시,201801-202608,201906,경상북도 안동시,972.0,607046.0,0.2
47170,경상북도 안동시,201801-202608,201907,경상북도 안동시,808.0,576127.0,0.1
47170,경상북도 안동시,201801-202608,201908,경상북도 안동시,765.0,567015.0,0.1
47170,경상북도 안동시,201801-202608,201909,경상북도 안동시,872.0,603996.0,0.1
47170,경상북도 안동시,201801-202608,201910,경상북도 안동시,1195.0,674993.0,0.2
47170,경상북도 안동시,201801-202608,201911,경상북도 안동시,1197.0,718036.0,0.2
47170,경상북도 안동시,201801-202608,202001,경상북도 안동시,689.0,565670.0,0.1
47170,경상북도 안동시,201801-202608,202002,경상북도 안동시,529.0,424773.0,0.1
47170,경상북도 안동시,201801-202608,202003,경상북도 안동시,466.0,393889.0,0.1
47170,경상북도 안동시,201801-202608,202004,경상북도 안동시,651.0,491457.0,0.1
47170,경상북도 안동시,201801-202608,202005,경상북도 안동시,1137.0,644919.0,0.2
47170,경상북도 안동시,201801-202608,202006,경상북도 안동시,818.0,565572.0,0.1
47170,경상북도 안동시,201801-202608,202007,경상북도 안동시,693.0,516120.0,0.1
47170,경상북도 안동시,201801-202608,202008,경상북도 안동시,616.0,481257.0,0.1
47170,경상북도 안동시,201801-202608,202009,경상북도 안동시,776.0,523918.0,0.1
47170,경상북도 안동시,201801-202608,202010,경상북도 안동시,1081.0,636221.0,0.2
47170,경상북도 안동시,201801-202608,202011,경상북도 안동시,978.0,616266.0,0.2
47170,경상북도 안동시,201801-202608,202012,경상북도 안동시,723.0,524868.0,0.1
47170,경상북도 안동시,201801-202608,202101,경상북도 안동시,469.0,467757.0,0.1
47170,경상북도 안동시,201801-202608,202102,경상북도 안동시,572.0,497267.0,0.1
47170,경상북도 안동시,201801-202608,202103,경상북도 안동시,894.0,591175.0,0.2
47170,경상북도 안동시,201801-202608,202104,경상북도 안동시,968.0,588975.0,0.2
47170,경상북도 안동시,201801-202608,202105,경상북도 안동시,1009.0,637607.0,0.2
47170,경상북도 안동시,201801-202608,202106,경상북도 안동시,959.0,582257.0,0.2
47170,경상북도 안동시,201801-202608,202107,경상북도 안동시,900.0,538825.0,0.2
47170,경상북도 안동시,201801-202608,202108,경상북도 안동시,740.0,504936.0,0.1
47170,경상북도 안동시,201801-202608,202109,경상북도 안동시,1132.0,618134.0,0.2
47170,경상북도 안동시,201801-202608,202110,경상북도 안동시,1214.0,725689.0,0.2
47170,경상북도 안동시,201801-202608,202111,경상북도 안동시,1157.0,696434.0,0.2
47170,경상북도 안동시,201801-202608,202112,경상북도 안동시,853.0,684255.0,0.1
47170,경상북도 안동시,201801-202608,202205,경상북도 안동시,1254.0,762631.0,0.2
47170,경상북도 안동시,201801-202608,202301,경상북도 안동시,526.0,610343.0,0.1
