조회연도,FSTV_YEAR,FSTV_ID,FSTV_REPS_NM,FSTV_NM,SIDO_CD,SIDO_NM,SGG_NM,ADONG_NM,LRFRN_DIV_CD,LRFRN_DIV_NM,FSTV_PERD_CNT,SUM_CNSM_AMT,SUM_CNSM_AMT_1000,SUM_CNSM_AMT_AVG,SUM_CNSM_AMT_1000_AVG
2018,2018,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,99,전체,10,1735571228.1999998,1735571,173557123,173557
2018,2018,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,3,내국인,10,1707991840.3999996,1707992,170799184,170799
2018,2018,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,2,외국인,10,27579387.799999997,27579,2757939,2758
2018,2018,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,1,외지인,10,1496620222.6,1496620,149662022,149662
2018,2018,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,0,현지인,10,211371617.79999998,211372,21137162,21137
2019,2019,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,99,전체,10,1747989866.0999997,1747990,174798987,174799
2019,2019,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,3,내국인,10,1726796241.0999997,1726796,172679624,172680
2019,2019,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,2,외국인,10,21193625,21194,2119362,2119
2019,2019,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,1,외지인,10,1540444368.9999995,1540444,154044437,154044
2019,2019,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,0,현지인,10,186351872.1,186352,18635187,18635
2022,2022,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,99,전체,5,1192248297.2,1192248,238449659,238450
2022,2022,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,3,내국인,5,1181492415.3,1181492,236298483,236298
2022,2022,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,2,외국인,5,10755881.9,10756,2151176,2151
2022,2022,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,1,외지인,5,1124737094.3999999,1124737,224947419,224947
2022,2022,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,0,현지인,5,56755320.900000006,56755,11351064,11351
2023,2023,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,99,전체,8,1673199762.8999996,1673200,209149970,209150
2023,2023,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,3,내국인,8,1646115896.1999996,1646116,205764487,205764
2023,2023,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,2,외국인,8,27083866.700000003,27084,3385483,3386
2023,2023,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,1,외지인,8,1520105496.8999996,1520105,190013187,190013
2023,2023,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,0,현지인,8,126010399.30000001,126010,15751300,15751
2024,2024,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,99,전체,10,1812728645.5000005,1812729,181272865,181273
2024,2024,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,3,내국인,10,1770645355.2000003,1770645,177064536,177064
2024,2024,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,2,외국인,10,42083290.3,42083,4208329,4208
2024,2024,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,1,외지인,10,1682449157.4,1682449,168244916,168245
2024,2024,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,0,현지인,10,88196197.80000001,88196,8819620,8820
2025,2025,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,99,전체,10,2081435245.4,2081435,208143525,208144
2025,2025,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,3,내국인,10,2008042696.0000002,2008043,200804270,200804
2025,2025,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,2,외국인,10,73392549.4,73393,7339255,7339
2025,2025,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,1,외지인,10,1887807301.4,1887807,188780730,188781
2025,2025,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,0,현지인,10,120235394.60000002,120235,12023539,12024
