조회연도,DIV_NM,ROWNUM,EMD_CD,EMD_NM,ITS_BRO_ID,ITS_BRO_NM,ADDR_ROAD_NM,KTO_CATE_SCLS_NM,SRCH_CNT
2018,외지인,1,47170510,중구동,4073949,탈춤공원,경북 안동시 육사로 239-0,도시공원,2072
2018,외지인,2,47170510,중구동,4076002,안동구시장,경북 안동시 번영1길 47-0,시장,1420
2018,외지인,3,47170510,중구동,4073953,웅부공원,경북 안동시,도시공원,48
2018,외지인,4,47170510,중구동,1312936,안동임청각공사중(2024년완공예정),경북 안동시 임청각길 63-0,역사유적지,12
2018,외지인,4,47170510,중구동,5976674,안동벚꽃길,경북 안동시 육사로 239-0,기타관광,12
2018,외지인,6,47170510,중구동,399236,해동사,경북 안동시 성진1길 0-0,종교성지,6
2018,전체,1,47170510,중구동,4073949,탈춤공원,경북 안동시 육사로 239-0,도시공원,2112
2018,전체,2,47170510,중구동,4076002,안동구시장,경북 안동시 번영1길 47-0,시장,1438
2018,전체,3,47170510,중구동,4073953,웅부공원,경북 안동시,도시공원,58
2018,전체,4,47170510,중구동,5976674,안동벚꽃길,경북 안동시 육사로 239-0,기타관광,14
2018,전체,4,47170510,중구동,1312936,안동임청각공사중(2024년완공예정),경북 안동시 임청각길 63-0,역사유적지,14
2018,전체,6,47170510,중구동,399236,해동사,경북 안동시 성진1길 0-0,종교성지,8
2018,현지인,1,47170510,중구동,4073949,탈춤공원,경북 안동시 육사로 239-0,도시공원,40
2018,현지인,2,47170510,중구동,4076002,안동구시장,경북 안동시 번영1길 47-0,시장,18
2018,현지인,3,47170510,중구동,4073953,웅부공원,경북 안동시,도시공원,10
2018,현지인,4,47170510,중구동,399236,해동사,경북 안동시 성진1길 0-0,종교성지,2
2018,현지인,4,47170510,중구동,5976674,안동벚꽃길,경북 안동시 육사로 239-0,기타관광,2
2018,현지인,4,47170510,중구동,1312936,안동임청각공사중(2024년완공예정),경북 안동시 임청각길 63-0,역사유적지,2
2019,외지인,1,47170510,중구동,4076002,안동구시장,경북 안동시 번영1길 47-0,시장,2988
2019,외지인,2,47170510,중구동,4073949,탈춤공원,경북 안동시 육사로 239-0,도시공원,2552
2019,외지인,3,47170510,중구동,8821041,그라스원,경북 안동시,기타관광,232
2019,외지인,4,47170510,중구동,4073953,웅부공원,경북 안동시,도시공원,70
2019,외지인,5,47170510,중구동,5889236,중앙시네마,경북 안동시 문화광장길 45-0,공연시설,20
2019,외지인,6,47170510,중구동,8952051,백조공원음악분수,경북 안동시,기타관광,12
2019,외지인,7,47170510,중구동,4074165,전통문화콘텐츠박물관,경북 안동시 서동문로 203-0,전시시설,8
2019,전체,1,47170510,중구동,4076002,안동구시장,경북 안동시 번영1길 47-0,시장,3018
2019,전체,2,47170510,중구동,4073949,탈춤공원,경북 안동시 육사로 239-0,도시공원,2620
2019,전체,3,47170510,중구동,8821041,그라스원,경북 안동시,기타관광,240
2019,전체,4,47170510,중구동,4073953,웅부공원,경북 안동시,도시공원,80
2019,전체,5,47170510,중구동,5889236,중앙시네마,경북 안동시 문화광장길 45-0,공연시설,30
2019,전체,6,47170510,중구동,8952051,백조공원음악분수,경북 안동시,기타관광,14
2019,전체,7,47170510,중구동,4074165,전통문화콘텐츠박물관,경북 안동시 서동문로 203-0,전시시설,10
2019,현지인,1,47170510,중구동,4073949,탈춤공원,경북 안동시 육사로 239-0,도시공원,68
2019,현지인,2,47170510,중구동,4076002,안동구시장,경북 안동시 번영1길 47-0,시장,30
2019,현지인,3,47170510,중구동,5889236,중앙시네마,경북 안동시 문화광장길 45-0,공연시설,10
2019,현지인,3,47170510,중구동,4073953,웅부공원,경북 안동시,도시공원,10
2019,현지인,5,47170510,중구동,8821041,그라스원,경북 안동시,기타관광,8
2019,현지인,6,47170510,중구동,4074165,전통문화콘텐츠박물관,경북 안동시 서동문로 203-0,전시시설,2
2019,현지인,6,47170510,중구동,8952051,백조공원음악분수,경북 안동시,기타관광,2
2022,외지인,1,47170510,중구동,4076002,안동구시장,경북 안동시 번영1길 47-0,시장,2866
2022,외지인,2,47170510,중구동,4073949,탈춤공원,경북 안동시 육사로 239-0,도시공원,530
2022,외지인,3,47170510,중구동,8821041,그라스원,경북 안동시,기타관광,418
2022,외지인,4,47170510,중구동,4073953,웅부공원,경북 안동시,도시공원,190
2022,외지인,5,47170510,중구동,10225842,안동탈춤공연장,경북 안동시 육사로 239-0,공연시설,122
2022,외지인,6,47170510,중구동,1312936,안동임청각공사중(2024년완공예정),경북 안동시 임청각길 63-0,역사유적지,98
2022,외지인,7,47170510,중구동,2882464,안동중앙문화의거리,경북 안동시,기타쇼핑시설,84
2022,외지인,8,47170510,중구동,10348065,모디684,경북 안동시 경동로 684-0,기타문화관광지,82
2022,외지인,9,47170510,중구동,4074165,전통문화콘텐츠박물관,경북 안동시 서동문로 203-0,전시시설,26
2022,외지인,10,47170510,중구동,1312649,안동태사묘,경북 안동시 태사길 13-0,역사유적지,16
2022,외지인,10,47170510,중구동,8952051,백조공원음악분수,경북 안동시,기타관광,16
2022,전체,1,47170510,중구동,4076002,안동구시장,경북 안동시 번영1길 47-0,시장,2906
2022,전체,2,47170510,중구동,4073949,탈춤공원,경북 안동시 육사로 239-0,도시공원,544
2022,전체,3,47170510,중구동,8821041,그라스원,경북 안동시,기타관광,432
2022,전체,4,47170510,중구동,4073953,웅부공원,경북 안동시,도시공원,226
2022,전체,5,47170510,중구동,10225842,안동탈춤공연장,경북 안동시 육사로 239-0,공연시설,128
2022,전체,6,47170510,중구동,1312936,안동임청각공사중(2024년완공예정),경북 안동시 임청각길 63-0,역사유적지,104
2022,전체,7,47170510,중구동,10348065,모디684,경북 안동시 경동로 684-0,기타문화관광지,88
