조회연도,FSTV_ID,FSTV_REPS_NM,AGEG_DIV_NM,SORT_STR,M_TOT,W_TOT,M_TOU_NUM_RAT,W_TOU_NUM_RAT,DISP_YN
2018,KCTF0041,안동탈춤축제,70세 이상,8,9989.84090237448,8757.854020601757,2.5,2.2,N
2018,KCTF0041,안동탈춤축제,60~69세,7,23302.055568520263,20229.982644557997,5.8,5.0,N
2018,KCTF0041,안동탈춤축제,50~59세,6,41944.57367896177,39257.14821399769,10.4,9.7,N
2018,KCTF0041,안동탈춤축제,40~49세,5,38324.484985570845,40329.37219074174,9.5,10.0,N
2018,KCTF0041,안동탈춤축제,30~39세,4,28681.35743990024,29251.15973400596,7.1,7.2,N
2018,KCTF0041,안동탈춤축제,20~29세,3,39822.41022478433,39536.17243701512,9.8,9.8,N
2018,KCTF0041,안동탈춤축제,10~19세,2,19832.040137769727,22734.63375985745,4.9,5.6,N
2018,KCTF0041,안동탈춤축제,0~9세,1,1260.91649163581,1576.9975697048185,0.3,0.4,N
2019,KCTF0041,안동탈춤축제,70세 이상,8,13456.156937642985,11318.16277107392,3.2,2.7,N
2019,KCTF0041,안동탈춤축제,60~69세,7,24600.361649844333,24259.373055949192,5.8,5.7,N
2019,KCTF0041,안동탈춤축제,50~59세,6,43569.27286013776,45416.442821472534,10.2,10.7,N
2019,KCTF0041,안동탈춤축제,40~49세,5,36650.84629301122,39711.92365786427,8.6,9.3,N
2019,KCTF0041,안동탈춤축제,30~39세,4,28526.858993997776,29368.858956204527,6.7,6.9,N
2019,KCTF0041,안동탈춤축제,20~29세,3,37941.154213668226,42148.41419576711,8.9,9.9,N
2019,KCTF0041,안동탈춤축제,10~19세,2,18391.79623874046,26379.93576734096,4.3,6.2,N
2019,KCTF0041,안동탈춤축제,0~9세,1,1372.8376769509505,2305.603910333784,0.3,0.5,N
2022,KCTF0041,안동탈춤축제,70세 이상,8,9662.53029224438,10907.467796341458,3.8,4.3,N
2022,KCTF0041,안동탈춤축제,60~69세,7,18445.110216999434,18972.341788357593,7.3,7.5,N
2022,KCTF0041,안동탈춤축제,50~59세,6,23504.049294989403,26908.192948932512,9.3,10.6,N
2022,KCTF0041,안동탈춤축제,40~49세,5,19520.519564857488,20929.115733722865,7.7,8.2,N
2022,KCTF0041,안동탈춤축제,30~39세,4,18178.514403497375,17677.94576133182,7.2,7.0,N
2022,KCTF0041,안동탈춤축제,20~29세,3,20767.36711280052,24535.82029809295,8.2,9.7,N
2022,KCTF0041,안동탈춤축제,10~19세,2,8931.649554865426,11101.208896380196,3.5,4.4,N
2022,KCTF0041,안동탈춤축제,0~9세,1,1657.262637349928,2029.9036992366516,0.7,0.8,N
2023,KCTF0041,안동탈춤축제,70세 이상,8,14083.448577933665,17000.12233234713,3.9,4.7,N
2023,KCTF0041,안동탈춤축제,60~69세,7,28425.451166578205,30317.26330176433,7.9,8.4,N
2023,KCTF0041,안동탈춤축제,50~59세,6,33476.127138819196,39737.1180867385,9.3,11.0,N
2023,KCTF0041,안동탈춤축제,40~49세,5,27886.706910662007,29996.664774286233,7.7,8.3,N
2023,KCTF0041,안동탈춤축제,30~39세,4,27257.47870346938,24976.493060678968,7.6,6.9,N
2023,KCTF0041,안동탈춤축제,20~29세,3,26289.9636602275,29889.880551167756,7.3,8.3,N
2023,KCTF0041,안동탈춤축제,10~19세,2,11753.084488306778,15514.671784428701,3.3,4.3,N
2023,KCTF0041,안동탈춤축제,0~9세,1,2066.852038744758,2147.1734238468916,0.6,0.6,N
2024,KCTF0041,안동탈춤축제,70세 이상,8,21710.776505215763,25086.496120332456,4.3,5.0,N
2024,KCTF0041,안동탈춤축제,60~69세,7,40157.879269436446,43181.50958718962,8.0,8.6,N
2024,KCTF0041,안동탈춤축제,50~59세,6,46777.75238800642,55347.500885762216,9.4,11.1,N
2024,KCTF0041,안동탈춤축제,40~49세,5,37435.109913287524,40282.9165584539,7.5,8.1,N
2024,KCTF0041,안동탈춤축제,30~39세,4,39771.55301550436,36440.395289223394,8.0,7.3,N
2024,KCTF0041,안동탈춤축제,20~29세,3,34078.10732319135,40352.893779874124,6.8,8.1,N
2024,KCTF0041,안동탈춤축제,10~19세,2,15394.98600009992,17304.455165245232,3.1,3.5,N
2024,KCTF0041,안동탈춤축제,0~9세,1,2774.303664534071,3794.3645346432086,0.6,0.8,N
2025,KCTF0041,안동탈춤축제,70세 이상,8,25585.028634595157,28166.070261760382,4.7,5.1,N
2025,KCTF0041,안동탈춤축제,60~69세,7,44344.38119404752,46918.53274628187,8.1,8.5,N
2025,KCTF0041,안동탈춤축제,50~59세,6,48726.06364266388,57939.40296089869,8.9,10.6,N
2025,KCTF0041,안동탈춤축제,40~49세,5,39972.549597269215,40864.1639719846,7.3,7.4,N
2025,KCTF0041,안동탈춤축제,30~39세,4,44558.80463776956,40262.44318649143,8.1,7.3,N
2025,KCTF0041,안동탈춤축제,20~29세,3,39869.579263844,45239.434527012374,7.3,8.2,N
2025,KCTF0041,안동탈춤축제,10~19세,2,17930.544670793683,22579.490475065166,3.3,4.1,N
2025,KCTF0041,안동탈춤축제,0~9세,1,2564.7920213160337,3271.718208206441,0.5,0.6,N
