조회연도,FSTV_YEAR,FSTV_ID,FSTV_REPS_NM,FSTV_NM,SIDO_CD,SIDO_NM,SGG_NM,ADONG_NM,LRFRN_DIV_CD,LRFRN_DIV_NM,KTO_TOB_LCLS_CD,KTO_TOB_LCLS_NM,FSTV_PERD_CNT,SUM_CNSM_AMT,SUM_CNSM_AMT_1000,SUM_CNSM_AMT_AVG,SUM_CNSM_AMT_1000_AVG
2018,2018,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,0,현지인,1,숙박업,10,4065679.5,4066,406568,407
2018,2018,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,1,외지인,1,숙박업,10,22545559,22546,2254556,2255
2018,2018,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,2,외국인,1,숙박업,10,7023704.4,7024,702370,702
2018,2018,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,3,내국인,1,숙박업,10,26611238.5,26611,2661124,2661
2018,2018,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,0,현지인,2,여행업,10,5650905.5,5651,565091,565
2018,2018,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,1,외지인,2,여행업,10,346002.1,346,34600,35
2018,2018,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,3,내국인,2,여행업,10,5996907.6,5997,599691,600
2018,2018,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,1,외지인,3,운송업,10,8379982.5,8380,837998,838
2018,2018,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,3,내국인,3,운송업,10,8379982.5,8380,837998,838
2018,2018,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,0,현지인,4,쇼핑업,10,201655032.79999998,201655,20165503,20166
2018,2018,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,1,외지인,4,쇼핑업,10,819165044.3,819165,81916504,81916
2018,2018,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,2,외국인,4,쇼핑업,10,9898717.399999999,9899,989872,990
2018,2018,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,3,내국인,4,쇼핑업,10,1020820077.0999999,1020820,102082008,102082
2018,2018,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,1,외지인,5,여가서비스업,10,14126953.1,14127,1412695,1413
2018,2018,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,2,외국인,5,여가서비스업,10,10000,10,1000,1
