조회연도,SEQ,FSTV_ID,FSTV_REPS_NM,DIV_GRP_SEQ,DIV_GRP,BASE_YEAR,DIV_NM,DIV_NM_VAL
2018,1,KCTF0041,안동탈춤축제,1,축제기간,2018,외부방문자 유입,0.455
2018,2,KCTF0041,안동탈춤축제,1,축제기간,2018,현지인방문자 유입,0.742
2018,3,KCTF0041,안동탈춤축제,1,축제기간,2018,내비게이션 검색량,0.369
2018,4,KCTF0041,안동탈춤축제,1,축제기간,2018,관광소비,0.457
2018,5,KCTF0041,안동탈춤축제,1,축제기간,2018,축제지 집중률,0.818
2018,1,KCTF0041,안동탈춤축제,2,비축제기간,2018,외부방문자 유입,0.373
2018,2,KCTF0041,안동탈춤축제,2,비축제기간,2018,현지인방문자 유입,0.626
2018,3,KCTF0041,안동탈춤축제,2,비축제기간,2018,내비게이션 검색량,0.237
2018,4,KCTF0041,안동탈춤축제,2,비축제기간,2018,관광소비,0.5
2018,5,KCTF0041,안동탈춤축제,2,비축제기간,2018,축제지 집중률,0.595
2019,1,KCTF0041,안동탈춤축제,1,축제기간,2019,외부방문자 유입,0.608
2019,2,KCTF0041,안동탈춤축제,1,축제기간,2019,현지인방문자 유입,0.878
2019,3,KCTF0041,안동탈춤축제,1,축제기간,2019,내비게이션 검색량,0.419
2019,4,KCTF0041,안동탈춤축제,1,축제기간,2019,관광소비,0.424
2019,5,KCTF0041,안동탈춤축제,1,축제기간,2019,축제지 집중률,0.837
2019,1,KCTF0041,안동탈춤축제,2,비축제기간,2019,외부방문자 유입,0.443
2019,2,KCTF0041,안동탈춤축제,2,비축제기간,2019,현지인방문자 유입,0.715
2019,3,KCTF0041,안동탈춤축제,2,비축제기간,2019,내비게이션 검색량,0.249
2019,4,KCTF0041,안동탈춤축제,2,비축제기간,2019,관광소비,0.422
2019,5,KCTF0041,안동탈춤축제,2,비축제기간,2019,축제지 집중률,0.597
2022,1,KCTF0041,안동탈춤축제,1,축제기간,2022,외부방문자 유입,0.639
2022,2,KCTF0041,안동탈춤축제,1,축제기간,2022,현지인방문자 유입,0.913
2022,3,KCTF0041,안동탈춤축제,1,축제기간,2022,내비게이션 검색량,0.483
2022,4,KCTF0041,안동탈춤축제,1,축제기간,2022,관광소비,0.518
2022,5,KCTF0041,안동탈춤축제,1,축제기간,2022,축제지 집중률,0.859
2022,1,KCTF0041,안동탈춤축제,2,비축제기간,2022,외부방문자 유입,0.373
2022,2,KCTF0041,안동탈춤축제,2,비축제기간,2022,현지인방문자 유입,0.605
2022,3,KCTF0041,안동탈춤축제,2,비축제기간,2022,내비게이션 검색량,0.272
2022,4,KCTF0041,안동탈춤축제,2,비축제기간,2022,관광소비,0.457
2022,5,KCTF0041,안동탈춤축제,2,비축제기간,2022,축제지 집중률,0.561
2023,1,KCTF0041,안동탈춤축제,1,축제기간,2023,외부방문자 유입,0.52
2023,2,KCTF0041,안동탈춤축제,1,축제기간,2023,현지인방문자 유입,0.923
2023,3,KCTF0041,안동탈춤축제,1,축제기간,2023,내비게이션 검색량,0.458
2023,4,KCTF0041,안동탈춤축제,1,축제기간,2023,관광소비,0.437
2023,5,KCTF0041,안동탈춤축제,1,축제기간,2023,축제지 집중률,0.868
2023,1,KCTF0041,안동탈춤축제,2,비축제기간,2023,외부방문자 유입,0.259
2023,2,KCTF0041,안동탈춤축제,2,비축제기간,2023,현지인방문자 유입,0.701
2023,3,KCTF0041,안동탈춤축제,2,비축제기간,2023,내비게이션 검색량,0.164
2023,4,KCTF0041,안동탈춤축제,2,비축제기간,2023,관광소비,0.356
2023,5,KCTF0041,안동탈춤축제,2,비축제기간,2023,축제지 집중률,0.552
2024,1,KCTF0041,안동탈춤축제,1,축제기간,2024,외부방문자 유입,0.645
2024,2,KCTF0041,안동탈춤축제,1,축제기간,2024,현지인방문자 유입,0.904
2024,3,KCTF0041,안동탈춤축제,1,축제기간,2024,내비게이션 검색량,0.516
2024,4,KCTF0041,안동탈춤축제,1,축제기간,2024,관광소비,0.475
2024,5,KCTF0041,안동탈춤축제,1,축제기간,2024,축제지 집중률,0.875
2024,1,KCTF0041,안동탈춤축제,2,비축제기간,2024,외부방문자 유입,0.354
2024,2,KCTF0041,안동탈춤축제,2,비축제기간,2024,현지인방문자 유입,0.611
2024,3,KCTF0041,안동탈춤축제,2,비축제기간,2024,내비게이션 검색량,0.231
2024,4,KCTF0041,안동탈춤축제,2,비축제기간,2024,관광소비,0.458
2024,5,KCTF0041,안동탈춤축제,2,비축제기간,2024,축제지 집중률,0.503
2025,1,KCTF0041,안동탈춤축제,1,축제기간,2025,외부방문자 유입,0.515
2025,2,KCTF0041,안동탈춤축제,1,축제기간,2025,현지인방문자 유입,0.859
2025,3,KCTF0041,안동탈춤축제,1,축제기간,2025,내비게이션 검색량,0.434
2025,4,KCTF0041,안동탈춤축제,1,축제기간,2025,관광소비,0.544
2025,5,KCTF0041,안동탈춤축제,1,축제기간,2025,축제지 집중률,0.879
2025,1,KCTF0041,안동탈춤축제,2,비축제기간,2025,외부방문자 유입,0.258
2025,2,KCTF0041,안동탈춤축제,2,비축제기간,2025,현지인방문자 유입,0.618
2025,3,KCTF0041,안동탈춤축제,2,비축제기간,2025,내비게이션 검색량,0.252
2025,4,KCTF0041,안동탈춤축제,2,비축제기간,2025,관광소비,0.375
2025,5,KCTF0041,안동탈춤축제,2,비축제기간,2025,축제지 집중률,0.65
