조회_SGG_CD,조회_지역,조회기간,BASE_DATE,LRFRN_VISITR_ESTI_NUM
47170,경상북도 안동시,202608-202608,20260914,25.74
47170,경상북도 안동시,202608-202608,20260915,30.82
47170,경상북도 안동시,202608-202608,20260916,30.42
47170,경상북도 안동시,202608-202608,20260917,30.37
47170,경상북도 안동시,202608-202608,20260918,42.11
47170,경상북도 안동시,202608-202608,20260919,76.77
47170,경상북도 안동시,202608-202608,20260920,70.86
47170,경상북도 안동시,202608-202608,20260921,29.69
47170,경상북도 안동시,202608-202608,20260922,28.82
47170,경상북도 안동시,202608-202608,20260923,29.47
47170,경상북도 안동시,202608-202608,20260924,96.23
47170,경상북도 안동시,202608-202608,20260925,95.26
47170,경상북도 안동시,202608-202608,20260926,94.0
47170,경상북도 안동시,202608-202608,20260927,84.23
47170,경상북도 안동시,202608-202608,20260928,34.05
47170,경상북도 안동시,202608-202608,20260929,36.52
47170,경상북도 안동시,202608-202608,20260930,38.9
47170,경상북도 안동시,202608-202608,20261001,42.05
47170,경상북도 안동시,202608-202608,20261002,56.43
47170,경상북도 안동시,202608-202608,20261003,96.61
47170,경상북도 안동시,202608-202608,20261004,91.02
47170,경상북도 안동시,202608-202608,20261005,86.28
47170,경상북도 안동시,202608-202608,20261006,28.91
47170,경상북도 안동시,202608-202608,20261007,28.27
47170,경상북도 안동시,202608-202608,20261008,29.92
47170,경상북도 안동시,202608-202608,20261009,75.33
47170,경상북도 안동시,202608-202608,20261010,83.21
47170,경상북도 안동시,202608-202608,20261011,64.27
47170,경상북도 안동시,202608-202608,20261012,28.17
47170,경상북도 안동시,202608-202608,20261013,29.31
