癤우닕諛뺤뾽泥대챸,﻿숙박업체명,업종,객실수,주소
코모도호텔 포항 송도,관광호텔업,50,"경상북도 포항시 남구 송도로 71 (송도동, 코모도비취관광호텔)"
베니키아 호텔 포항,관광호텔업,80,경상북도 포항시 남구 중앙로 128 (해도동)
라한호텔 포항,관광호텔업,160,경상북도 포항시 북구 삼호로265번길 1 (두호동)
윈호텔,관광호텔업,53,경상북도 포항시 북구 해안로 89 (두호동)
호텔뷰,관광호텔업,42,경상북도 포항시 북구 해안로 91 (두호동)
노블리온호텔,관광호텔업,42,경상북도 포항시 남구 희망대로659번길 20 (대잠동)
하운드호텔,관광호텔업,72,경상북도 포항시 남구 송도해안길 58 (송도동)
(주)비치호텔,관광호텔업,42,경상북도 포항시 북구 해안로 105 (두호동)
라우스데오,소형호텔업,29,"포항시 북구 장량로127번길 6, 라우스데오 (장성동)"
루트422,소형호텔업,21,경상북도 포항시 북구 해안로 105 (두호동)
동빈나루 게스트하우스,호스텔업,2,경상북도 포항시 북구 해동로 211-1 (동빈2가)
영일대 게스트하우스,호스텔업,11,경상북도 포항시 북구 삼호로 73 (대신동)
영일대스테이,호스텔업,2,경상북도 포항시 북구 대신로36번길 14 (대신동)
티베이호스텔,호스텔업,6,"경상북도 포항시 북구 해안로445번길 20-15, 티베이호스텔 (환호동)"
에스피에스타,호스텔업,3,경상북도 포항시 북구 여남포길21번길 15-8 (환호동)
오렌지스테이,호스텔업,4,경상북도 포항시 북구 중앙상가길 56-1 (상원동)
오션힐스 골프 & 리조트,휴양콘도미니엄업,54,포항시 북구 송라면 대전길 7
힐튼호텔 경주,관광호텔업,330,경상북도 경주시 보문로 484-7
주식회사 라한호텔(경주),관광호텔업,430,경상북도 경주시 보문로 338
코오롱호텔,관광호텔업,305,경상북도 경주시 불국로 289-17
코모도호텔 경주,관광호텔업,276,경상북도 경주시 보문로 422
더케이호텔경주,관광호텔업,304,경상북도 경주시 엑스포로 45
그랜드호텔 경주,관광호텔업,104,경상북도 경주시 불국로 61
경주조선온천호텔㈜,관광호텔업,45,경상북도 경주시 보문로 407
베니키아 스위스로젠호텔,관광호텔업,60,경상북도 경주시 보문로 465-37
경주지지관광호텔,관광호텔업,53,경상북도 경주시 태종로 699번길3
아리수경주호텔,관광호텔업,80,경상북도 경주시 영불로 207
케이호텔,관광호텔업,31,경상북도 경주시 천북면 천강로 295-60
엘라포니시 풀빌라&호텔,관광호텔업,52,경상북도 경주시 동해안로 1594
체스터톤스 경주 더 테라스 호텔,관광호텔업,81,"경상북도 경주시 황성동 1067-4,1067-10 (광중길11)"
샵앤플랫 호텔,관광호텔업,30,경주시 감포읍 동해안로 2626 
경주시티호텔,관광호텔업,88,경상북도 경주시 북성로 127
호텔 오푸스,관광호텔업,40,경상북도 경주시 천북면 성지리 516-13번지(도로명 없음)
엘라포니시,관광호텔업,52,경상북도 경주시 동해안로 1596
㈜신라밀레니엄 라궁,한국전통호텔업,16,경상북도 경주시 엑스포로 55-12
호스텔 다현,호스텔업,21,경상북도 경주시 원화로340번길12
청춘 호스텔,호스텔업,11,경상북도 경주시 태종로 727번길 31
HOTEL 송대말,호스텔업,39,경상북도 경주시 감포읍 감포로 226-4
경주 키즈&가족호텔,호스텔업,18,경상북도 경주시 영불로 248
에스앤비풀빌라 호스텔,호스텔업,8,경주시 감포읍 감포로 250
황남 inn,호스텔업,5,경상북도 경주시 계림로 109
블루픽셀스테이,호스텔업,4,경상북도 감포읍 팔조리 125-6
루나힐,호스텔업,11,경상북도 경주시 감포읍 감포로 287
지니스테이,호스텔업,4,"경상북도 경주시 태종로699번길 20-2, 홀인원 3층 (노서동)"
