시군,연월,방문
가평군,201901,1305487.0
가평군,201902,1306735.0
가평군,201903,1579990.0
가평군,201904,1690624.0
가평군,201905,2008534.0
가평군,201906,2214390.0
가평군,201907,2574035.0
가평군,201908,3593114.0
가평군,201909,1862698.0
가평군,201910,1916862.0
가평군,201911,1694413.0
가평군,201912,1347302.0
가평군,202001,1407705.0
가평군,202002,1188288.0
가평군,202003,1452224.0
가평군,202004,1853671.0
가평군,202005,2397958.0
가평군,202006,2390419.0
가평군,202007,2926730.0
가평군,202008,2895569.0
가평군,202009,2061271.0
가평군,202010,2562368.0
가평군,202011,1891985.0
가평군,202012,1404237.0
가평군,202101,1214417.0
가평군,202102,1587202.0
가평군,202103,1595330.0
가평군,202104,2090396.0
가평군,202105,2375499.0
가평군,202106,2417775.0
가평군,202107,2628139.0
가평군,202108,3000613.0
가평군,202109,2378975.0
가평군,202110,2600308.0
가평군,202111,2091598.0
가평군,202112,1694792.0
가평군,202201,1712260.0
가평군,202202,1563295.0
가평군,202203,1565470.0
가평군,202204,2364239.0
가평군,202205,2826054.0
가평군,202206,2881407.0
가평군,202207,3472349.0
가평군,202208,3778676.0
가평군,202209,2577892.0
가평군,202210,2809112.0
가평군,202211,1974653.0
가평군,202212,1488326.0
가평군,202301,1558903.0
가평군,202302,1561902.0
가평군,202303,1884402.0
가평군,202304,2288054.0
가평군,202305,2472818.0
가평군,202306,2491557.0
가평군,202307,2846480.0
가평군,202308,3382578.0
가평군,202309,2362772.0
가평군,202310,2679415.0
가평군,202311,1726309.0
가평군,202312,1548968.0
가평군,202401,1436376.0
가평군,202402,1584887.0
가평군,202403,1765150.0
가평군,202404,2133392.0
가평군,202405,2381040.0
가평군,202406,2541713.0
가평군,202407,2482877.0
가평군,202408,3510073.0
가평군,202409,2341673.0
가평군,202410,2342320.0
가평군,202411,2001733.0
가평군,202412,1467306.0
가평군,202501,1607062.0
가평군,202502,1330691.0
가평군,202503,1825941.0
가평군,202504,1983615.0
가평군,202505,2669569.0
가평군,202506,2406441.0
가평군,202507,2688306.0
가평군,202508,3322009.0
가평군,202509,2051931.0
가평군,202510,2644120.0
가평군,202511,2019569.0
가평군,202512,1506418.0
가평군,202601,1461307.0
가평군,202602,1623502.0
가평군,202603,1699743.0
가평군,202604,2013852.0
가평군,202605,2695742.0
가평군,202606,2226514.0
가평군,202607,2601337.0
가평군,202608,3226499.0
강남구,201901,17246027.0
강남구,201902,13361409.0
강남구,201903,18073410.0
강남구,201904,14706852.0
강남구,201905,16020604.0
강남구,201906,15859982.0
강남구,201907,18096214.0
강남구,201908,17633938.0
강남구,201909,15810401.0
강남구,201910,16926384.0
강남구,201911,19235881.0
강남구,201912,18896489.0
강남구,202001,17199969.0
강남구,202002,14225061.0
강남구,202003,12221403.0
강남구,202004,14523567.0
강남구,202005,16143699.0
강남구,202006,16241490.0
강남구,202007,17758926.0
강남구,202008,14978051.0
강남구,202009,14023328.0
강남구,202010,17118650.0
강남구,202011,16155939.0
강남구,202012,12370956.0
강남구,202101,13722664.0
강남구,202102,14161525.0
강남구,202103,17556830.0
강남구,202104,15483126.0
강남구,202105,16308184.0
강남구,202106,16661825.0
강남구,202107,14630384.0
강남구,202108,14907794.0
강남구,202109,15205359.0
강남구,202110,17221830.0
강남구,202111,18186152.0
강남구,202112,16918424.0
강남구,202201,16549745.0
강남구,202202,13834524.0
강남구,202203,16592924.0
강남구,202204,18132705.0
강남구,202205,18926752.0
강남구,202206,17861069.0
강남구,202207,19334413.0
