시군,연월,체험문화,체험문화_유원제외,관광총소비,방문
가평군,201901,330989000.0,317900000.0,16255043000.0,1305487.0
가평군,201902,246788000.0,231830000.0,16539283000.0,1306735.0
가평군,201903,211988000.0,190842000.0,22194156000.0,1579990.0
가평군,201904,361363000.0,225208000.0,25123239000.0,1690624.0
가평군,201905,341743000.0,272392000.0,31179138000.0,2008534.0
가평군,201906,542139000.0,470997000.0,34161834000.0,2214390.0
가평군,201907,881313000.0,807098000.0,35485230000.0,2574035.0
가평군,201908,1760946000.0,1655474000.0,48120804000.0,3593114.0
가평군,201909,381198000.0,343782000.0,29631381000.0,1862698.0
가평군,201910,305341000.0,260830000.0,35531253000.0,1916862.0
가평군,201911,241279000.0,173829000.0,28344950000.0,1694413.0
가평군,201912,227401000.0,180594000.0,21822785000.0,1347302.0
가평군,202001,218753000.0,168130000.0,21169175000.0,1407705.0
가평군,202002,172670000.0,148454000.0,17259458000.0,1188288.0
가평군,202003,281651000.0,192455000.0,22793305000.0,1452224.0
가평군,202004,304743000.0,217320000.0,30152840000.0,1853671.0
가평군,202005,498077000.0,368129000.0,37689439000.0,2397958.0
가평군,202006,640897000.0,550199000.0,38536059000.0,2390419.0
가평군,202007,866277000.0,766548000.0,44511581000.0,2926730.0
가평군,202008,708482000.0,647634000.0,42038318000.0,2895569.0
가평군,202009,381791000.0,310457000.0,34271540000.0,2061271.0
가평군,202010,453632000.0,349170000.0,39006477000.0,2562368.0
가평군,202011,288398000.0,220463000.0,29756387000.0,1891985.0
가평군,202012,184712000.0,146058000.0,20776151000.0,1404237.0
가평군,202101,163349000.0,120022000.0,18028613000.0,1214417.0
가평군,202102,275723000.0,189101000.0,23449723000.0,1587202.0
가평군,202103,230120000.0,154401000.0,26337731000.0,1595330.0
가평군,202104,324253000.0,219182000.0,34795086000.0,2090396.0
가평군,202105,496841000.0,378208000.0,39192404000.0,2375499.0
가평군,202106,633181000.0,541253000.0,40009021000.0,2417775.0
가평군,202107,879312000.0,823889000.0,43222233000.0,2628139.0
가평군,202108,1193279000.0,1090229000.0,47869776000.0,3000613.0
가평군,202109,581931000.0,477105000.0,39119728000.0,2378975.0
가평군,202110,561549000.0,458842000.0,44113864000.0,2600308.0
가평군,202111,482777000.0,400750000.0,37349339000.0,2091598.0
가평군,202112,306113000.0,251190000.0,27931759000.0,1694792.0
가평군,202201,397441000.0,294285000.0,26484071000.0,1712260.0
