category,name,when,place,seq,href
공연-한국탈춤,가산오광대,2026.09.29 (15:00),탈춤공연장,4327,/2024/sub2/sub1.asp?yflag=2026&search=&page=1&seq=4327
공연-한국탈춤,강령탈춤,2026.09.26 (13:00),탈춤공연장,4319,/2024/sub2/sub1.asp?yflag=2026&search=&page=1&seq=4319
공연-한국탈춤,강릉관노가면극,2026.10.03 (13:00),탈춤공연장,4330,/2024/sub2/sub1.asp?yflag=2026&search=&page=1&seq=4330
공연-한국탈춤,고성오광대,2026.09.28 (18:30),탈춤공연장,4326,/2024/sub2/sub1.asp?yflag=2026&search=&page=1&seq=4326
공연-한국탈춤,동래야류,2026.09.27 (13:00),탈춤공연장,4323,/2024/sub2/sub1.asp?yflag=2026&search=&page=1&seq=4323
공연-한국탈춤,봉산탈춤,2026.10.01 (15:30),탈춤공연장,4328,/2024/sub2/sub1.asp?yflag=2026&search=&page=1&seq=4328
공연-한국탈춤,북청사자놀이,2026.09.28 (15:30),탈춤공연장,4325,/2024/sub2/sub1.asp?yflag=2026&search=&page=1&seq=4325
공연-한국탈춤,속초사자놀이,2026.09.27 (13:00),하회마을 / 만송정,4338,/2024/sub2/sub1.asp?yflag=2026&search=&page=1&seq=4338
공연-한국탈춤,송파산대놀이,2026.09.26 (16:00),탈춤공연장,4321,/2024/sub2/sub1.asp?yflag=2026&search=&page=2&seq=4321
공연-한국탈춤,수영야류,2026.10.03 (16:00),탈춤공연장,4331,/2024/sub2/sub1.asp?yflag=2026&search=&page=2&seq=4331
공연-한국탈춤,양주별산대놀이,2026.10.04 (14:00),탈춤공연장,4332,/2024/sub2/sub1.asp?yflag=2026&search=&page=2&seq=4332
공연-한국탈춤,영양원놀음,2026.09.27 (15:30),하회마을 / 만송정,4337,/2024/sub2/sub1.asp?yflag=2026&search=&page=2&seq=4337
공연-한국탈춤,예천청단놀음,2026.10.04 (15:30),하회마을 / 만송정,4339,/2024/sub2/sub1.asp?yflag=2026&search=&page=2&seq=4339
공연-한국탈춤,은율탈춤,2026.09.27 (17:30),탈춤공연장,4322,/2024/sub2/sub1.asp?yflag=2026&search=&page=2&seq=4322
공연-한국탈춤,통영오광대,2026.10.02 (14:30),탈춤공연장,4329,/2024/sub2/sub1.asp?yflag=2026&search=&page=2&seq=4329
공연-한국탈춤,퇴계원산대놀이,2026.10.03 (15:30),하회마을 / 만송정,4340,/2024/sub2/sub1.asp?yflag=2026&search=&page=2&seq=4340
공연-한국탈춤,하회별신굿탈놀이,2026.09.25 ~ 10.04,탈춤공연장,4316,/2024/sub2/sub1.asp?yflag=2026&search=&page=3&seq=4316
공연-외국탈춤,뉴질랜드,2026.09.25 ~ 10.04 / 하단 상세 일정 참고,탈춤공연장 / 메인무대 / 왔니껴무대,4357,/2024/sub2/sub1_2.asp?yflag=2026&search=&page=1&seq=4357
공연-외국탈춤,대만,2026.09.25 ~ 10.04 / 하단 상세 일정 참고,탈춤공연장 / 메인무대 / 왔니껴무대,4349,/2024/sub2/sub1_2.asp?yflag=2026&search=&page=1&seq=4349
공연-외국탈춤,라트비아,2026.09.25 ~ 10.04 / 하단 상세 일정 참고,탈춤공연장 / 메인무대 / 왔니껴무대,4345,/2024/sub2/sub1_2.asp?yflag=2026&search=&page=1&seq=4345
공연-외국탈춤,러시아,2026.09.25 ~ 10.04 / 하단 상세 일정 참고,탈춤공연장 / 메인무대 / 왔니껴무대,4344,/2024/sub2/sub1_2.asp?yflag=2026&search=&page=1&seq=4344
공연-외국탈춤,리투아니아,2026.09.25 ~ 10.04 / 하단 상세 일정 참고,탈춤공연장 / 메인무대 / 왔니껴무대,4512,/2024/sub2/sub1_2.asp?yflag=2026&search=&page=1&seq=4512
공연-외국탈춤,말레이시아1,2026.09.25 ~ 10.04 / 하단 상세 일정 참고,탈춤공연장 / 메인무대 / 왔니껴무대,4353,/2024/sub2/sub1_2.asp?yflag=2026&search=&page=1&seq=4353
공연-외국탈춤,말레이시아2,2026.09.25 ~ 10.04 / 하단 상세 일정 참고,탈춤공연장 / 메인무대 / 왔니껴무대,4354,/2024/sub2/sub1_2.asp?yflag=2026&search=&page=1&seq=4354
공연-외국탈춤,말레이시아3,2026.09.25 ~ 10.04 / 하단 상세 일정 참고,탈춤공연장 / 메인무대 / 왔니껴무대,4355,/2024/sub2/sub1_2.asp?yflag=2026&search=&page=1&seq=4355
공연-외국탈춤,멕시코,2026.09.25 ~ 10.04 / 하단 상세 일정 참고,탈춤공연장 / 메인무대 / 왔니껴무대,4362,/2024/sub2/sub1_2.asp?yflag=2026&search=&page=2&seq=4362
공연-외국탈춤,몽골,2026.09.25 ~ 10.04 / 하단 상세 일정 참고,탈춤공연장 / 메인무대 / 왔니껴무대,4364,/2024/sub2/sub1_2.asp?yflag=2026&search=&page=2&seq=4364
공연-외국탈춤,벨기에,2026.09.25 ~ 10.04 / 하단 상세 일정 참고,탈춤공연장 / 메인무대 / 왔니껴무대,4348,/2024/sub2/sub1_2.asp?yflag=2026&search=&page=2&seq=4348
공연-외국탈춤,불가리아,2026.09.25 ~ 10.04 / 하단 상세 일정 참고,탈춤공연장 / 메인무대 / 왔니껴무대,4342,/2024/sub2/sub1_2.asp?yflag=2026&search=&page=2&seq=4342
공연-외국탈춤,스리랑카,2026.09.25 ~ 10.04 / 하단 상세 일정 참고,탈춤공연장 / 메인무대 / 왔니껴무대,4351,/2024/sub2/sub1_2.asp?yflag=2026&search=&page=2&seq=4351
공연-외국탈춤,이스라엘,2026.09.25 ~ 10.04 / 하단 상세 일정 참고,탈춤공연장 / 메인무대 / 왔니껴무대,4369,/2024/sub2/sub1_2.asp?yflag=2026&search=&page=2&seq=4369
공연-외국탈춤,이탈리아,2026.09.25 ~ 10.04 / 하단 상세 일정 참고,탈춤공연장 / 메인무대 / 왔니껴무대,4363,/2024/sub2/sub1_2.asp?yflag=2026&search=&page=2&seq=4363
공연-외국탈춤,인도,2026.09.25 ~ 10.04 / 하단 상세 일정 참고,탈춤공연장 / 메인무대 / 왔니껴무대,4350,/2024/sub2/sub1_2.asp?yflag=2026&search=&page=2&seq=4350
공연-외국탈춤,일본1,2026.09.25 ~ 10.04 / 하단 상세 일정 참고,탈춤공연장,4366,/2024/sub2/sub1_2.asp?yflag=2026&search=&page=3&seq=4366
공연-외국탈춤,일본2,2026.09.25 ~ 10.04 / 하단 상세 일정 참고,탈춤공연장,4367,/2024/sub2/sub1_2.asp?yflag=2026&search=&page=3&seq=4367
공연-외국탈춤,중국,2026.09.25 ~ 10.04 / 하단 상세 일정 참고,탈춤공연장 / 메인무대,4365,/2024/sub2/sub1_2.asp?yflag=2026&search=&page=3&seq=4365
공연-외국탈춤,콜롬비아,2026.09.25 ~ 10.04 / 하단 상세 일정 참고,탈춤공연장 / 메인무대 / 왔니껴무대,4360,/2024/sub2/sub1_2.asp?yflag=2026&search=&page=3&seq=4360
공연-외국탈춤,타타르스탄(러시아),2026.09.25 ~ 10.04 / 하단 상세 일정 참고,탈춤공연장 / 메인무대 / 왔니껴무대,4341,/2024/sub2/sub1_2.asp?yflag=2026&search=&page=3&seq=4341
공연-외국탈춤,태국1,2026.09.25 ~ 10.04 / 하단 상세 일정 참고,탈춤공연장 / 메인무대 / 왔니껴무대,4358,/2024/sub2/sub1_2.asp?yflag=2026&search=&page=3&seq=4358
공연-외국탈춤,태국2 (ODA),2026.09.25 ~ 10.04 / 하단 상세 일정 참고,탈춤공연장 / 메인무대 / 왔니껴무대,4514,/2024/sub2/sub1_2.asp?yflag=2026&search=&page=3&seq=4514
공연-외국탈춤,튀르키예,2026.09.25 ~ 10.04 / 하단 상세 일정 참고,탈춤공연장 / 메인무대 / 왔니껴무대,4368,/2024/sub2/sub1_2.asp?yflag=2026&search=&page=3&seq=4368
공연-외국탈춤,폴란드,2026.09.25 ~ 10.04 / 하단 상세 일정 참고,탈춤공연장 / 메인무대,4347,/2024/sub2/sub1_2.asp?yflag=2026&search=&page=4&seq=4347
공연-외국탈춤,필리핀,2026.09.25 ~ 10.04 / 하단 상세 일정 참고,탈춤공연장 / 메인무대 / 왔니껴무대,4513,/2024/sub2/sub1_2.asp?yflag=2026&search=&page=4&seq=4513
공연-마당극&창작극,다 그렇지는 않았다,2026.09.26 (19:00),탈춤공연장,4494,/2024/sub2/sub1_8.asp?yflag=2026&search=&page=1&seq=4494
공연-마당극&창작극,대학생 탈춤,"2026.09.27, 10.03, 10.04 (14:00)",탈춤공원 / 버스킹무대,4507,/2024/sub2/sub1_8.asp?yflag=2026&search=&page=1&seq=4507
공연-마당극&창작극,"삼양동화 어린이 인형극 (빨간모자야, 네 잘못이 아니야)","2026.09.30.(11:00~11:30), 10.01.(11:00~11:30)",탈춤공연장,4392,/2024/sub2/sub1_8.asp?yflag=2026&search=&page=1&seq=4392
공연-마당극&창작극,시장놀이패 '시장가면',2026.09.25 ~ 10.04,"구시장, 신시장, 용상시장",4509,/2024/sub2/sub1_8.asp?yflag=2026&search=&page=1&seq=4509
공연-마당극&창작극,오작교아리랑,2026.09.27 (16:00),탈춤공연장,4495,/2024/sub2/sub1_8.asp?yflag=2026&search=&page=1&seq=4495
공연-마당극&창작극,이매 장가 가는 날,2026.09.25 ~ 10.04,탈춤공원 내,4508,/2024/sub2/sub1_8.asp?yflag=2026&search=&page=1&seq=4508
공연-마당극&창작극,탈놀이단 ‘리멤버’,2026.09.27 / 09.28 / 09.29 / 10.02,중앙선1942 / 메인무대,4498,/2024/sub2/sub1_8.asp?yflag=2026&search=&page=1&seq=4498
공연-마당극&창작극,"탈춤, 흥부놀부",2026.10.04. (17:00),탈춤공연장,4497,/2024/sub2/sub1_8.asp?yflag=2026&search=&page=1&seq=4497
공연-마당극&창작극,탈춤외전,2026.09.25 ~ 10.04,안동시전역,4500,/2024/sub2/sub1_8.asp?yflag=2026&search=&page=2&seq=4500
공연-자유참가작,(사)대한시조협회 안동시지회,2026.09.29 (화) 12:00,중앙선1942 / 메인무대,4432,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=1&seq=4432
공연-자유참가작,가람하모니,2026.09.26 (토) 19:30,중앙선1942 / 메인무대,4483,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=1&seq=4483
공연-자유참가작,가온누리&점프윙스줄넘기,2026.09.27 (일) 12:00 / 10.04 (일) 17:30,중앙선1942 메인무대 / 탈춤공원 버스킹무대,4451,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=1&seq=4451
공연-자유참가작,감사랑파워점핑 줄넘기,2026.09.24 (목) 13:30,탈춤공원 / 탈춤공원무대,4408,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=1&seq=4408
공연-자유참가작,경북 (안동) 포크연합회,2026.09.26 (토) 18:00,탈춤공원 / 탈춤공원무대,4429,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=1&seq=4429
공연-자유참가작,경북북부색소폰앙상블,2026.09.27 (일) 20:00,탈춤공원 / 탈춤공원무대,4475,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=1&seq=4475
공연-자유참가작,경북소리연구협회,2026.09.26 (토) 17:30,중앙선1942 / 메인무대,4456,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=1&seq=4456
공연-자유참가작,고타야밴드,2026.09.27 (일) 14:00,탈춤공원 / 탈춤공원무대,4404,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=1&seq=4404
공연-자유참가작,권누리,2026.09.25 (금) 19:00,탈춤공원 / 탈춤공원무대,4423,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=2&seq=4423
공연-자유참가작,그레이스 오카리나 앙상블,2026.09.28 (월) 20:00,중앙선1942 / 메인무대,4461,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=2&seq=4461
공연-자유참가작,그레이파크,2026.09.26 (토) 21:50,중앙선1942 / 메인무대,4416,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=2&seq=4416
공연-자유참가작,김윤옥과 함께하는 7080 이야기,2026.09.26 (토) 17:30,탈춤공원무대,4448,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=2&seq=4448
공연-자유참가작,남선면 문필봉 소리난타,2026.10.02 (금) 18:00,중앙선1942 / 메인무대,4467,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=2&seq=4467
공연-자유참가작,단사물놀이패,2026.09.26 (토) 13:00,탈춤공원 / 탈춤공원무대,4466,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=2&seq=4466
공연-자유참가작,대구셔플고고,2026.10.03 (토) 18:40,탈춤공원 / 탈춤공원무대,4454,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=2&seq=4454
공연-자유참가작,댄스팀 탄하,2026.10.03 (토) 18:00,중앙선1942 / 메인무대,4460,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=2&seq=4460
공연-자유참가작,데이오프(Dayoff),2026.10.01 (목) 12:00,중앙선1942 / 메인무대,4434,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=3&seq=4434
공연-자유참가작,듀엣반딧불,2026.09.30 (수) 15:30,탈춤공원 / 탈춤공원무대,4484,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=3&seq=4484
공연-자유참가작,디스코장구,2026.09.27 (일) 17:30,중앙선1942 / 메인무대,4431,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=3&seq=4431
공연-자유참가작,레인보우와 구천에어로폰(2팀),2026.10.03 (토) 13:00,중앙선1942 / 메인무대,4401,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=3&seq=4401
공연-자유참가작,마음소리,2026.10.01 (목) 17:00,탈춤공원 / 탈춤공원무대,4426,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=3&seq=4426
공연-자유참가작,모어모어 공연기획 예술단,2026.10.04 (일) 11:00,탈춤공원 / 탈춤공원무대,4418,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=3&seq=4418
공연-자유참가작,미라클 주부밴드,2026.09.28 (월) 13:00,중앙선1942 / 메인무대,4437,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=3&seq=4437
공연-자유참가작,밴드 세컨페이스,2026.09.26 (토) 21:00,중앙선1942 / 메인무대,4412,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=3&seq=4412
공연-자유참가작,밴드야놀자,2026.09.27 (일) 20:30,중앙선1942 / 메인무대,4458,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=4&seq=4458
공연-자유참가작,밴드온,2026.09.28 (월) 18:00,탈춤공원 / 탈춤공원무대,4396,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=4&seq=4396
공연-자유참가작,복주공연단,2026.09.28 (월) 18:30,중앙선1942 / 메인무대,4417,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=4&seq=4417
공연-자유참가작,비를긋다,2026.09.26 (토) 19:00,탈춤공원 / 탈춤공원무대,4455,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=4&seq=4455
공연-자유참가작,빛유오카리나앙상블 / 하모니 오카리나,2026.10.03 (토) 11:00,탈춤공원 / 탈춤공원무대,4400,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=4&seq=4400
공연-자유참가작,사단법인대구경북모델협회,2026.09.29 (화) 20:00,중앙선1942 / 메인무대,4399,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=4&seq=4399
공연-자유참가작,서정희,2026.09.26 (토) 17:00,탈춤공원 / 탈춤공원무대,4403,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=4&seq=4403
공연-자유참가작,소리뫼놀이패,2026.09.27 (일) 18:00,탈춤공원 / 탈춤공원무대,4422,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=4&seq=4422
공연-자유참가작,소리샘 통기타,2026.09.29 (화) 14:00,탈춤공원 / 탈춤공원무대,4476,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=5&seq=4476
공연-자유참가작,소리향경기민요예술원,2026.10.01 (목) 14:30,중앙선1942 / 메인무대,4409,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=5&seq=4409
공연-자유참가작,소명예술연구소,2026.09.26 (토) 11:00,중앙선1942 / 메인무대,4449,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=5&seq=4449
