date,time,name,place
20260924,13:00 ~ 14:00,이매 장가가는 날,탈춤공원
20260924,13:00 ~ 15:00,탈춤외전,안동시전역 북문시장
20260924,13:30 ~ 14:00,감사랑 파워점핑 줄넘기,탈춤공원 탈춤공원무대
20260924,14:00 ~ 15:00,어치브,탈춤공원 탈춤공원무대
20260924,14:00 ~ 17:00,일본나라현 문화교류,중앙선1942 메인무대
20260924,15:00 ~ 16:00,이매 장가가는 날,탈춤공원
20260924,15:00 ~ 16:00,하회별신굿탈놀이 청소년 아카데미,탈춤공원 탈춤공원무대
20260924,16:00 ~ 17:00,용인대 힘찬태권도,탈춤공원 탈춤공원무대
20260924,17:00 ~ 18:00,이매 장가가는 날,탈춤공원
20260924,19:00 ~ 20:00,풍물굿패 참넋,중앙선1942 메인무대
20260924,19:00 ~ 21:00,영남가요제,탈춤공원 탈춤공원무대
20260924,20:00 ~ 21:00,갓쓰고 탈쓰고 런웨이,중앙선1942 메인무대
20260925,11:00 ~ 12:00,어린이대상 프로그램,원도심 왔니껴무대
20260925,11:00 ~ 12:00,강신마당,하회마을
20260925,11:30 ~ 12:00,탈랄라댄스배우기,탈춤공원 버스킹무대
20260925,12:00 ~ 13:00,길놀이,하회마을
20260925,13:00 ~ 15:00,탈춤외전,안동시전역 신시장
20260925,14:00 ~ 14:30,탈춤따라배우기,탈춤공원 버스킹무대
20260925,14:00 ~ 15:00,하회별신굿 탈놀이,하회마을 전수회관
20260925,14:00 ~ 17:00,일본나라현 문화교류,탈춤공원 탈춤공원무대
20260925,14:00 ~ 20:00,시민참여프로그램,원도심 왔니껴무대
20260925,14:30 ~ 15:00,탈랄라댄스배우기,탈춤공원 버스킹무대
20260925,16:00 ~ 16:30,탈랄라댄스배우기,탈춤공원 버스킹무대
20260925,16:30 ~ 17:30,하회별신굿 탈놀이,탈춤공연장
20260925,17:00 ~ 18:00,허만성,탈춤공원 탈춤공원무대
20260925,18:00 ~ 19:00,글로벌 마스크 퍼레이드,중앙선1942 메인무대
20260925,18:30 ~ 19:00,안동가야금연주단,탈춤공원 탈춤공원무대
20260925,19:00 ~ 19:30,권누리,탈춤공원 탈춤공원무대
20260925,19:00 ~ 21:00,개막식,중앙선1942 메인무대
20260925,20:00 ~ 21:00,우리동네 친구들,탈춤공원 탈춤공원무대
20260926,10:00 ~ 11:00,하회별신굿 탈놀이,탈춤공연장
20260926,11:00 ~ 11:30,탈춤따라배우기,탈춤공원 버스킹무대
20260926,11:00 ~ 12:00,소명 예술연구소,중앙선1942 메인무대
20260926,11:00 ~ 12:00,어린이대상 프로그램,원도심 왔니껴무대
20260926,11:30 ~ 12:00,탈랄라댄스배우기,탈춤공원 버스킹무대
20260926,11:30 ~ 12:30,뉴질랜드 / 타타르스탄 / 불가리아 / 태국2,탈춤공연장
20260926,12:00 ~ 12:30,대만 / 라트비아 / 태국1 / 폴란드 / 몽골 / 튀르키예,중앙선1942 메인무대
20260926,12:00 ~ 13:00,안동향교 국악반,탈춤공원 탈춤공원무대
20260926,12:30 ~ 13:30,B.O.C,중앙선1942 메인무대
20260926,13:00 ~ 13:30,단 사물놀이패,탈춤공원 탈춤공원무대
20260926,13:00 ~ 14:00,이매 장가가는 날,탈춤공원
20260926,13:00 ~ 14:00,강령탈춤,탈춤공연장
20260926,13:00 ~ 14:00,신시장 퍼레이드,안동시전역 신시장
20260926,13:30 ~ 14:00,탈춤따라배우기,탈춤공원 버스킹무대
20260926,14:00 ~ 14:30,탈랄라댄스배우기,탈춤공원 버스킹무대
20260926,14:00 ~ 14:30,DR CREW,원도심 왔니껴무대
20260926,14:00 ~ 15:00,국악한마당,탈춤공원 탈춤공원무대
20260926,14:00 ~ 15:00,하회별신굿 탈놀이,하회마을 전수회관
20260926,14:00 ~ 16:00,주빈국의 날 기념식,중앙선1942 메인무대
20260926,14:00 ~ 16:00,탈춤외전,안동시전역 구시장
20260926,14:30 ~ 15:30,콜롬비아 / 벨기에 / 폴란드 / 일본1,탈춤공연장
20260926,15:00 ~ 15:30,리투아니아,원도심 왔니껴무대
20260926,15:00 ~ 16:00,이매 장가가는 날,탈춤공원
20260926,15:00 ~ 16:00,박찬일 쉐프,탈춤공원 버스킹무대
20260926,15:00 ~ 16:00,구시장 퍼레이드,안동시전역 구시장
20260926,15:00 ~ 17:00,시화예사,탈춤공원 탈춤공원무대
20260926,16:00 ~ 16:30,탈랄라댄스배우기,탈춤공원 버스킹무대
20260926,16:00 ~ 16:30,"열두장구,북아카데미",중앙선1942 메인무대
20260926,16:00 ~ 16:30,야쿠티아,원도심 왔니껴무대
20260926,16:00 ~ 17:00,송파산대놀이,탈춤공연장
20260926,16:30 ~ 17:00,탈춤따라배우기,탈춤공원 버스킹무대
20260926,16:30 ~ 17:30,안민 예술봉사단,중앙선1942 메인무대
20260926,17:00 ~ 17:30,서정희,탈춤공원 탈춤공원무대
20260926,17:00 ~ 18:00,이매 장가가는 날,탈춤공원
20260926,17:00 ~ 18:00,디스코장구,원도심 왔니껴무대
20260926,17:30 ~ 18:00,김윤옥,탈춤공원 탈춤공원무대
20260926,17:30 ~ 18:00,경북 소리 연구 협회,중앙선1942 메인무대
20260926,17:30 ~ 18:30,러시아 / 중국 / 이탈리아 / 필리핀,탈춤공연장
20260926,18:00 ~ 18:30,조선의 서커스,중앙선1942 메인무대
20260926,18:00 ~ 19:00,경북(안동)포크 연합회,탈춤공원 탈춤공원무대
