관광지명,방문객수_SKT외지인,방문점유율_pct,방문객소비건수점유율_pct,갭_pp,소비방문배율
월영교,35116,15.24,6.05,-9.19,0.40
안동문화관광단지,25394,11.02,2.28,-8.75,0.21
안동하회마을,14499,6.29,0.40,-5.90,0.06
낙강물길공원,5470,2.37,0.00,-2.37,0.00
만휴정,5130,2.23,0.00,-2.23,0.00
봉정사,3931,1.71,0.02,-1.69,0.01
도산서원,5234,2.27,0.65,-1.62,0.29
병산서원,2603,1.13,0.06,-1.07,0.05
권정생동화나라,993,0.43,0.01,-0.42,0.03
안동민속촌,2541,1.10,0.75,-0.36,0.68
유교문화박물관,819,0.36,0.13,-0.22,0.37
안동포마을,160,0.07,0.00,-0.07,0.00
독립운동기념관,624,0.27,0.25,-0.02,0.93
암산유원지,732,0.32,0.37,0.05,1.17
임하호레저타운,172,0.07,0.14,0.06,1.86
안동중앙신시장,27196,11.80,12.92,1.11,1.09
옥동신도시,36590,15.88,24.51,8.63,1.54
경북도청,19775,8.58,18.81,10.23,2.19
안동문화의거리,43443,18.85,32.66,13.81,1.73
