번호,행정동,법정동/리,고택명,소재지,분야,설립년도,창건자,소유자,관리자,구조,문화재 지정,숙박 여부,별칭,중복의심
1,강남동,수상동,영양남씨 주애재사,안동시 수상동 뱃가골길 156,재사,1800년도 추정,미상,,,"강당: 4X2, 팔작기와 관리사: 우진각지붕",비지정,X,,False
2,강남동,수상동,추모당,안동시 수상동 산 91-1,정자,1879년,달성서씨 문중,,,"3X2, 팔작지붕",비지정,X,,False
3,강남동,수하동,낙포정,안동시 수하동 무주무길 57-3,정자,미상,미상,,,,비지정,X,,False
4,강남동,정상동,귀래정,안동시 정상동 옹정골길 19-8,정자,1510년,이굉,고성이씨문중,이만용,"2X2X4, 'T'자형, 팔작지붕",경북 문화재자료,X,,False
5,강남동,정상동,반구정재사,안동시 정상동 옹정골길 81-7,정자,1530년대 초기 추정,이굉,고성이씨 문중,이승민,,경북 문화재자료,X,,False
6,강남동,정상동,안동 수다재,안동시 정상동 옹정골길 81-4,재사,1600년,고성이씨 문중,고성이씨 문중,이종길,"5X6, 'ㅁ'자형, 홑처마, 맞배지붕",경북 문화재자료,X,고성이씨 재사,False
7,강남동,정상동,어은정(명호서원) 및 재사,안동시 정상동 옹정골길 56,재사,1570년,이용,고성이씨 문중,이정희,"어은정: 3X2, 'ㅡ'자형, 홑처마, 팔작지붕 재사: 5X6, ㅁ'자형, 홑처마, 팔작지붕 부속채: 4X1, 'ㅡ'자형, 홑처마, 맞배지붕",경북 문화재자료,X,,False
8,강남동,정하동,영호루,안동시 정하동 강남로 187-5,누각,미상,미상,,,"5X4, 팔작지붕",비지정,X,,False
9,강남동,정하동,망악정,안동시 정하동 강남로 242-4,정자,미상,신경익,영월신씨 중종,신승국,"3X2, 겹처마 팔작지붕",비지정,X,,False
10,명륜동,안막동,안동 치암고택,안동시 안막동 퇴계로 297-10,주거가옥,19세기 후반,이만현,이동수,이동수,"6X5, 'ㅁ'자형 홑처마 팔작지붕+맞배지붕",경북 문화재자료,O,,False
11,명륜동,안막동,안동 향산고택,안동시 안막동 퇴계로 297-6,주거가옥,미상,미상,이동열,류숙자,"안채: 5X3, 'ㄷ'자형, 홑처마, 맞배지붕 사랑채: 5X1, 'ㅡ'자형, 홑처마, 맞배지붕",국가민속문화재,O,향산구려,False
12,명륜동,안막동,안동권씨 호소곡재사,안동시 안막동 범석골길 87,재사,미상 / 1986년(중수),미상,,,"3X2, 'ㅡ'자형 , 홑처마 팔작지붕",비지정,X,범석골재사,False
13,서구동,금곡동,대호정,안동시 금곡동 단원로 165,정자,미상,이운호,,,"3X1.5, 겹처마 팔작지붕",비지정,X,,False
14,송하동,송현동,안동권씨 송현동재사,안동시 송현동 경북대로 572-46,재사,"미상 / 1934년(중수), 1990년(개축)",미상,,,"4X2.5, 'ㄱ'자형",비지정,X,,False
15,송하동,송현동,안동김씨 영모재,안동시 송현동 모래골2길 73,재사,"미상 / 1954년, 1963년, 1990년(중건)",안동김씨 후손,,,"4X2, 겹처마, 팔작지붕",비지정,X,,False
16,송하동,송현동,임천서원,안동시 송현동 호암2길 27,서원,1607년,지역민,의성김씨문중,김철수,"사우(숭정사): 정면 3칸 맞배지붕 건물 강당(홍교당): 15칸 규모 팔작지붕 건물 기슥사(동재, 서재): 3칸 규모 팔작지붕 건물 전사청: 4칸 규모 맞배지붕 건물",경북 기념물,X,,False
17,송하동,송현동,침강정,안동시 송현동 호암2길 20,정자,미상,미상,,,,비지정,X,,False
18,안기동,안기동,석수암,안동시 안기동 제비원로 370-13,사찰,미상 / 1997년(중건),도선국사,,,"대웅전: 5X5, 겹처마, 맞배지붕 무량수전: 3X2, 겹처마, 맞배지붕 산신각: 1X1, 홑처마, 맞배지붕",비지정,X,,False
19,안기동,안기동,일우정사,안동시 안기동 석수길 41,사찰,미상,미상,,,,비지정,X,,False
20,안기동,안기동,천휴정,안동시 안기동 석수1길 31,정자,미상,미상,,,,비지정,X,,False
21,안기동,안기동,추원재,안동시 안기동 안기2길 57-4,재사,조선말기,경주김씨 문중,,김정호종회장,"3X3, 'ㅡ'자형, 홑처마, 팔작지붕",경북 유형문화재,X,,False
22,안기동,이천동,연미사,안동시 이천동 제비원로 672,사찰,"634년 / 1934년(복원), 1978년(증축)",명덕,연미사,연미사,"대웅전: 4x2, 홑처마, 팔작지붕 요사채: 4x2",비지정,X,,False
23,안기동,이천동,영양남씨 연원재사,안동시 이천동 연미원길 261-11,재사,1916년,영양남씨 문중,영양남씨문중,남정진,"4X4, 'ㅁ'자형",비지정,X,,False
24,용상동,석동동,영벽헌,안동시 석동동 석동길 1156,정자,미상,미상,,,,안동시 문화유산,X,,False
25,용상동,성곡동,고성이씨 감동재사,안동시 성곡동 민속촌길 190 (전통리조트 구름에),재사,미상,고성이씨 문중,안동시,재단법인 행복전통마을,"재사: 'ㄷ'자형, 맞배지붕 (앞채: 4X1, 'ㅡ'자형, 뒷채: 4X1, 'ㅡ'자형, 좌익사: 2X1) 정자(청옹정): 3X1.5, 'ㅡ'자형, 홑처마, 팔작지붕","안동시 문화유산 2 (청옹정, 재사)",O,청옹재사,False
26,용상동,성곡동,남반고택,안동시 성곡동 민속촌길 13,주거가옥,미상,미상,이필구,안동시립박물관 (오순남 주무관),"5X5, 'ㅁ'자형",안동시 문화유산,X,"남편구거, 남반구거, 교리댁",False
27,용상동,성곡동,박명실 초가집,안동시 성곡동 민속촌길 13,주거가옥,18세기경 추정,미상,안동시,안동시립박물관 (오순남 주무관),ㅡ'자형,안동시 문화유산,X,,False
28,용상동,성곡동,박분섭 까치구멍집,안동시 성곡동 민속촌길 13,주거가옥,미상,미상,안동시,안동시립박물관 (오순남 주무관),"3X3, ㅁ'자형",안동시 문화유산,X,,False
29,용상동,성곡동,박산정,안동시 성곡동 민속촌길 190 (전통리조트 구름에),정자,1600년대 초,이지,안동시,재단법인 행복전통마을,"3X2, 홑처마, 팔작지븡",안동시 문화유산,O,,False
30,용상동,성곡동,박운숙 초가겹방집,안동시 성곡동 민속촌길 13,주거가옥,미상,미상,안동시,안동시립박물관 (오순남 주무관),,안동시 문화유산,X,,False
31,용상동,성곡동,박원숙 초가겹방집,안동시 성곡동 민속촌길 13,주거가옥,미상,미상,안동시,안동시립박물관 (오순남 주무관),,안동시 문화유산,X,,False
32,용상동,성곡동,북강정,안동시 성곡동 민속촌길 190 (동산서원 앞),사당,미상,"김홍락, 김소락, 송기식",안동시,안동시립박물관 (오순남 주무관),,안동시 문화유산,X,,False
