상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,층정보,경도,위도,팀원Sheet2포함
MA0106202201A1333085,에스케이푸드,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,47,경상북도,47170,안동시,47170630,안기동,4717012800,안기동,4717012800102849536,1,대지,285.0,,경상북도 안동시 안기동 285,471703307035,경상북도 안동시 제비원로,373,,4.71701280010285e+24,안기세영,경상북도 안동시 제비원로 373,760260,36626,,128.713959576277,36.5845986929049,True
MA0106202201A0393620,세라젬웰카페안동옥동점,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,47,경상북도,47170,안동시,47170650,옥동,4717013300,옥동,4717013300107920384,1,대지,792.0,25.0,경상북도 안동시 옥동 792-25,471702018002,경상북도 안동시 경북대로,359,,4.71701330010792e+24,,경상북도 안동시 경북대로 359,760310,36664,,128.702918209344,36.5620870554213,True
MA0106202201A1496277,명카페,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,47,경상북도,47170,안동시,47170520,명륜동,4717010400,명륜동,4717010400103440384,1,대지,344.0,,경상북도 안동시 명륜동 344,471703307040,경상북도 안동시 퇴계로,115,,4.71701040010342e+24,,경상북도 안동시 퇴계로 115,760701,36691,,128.730262510427,36.5681806557172,True
MA010120220813834544,만촌참마식당,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,47,경상북도,47170,안동시,47170320,북후면,4717032021,북후면,4717032021105529856,1,대지,553.0,6.0,경상북도 안동시 북후면 옹천리 553-6,471703018016,경상북도 안동시 북후면 북평로,854,,4.71703202110553e+24,,경상북도 안동시 북후면 북평로 854,760894,36614,,128.70156314681,36.6829337435276,True
MA010120220812541011,진성식당,,I2,음식,I204,서양식,I20401,경양식,I56123,서양식 음식점업,47,경상북도,47170,안동시,47170510,중구동,4717010300,북문동,4717010300100190208,1,대지,19.0,17.0,경상북도 안동시 북문동 19-17,471704722134,경상북도 안동시 태사길,25,,4.71701030010019e+24,,경상북도 안동시 태사길 25,760120,36694,,128.732407383142,36.5666898339961,True
MA010120220812781296,유쾌한집,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,47,경상북도,47170,안동시,47170690,강남동,4717014000,정하동,4717014000102880256,1,대지,288.0,3.0,경상북도 안동시 정하동 288-3,471704721052,경상북도 안동시 강남7길,23,11.0,4.71701400010288e+24,,경상북도 안동시 강남7길 23-11,760400,36751,1,128.733774658804,36.5499018110877,True
MA010120220808286382,월하정,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,47,경상북도,47170,안동시,47170600,태화동,4717012200,태화동,4717012200101959680,1,대지,196.0,3.0,경상북도 안동시 태화동 196-3,471703307019,경상북도 안동시 서동문로,8,,4.71701220010196e+24,,경상북도 안동시 서동문로 8,760904,36669,1,128.712612648855,36.5661109196159,True
MA010120220812011332,일포스티노,,I2,음식,I204,서양식,I20401,경양식,I56123,서양식 음식점업,47,경상북도,47170,안동시,47170555,용상동,4717011000,용상동,4717011000114270208,1,대지,1427.0,7.0,경상북도 안동시 용상동 1427-7,471704721891,경상북도 안동시 용상북1길,6,,4.71701100011427e+24,에이스아울렛,경상북도 안동시 용상북1길 6,760902,36711,,128.748641215873,36.5614160334454,True
MA010120220809253248,봉평메밀,,I2,음식,I201,한식,I20105,국수/칼국수,I56112,한식 면 요리 전문점,47,경상북도,47170,안동시,47170510,중구동,4717010900,법흥동,4717010900100519936,1,대지,52.0,8.0,경상북도 안동시 법흥동 52-8,471703307030,경상북도 안동시 육사로,323,,4.71701090010052e+24,,경상북도 안동시 육사로 323,760030,36709,1,128.739042282962,36.5622052086878,False
MA010120220800809056,낭만족,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,47,경상북도,47170,안동시,47170630,안기동,4717012800,안기동,4717012800101730304,1,대지,173.0,6.0,경상북도 안동시 안기동 173-6,471704721761,경상북도 안동시 안기1길,34,,4.71701280010173e+24,,경상북도 안동시 안기1길 34,760260,36629,,128.717489810343,36.5739968283831,True
