관리번호,사업장명,업태구분명,인허가일자,소재지면적,시설총규모,남성종사자수,여성종사자수,전통업소주된음식,도로명주소,지번주소,전화번호,경도,위도,데이터갱신시점
5070000-101-2000-00002,옛고향식당,한식,2000-01-08,91.0,91.0,0.0,0.0,,경상북도 안동시 전거리4길 37-11 (용상동),경상북도 안동시 용상동 1586-9 ,548413225.0,128.74404020609248,36.55869557558406,2026-05-07 22:01:48
5070000-101-2000-00026,용마가든,한식,2000-01-14,127.08,127.08,0.0,0.0,,"경상북도 안동시 남선면 샘들윗길 56, 1층",경상북도 안동시 남선면 이천리 740 ,548225590.0,128.79599495249545,36.53264933097441,2026-05-07 22:01:51
5070000-101-2000-00027,고향가든식당,한식,2000-01-14,120.96,120.96,0.0,0.0,,경상북도 안동시 남선면 충효로 3749,경상북도 안동시 남선면 456-1 ,548225454.0,,,2026-05-07 22:01:51
5070000-101-2000-00593,옛날돼지국밥,한식,2000-01-14,123.82,123.82,,,,경상북도 안동시 경동로 1010-2 (용상동),경상북도 안동시 용상동 535-93 ,548213700.0,128.76319744321353,36.55124763085443,2026-05-07 22:02:57
5070000-101-2000-00025,신왕비성,중국식,2000-01-14,198.0,198.0,0.0,0.0,,경상북도 안동시 남선면 새절길 21,경상북도 안동시 남선면 505 ,548230180.0,128.75686943338826,36.52735720615893,2026-05-07 22:01:51
5070000-101-2000-00031,남선식당,한식,2000-01-14,28.41,28.41,0.0,0.0,,경상북도 안동시 남선면 구미양지마길 52,경상북도 안동시 남선면 구미리 517 ,,128.76610844983895,36.5231197307246,2026-05-07 22:01:51
5070000-101-2000-00036,서원,한식,2000-01-17,40.56,40.56,0.0,0.0,,"경상북도 안동시 도산면 퇴계로 2300, 1층",경상북도 안동시 도산면 분천리 258-1 ,548415663.0,128.83015436103744,36.72015660362029,2026-05-07 22:01:52
5070000-101-2000-00043,맥시칸치킨 안기점,통닭(치킨),2000-01-19,37.1,37.1,0.0,0.0,,경상북도 안동시 안기1길 14 (안기동),경상북도 안동시 안기동 179-2 ,548523345.0,128.71850400603793,36.57393773415814,2026-05-07 22:01:53
5070000-101-2000-00046,참맛돼지고기구이,식육(숯불구이),2000-01-20,43.0,43.0,0.0,0.0,,경상북도 안동시 성곡1길 9 (용상동),경상북도 안동시 용상동 1543-27 ,548219840.0,128.75248048433227,36.559271326887995,2026-05-07 22:01:53
5070000-101-2000-00057,암산 안전체험 유원지(bhc남후점),한식,2000-01-25,45.82,45.82,0.0,0.0,,경상북도 안동시 남후면 암산1길 59,경상북도 안동시 남후면 광음리 38-4 ,548592553.0,128.67853711305202,36.50622737399516,2026-05-07 22:01:54
