승하차,구분,요일,시간대,기간누적,해당일수,일평균
승차,평일,월,00-01,0,128.0,0.0
승차,평일,화,00-01,0,131.0,0.0
승차,평일,수,00-01,0,129.0,0.0
승차,평일,목,00-01,0,132.0,0.0
승차,평일,금,00-01,0,132.0,0.0
승차,주말,토,00-01,0,135.0,0.0
승차,주말,일,00-01,0,134.0,0.0
승차,공휴일,월,00-01,0,8.0,0.0
승차,공휴일,화,00-01,0,4.0,0.0
승차,공휴일,수,00-01,0,6.0,0.0
승차,공휴일,목,00-01,0,6.0,0.0
승차,공휴일,금,00-01,0,6.0,0.0
승차,공휴일,토,00-01,0,3.0,0.0
승차,공휴일,일,00-01,0,3.0,0.0
승차,명절대수송,월,00-01,0,,
승차,명절대수송,화,00-01,0,,
승차,명절대수송,수,00-01,0,,
승차,명절대수송,목,00-01,0,,
승차,명절대수송,금,00-01,0,,
승차,명절대수송,토,00-01,0,,
승차,명절대수송,일,00-01,0,,
승차,평일,월,01-02,0,128.0,0.0
승차,평일,화,01-02,0,131.0,0.0
승차,평일,수,01-02,0,129.0,0.0
승차,평일,목,01-02,0,132.0,0.0
승차,평일,금,01-02,0,132.0,0.0
승차,주말,토,01-02,0,135.0,0.0
승차,주말,일,01-02,0,134.0,0.0
승차,공휴일,월,01-02,0,8.0,0.0
승차,공휴일,화,01-02,0,4.0,0.0
승차,공휴일,수,01-02,0,6.0,0.0
승차,공휴일,목,01-02,0,6.0,0.0
승차,공휴일,금,01-02,0,6.0,0.0
승차,공휴일,토,01-02,0,3.0,0.0
승차,공휴일,일,01-02,0,3.0,0.0
승차,명절대수송,월,01-02,0,,
승차,명절대수송,화,01-02,0,,
승차,명절대수송,수,01-02,0,,
승차,명절대수송,목,01-02,0,,
승차,명절대수송,금,01-02,0,,
승차,명절대수송,토,01-02,0,,
승차,명절대수송,일,01-02,0,,
승차,평일,월,02-03,0,128.0,0.0
승차,평일,화,02-03,0,131.0,0.0
승차,평일,수,02-03,0,129.0,0.0
승차,평일,목,02-03,0,132.0,0.0
승차,평일,금,02-03,0,132.0,0.0
승차,주말,토,02-03,0,135.0,0.0
승차,주말,일,02-03,0,134.0,0.0
승차,공휴일,월,02-03,0,8.0,0.0
승차,공휴일,화,02-03,0,4.0,0.0
승차,공휴일,수,02-03,0,6.0,0.0
승차,공휴일,목,02-03,0,6.0,0.0
승차,공휴일,금,02-03,0,6.0,0.0
승차,공휴일,토,02-03,0,3.0,0.0
승차,공휴일,일,02-03,0,3.0,0.0
승차,명절대수송,월,02-03,0,,
승차,명절대수송,화,02-03,0,,
승차,명절대수송,수,02-03,0,,
승차,명절대수송,목,02-03,0,,
승차,명절대수송,금,02-03,0,,
승차,명절대수송,토,02-03,0,,
승차,명절대수송,일,02-03,0,,
승차,평일,월,03-04,0,128.0,0.0
승차,평일,화,03-04,0,131.0,0.0
승차,평일,수,03-04,0,129.0,0.0
승차,평일,목,03-04,0,132.0,0.0
승차,평일,금,03-04,0,132.0,0.0
승차,주말,토,03-04,0,135.0,0.0
승차,주말,일,03-04,0,134.0,0.0
승차,공휴일,월,03-04,0,8.0,0.0
승차,공휴일,화,03-04,0,4.0,0.0
승차,공휴일,수,03-04,0,6.0,0.0
승차,공휴일,목,03-04,0,6.0,0.0
승차,공휴일,금,03-04,0,6.0,0.0
승차,공휴일,토,03-04,0,3.0,0.0
승차,공휴일,일,03-04,0,3.0,0.0
승차,명절대수송,월,03-04,0,,
승차,명절대수송,화,03-04,0,,
승차,명절대수송,수,03-04,0,,
승차,명절대수송,목,03-04,0,,
승차,명절대수송,금,03-04,0,,
승차,명절대수송,토,03-04,0,,
승차,명절대수송,일,03-04,0,,
승차,평일,월,04-05,0,128.0,0.0
승차,평일,화,04-05,0,131.0,0.0
승차,평일,수,04-05,0,129.0,0.0
승차,평일,목,04-05,0,132.0,0.0
승차,평일,금,04-05,0,132.0,0.0
승차,주말,토,04-05,0,135.0,0.0
승차,주말,일,04-05,0,134.0,0.0
승차,공휴일,월,04-05,0,8.0,0.0
승차,공휴일,화,04-05,0,4.0,0.0
승차,공휴일,수,04-05,0,6.0,0.0
승차,공휴일,목,04-05,0,6.0,0.0
승차,공휴일,금,04-05,0,6.0,0.0
승차,공휴일,토,04-05,0,3.0,0.0
승차,공휴일,일,04-05,0,3.0,0.0
승차,명절대수송,월,04-05,0,,
승차,명절대수송,화,04-05,0,,
승차,명절대수송,수,04-05,0,,
승차,명절대수송,목,04-05,0,,
승차,명절대수송,금,04-05,0,,
승차,명절대수송,토,04-05,0,,
승차,명절대수송,일,04-05,0,,
승차,평일,월,05-06,3637,128.0,28.4
승차,평일,화,05-06,3579,131.0,27.3
승차,평일,수,05-06,3493,129.0,27.1
승차,평일,목,05-06,3473,132.0,26.3
승차,평일,금,05-06,3191,132.0,24.2
승차,주말,토,05-06,4525,135.0,33.5
승차,주말,일,05-06,2059,134.0,15.4
승차,공휴일,월,05-06,132,8.0,16.5
승차,공휴일,화,05-06,80,4.0,20.0
승차,공휴일,수,05-06,127,6.0,21.2
승차,공휴일,목,05-06,214,6.0,35.7
승차,공휴일,금,05-06,100,6.0,16.7
승차,공휴일,토,05-06,0,3.0,0.0
승차,공휴일,일,05-06,69,3.0,23.0
승차,명절대수송,월,05-06,135,,
승차,명절대수송,화,05-06,82,,
승차,명절대수송,수,05-06,174,,
승차,명절대수송,목,05-06,27,,
승차,명절대수송,금,05-06,60,,
승차,명절대수송,토,05-06,86,,
승차,명절대수송,일,05-06,131,,
승차,평일,월,06-07,7032,128.0,54.9
승차,평일,화,06-07,6915,131.0,52.8
승차,평일,수,06-07,6609,129.0,51.2
승차,평일,목,06-07,6687,132.0,50.7
승차,평일,금,06-07,5836,132.0,44.2
승차,주말,토,06-07,8592,135.0,63.6
승차,주말,일,06-07,4077,134.0,30.4
승차,공휴일,월,06-07,351,8.0,43.9
승차,공휴일,화,06-07,232,4.0,58.0
승차,공휴일,수,06-07,97,6.0,16.2
승차,공휴일,목,06-07,115,6.0,19.2
승차,공휴일,금,06-07,461,6.0,76.8
승차,공휴일,토,06-07,372,3.0,124.0
승차,공휴일,일,06-07,76,3.0,25.3
승차,명절대수송,월,06-07,129,,
승차,명절대수송,화,06-07,309,,
승차,명절대수송,수,06-07,434,,
승차,명절대수송,목,06-07,403,,
승차,명절대수송,금,06-07,406,,
승차,명절대수송,토,06-07,295,,
승차,명절대수송,일,06-07,155,,
승차,평일,월,07-08,3733,128.0,29.2
승차,평일,화,07-08,3939,131.0,30.1
승차,평일,수,07-08,3911,129.0,30.3
승차,평일,목,07-08,4062,132.0,30.8
승차,평일,금,07-08,3726,132.0,28.2
승차,주말,토,07-08,5110,135.0,37.9
승차,주말,일,07-08,3879,134.0,28.9
승차,공휴일,월,07-08,359,8.0,44.9
승차,공휴일,화,07-08,105,4.0,26.2
승차,공휴일,수,07-08,108,6.0,18.0
승차,공휴일,목,07-08,79,6.0,13.2
승차,공휴일,금,07-08,288,6.0,48.0
승차,공휴일,토,07-08,338,3.0,112.7
승차,공휴일,일,07-08,142,3.0,47.3
승차,명절대수송,월,07-08,91,,
승차,명절대수송,화,07-08,122,,
승차,명절대수송,수,07-08,150,,
승차,명절대수송,목,07-08,0,,
승차,명절대수송,금,07-08,75,,
승차,명절대수송,토,07-08,96,,
승차,명절대수송,일,07-08,87,,
승차,평일,월,08-09,13633,128.0,106.5
승차,평일,화,08-09,12442,131.0,95.0
승차,평일,수,08-09,11963,129.0,92.7
승차,평일,목,08-09,12941,132.0,98.0
승차,평일,금,08-09,13261,132.0,100.5
승차,주말,토,08-09,19920,135.0,147.6
승차,주말,일,08-09,13875,134.0,103.5
승차,공휴일,월,08-09,698,8.0,87.2
승차,공휴일,화,08-09,531,4.0,132.8
승차,공휴일,수,08-09,605,6.0,100.8
승차,공휴일,목,08-09,636,6.0,106.0
승차,공휴일,금,08-09,751,6.0,125.2
승차,공휴일,토,08-09,353,3.0,117.7
승차,공휴일,일,08-09,177,3.0,59.0
승차,명절대수송,월,08-09,617,,
승차,명절대수송,화,08-09,610,,
승차,명절대수송,수,08-09,651,,
승차,명절대수송,목,08-09,646,,
승차,명절대수송,금,08-09,982,,
승차,명절대수송,토,08-09,1034,,
승차,명절대수송,일,08-09,864,,
승차,평일,월,09-10,4711,128.0,36.8
승차,평일,화,09-10,4061,131.0,31.0
승차,평일,수,09-10,4048,129.0,31.4
승차,평일,목,09-10,4164,132.0,31.5
승차,평일,금,09-10,4541,132.0,34.4
승차,주말,토,09-10,5612,135.0,41.6
승차,주말,일,09-10,4825,134.0,36.0
승차,공휴일,월,09-10,198,8.0,24.8
승차,공휴일,화,09-10,184,4.0,46.0
