열차종류,승하차,연월,구분,요일,시간대,인원
KTX-이음,승차,2024-01,평일,월,00-01,0
KTX-이음,승차,2024-01,평일,화,00-01,0
KTX-이음,승차,2024-01,평일,수,00-01,0
KTX-이음,승차,2024-01,평일,목,00-01,0
KTX-이음,승차,2024-01,평일,금,00-01,0
KTX-이음,승차,2024-01,주말,토,00-01,0
KTX-이음,승차,2024-01,주말,일,00-01,0
KTX-이음,승차,2024-01,공휴일,월,00-01,0
KTX-이음,승차,2024-02,평일,월,00-01,0
KTX-이음,승차,2024-02,평일,화,00-01,0
KTX-이음,승차,2024-02,평일,수,00-01,0
KTX-이음,승차,2024-02,평일,목,00-01,0
KTX-이음,승차,2024-02,평일,금,00-01,0
KTX-이음,승차,2024-02,주말,토,00-01,0
KTX-이음,승차,2024-02,주말,일,00-01,0
KTX-이음,승차,2024-02,명절대수송,월,00-01,0
KTX-이음,승차,2024-02,명절대수송,목,00-01,0
KTX-이음,승차,2024-02,명절대수송,금,00-01,0
KTX-이음,승차,2024-02,명절대수송,토,00-01,0
KTX-이음,승차,2024-02,명절대수송,일,00-01,0
KTX-이음,승차,2024-03,평일,월,00-01,0
KTX-이음,승차,2024-03,평일,화,00-01,0
KTX-이음,승차,2024-03,평일,수,00-01,0
KTX-이음,승차,2024-03,평일,목,00-01,0
KTX-이음,승차,2024-03,평일,금,00-01,0
KTX-이음,승차,2024-03,주말,토,00-01,0
KTX-이음,승차,2024-03,주말,일,00-01,0
KTX-이음,승차,2024-03,공휴일,금,00-01,0
KTX-이음,승차,2024-04,평일,월,00-01,0
KTX-이음,승차,2024-04,평일,화,00-01,0
KTX-이음,승차,2024-04,평일,수,00-01,0
KTX-이음,승차,2024-04,평일,목,00-01,0
KTX-이음,승차,2024-04,평일,금,00-01,0
KTX-이음,승차,2024-04,주말,토,00-01,0
KTX-이음,승차,2024-04,주말,일,00-01,0
KTX-이음,승차,2024-04,공휴일,수,00-01,0
KTX-이음,승차,2024-05,평일,월,00-01,0
KTX-이음,승차,2024-05,평일,화,00-01,0
KTX-이음,승차,2024-05,평일,수,00-01,0
KTX-이음,승차,2024-05,평일,목,00-01,0
KTX-이음,승차,2024-05,평일,금,00-01,0
KTX-이음,승차,2024-05,주말,토,00-01,0
KTX-이음,승차,2024-05,주말,일,00-01,0
KTX-이음,승차,2024-05,공휴일,월,00-01,0
KTX-이음,승차,2024-05,공휴일,수,00-01,0
KTX-이음,승차,2024-05,공휴일,일,00-01,0
KTX-이음,승차,2024-06,평일,월,00-01,0
KTX-이음,승차,2024-06,평일,화,00-01,0
KTX-이음,승차,2024-06,평일,수,00-01,0
KTX-이음,승차,2024-06,평일,목,00-01,0
KTX-이음,승차,2024-06,평일,금,00-01,0
