문항,기준,응답,명,기준_n
Q1_3년내_방문,전체,예,72,103
Q1_3년내_방문,전체,아니오,31,103
Q1_3년내_방문,방문자,예,72,72
Q2_주_이동수단,전체,자가용 / 렌터카,51,103
Q2_주_이동수단,전체,대중교통 (시내버스 등),39,103
Q2_주_이동수단,전체,(빈칸),8,103
Q2_주_이동수단,전체,기타 (택시 및 안동관광택시 등),3,103
Q2_주_이동수단,전체,도보,2,103
Q2_주_이동수단,방문자,자가용 / 렌터카,39,72
Q2_주_이동수단,방문자,대중교통 (시내버스 등),30,72
Q2_주_이동수단,방문자,도보,2,72
Q2_주_이동수단,방문자,기타 (택시 및 안동관광택시 등),1,72
Q3_대중교통_불편,전체,이용하지 않았다 / 잘 모르겠다,48,103
Q3_대중교통_불편,전체,불편했다,37,103
Q3_대중교통_불편,전체,불편하지 않았다,11,103
Q3_대중교통_불편,전체,(빈칸),7,103
Q3_대중교통_불편,방문자,불편했다,33,72
Q3_대중교통_불편,방문자,이용하지 않았다 / 잘 모르겠다,33,72
Q3_대중교통_불편,방문자,불편하지 않았다,6,72
Q4_이동불편_포기한곳,전체,월영교 같은 밤에 가기 좋은 야간 명소,24,103
Q4_이동불편_포기한곳,전체,없음 (가고 싶던 곳 모두 방문함),19,103
Q4_이동불편_포기한곳,전체,"하회마을, 도산서원 같은 외곽 관광지",14,103
Q4_이동불편_포기한곳,전체,(빈칸),10,103
Q4_이동불편_포기한곳,전체,"하회마을, 도산서원 같은 외곽 관광지, 월영교 같은 밤에 가기 좋은 야간 명소",9,103
Q4_이동불편_포기한곳,전체,"찜닭골목, 중앙시장 같은 원도심의 밤 가게/식당",8,103
Q4_이동불편_포기한곳,전체,"하회마을, 도산서원 같은 외곽 관광지, 월영교 같은 밤에 가기 좋은 야간 명소, 찜닭골목, 중앙시장 같은 원도심의 밤 가게/식당",6,103
Q4_이동불편_포기한곳,전체,"월영교 같은 밤에 가기 좋은 야간 명소, 찜닭골목, 중앙시장 같은 원도심의 밤 가게/식당",4,103
Q4_이동불편_포기한곳,전체,"하회마을, 도산서원 같은 외곽 관광지, 찜닭골목, 중앙시장 같은 원도심의 밤 가게/식당",2,103
Q4_이동불편_포기한곳,전체,자차,1,103
