응답번호,응답시각,Q1_3년내_방문,Q2_주_이동수단,Q3_대중교통_불편,Q4_이동불편_포기한곳,Q5_원도심_식사후_이동,Q6_영수증_체험쿠폰_의향,Q7_가장좋은_혜택,Q8_야간택시셔틀_의향,Q9_월영교_밤_식당편의,Q10_야간팝업포차_의향,Q11_유료체험_망설임,Q12_영수증_축제혜택_의향,Q13_귀가_교통_시간대
1,2026. 9. 23 오전 2:00:43,예,대중교통 (시내버스 등),불편했다,"하회마을, 도산서원 같은 외곽 관광지, 월영교 같은 밤에 가기 좋은 야간 명소, 찜닭골목, 중앙시장 같은 원도심의 밤 가게/식당",월영교 등 밤 야경 보러 이동,매우있다,30% 넘는 큰 가격 할인,매우있다,충분하다,매우 있다,줄을 오래 서거나 예약하기 불편해서,,18시 이전
2,2026. 9. 23 오전 8:35:27,예,자가용 / 렌터카,이용하지 않았다 / 잘 모르겠다,"찜닭골목, 중앙시장 같은 원도심의 밤 가게/식당","하회마을, 도산서원 등 관광지 구경",매우있다,20% ~ 30% 가격 할인,매우있다,보통이다,있다,가격이 부담스러워서,있다,당일 귀가 안 함 (안동에서 숙박)
3,2026. 9. 23 오전 8:39:01,예,자가용 / 렌터카,이용하지 않았다 / 잘 모르겠다,없음 (가고 싶던 곳 모두 방문함),월영교 등 밤 야경 보러 이동,매우있다,30% 넘는 큰 가격 할인,매우있다,보통이다,매우 있다,줄을 오래 서거나 예약하기 불편해서,매우있다,당일 귀가 안 함 (안동에서 숙박)
4,2026. 9. 23 오전 8:42:11,예,자가용 / 렌터카,이용하지 않았다 / 잘 모르겠다,"찜닭골목, 중앙시장 같은 원도심의 밤 가게/식당","하회마을, 도산서원 등 관광지 구경",매우있다,10% ~ 20% 가격 할인,매우있다,보통이다,매우 있다,체험 정보가 부족해서,매우있다,20시 ~ 22시 (막차 시간대)
5,2026. 9. 23 오전 8:42:21,예,자가용 / 렌터카,이용하지 않았다 / 잘 모르겠다,"찜닭골목, 중앙시장 같은 원도심의 밤 가게/식당",월영교 등 밤 야경 보러 이동,있다,20% ~ 30% 가격 할인,별로없다(자차/렌터카 이용 등),보통이다,별로 없다,체험 정보가 부족해서,있다,당일 귀가 안 함 (안동에서 숙박)
6,2026. 9. 23 오전 8:42:51,예,자가용 / 렌터카,이용하지 않았다 / 잘 모르겠다,없음 (가고 싶던 곳 모두 방문함),"하회마을, 도산서원 등 관광지 구경",매우있다,20% ~ 30% 가격 할인,있다,보통이다,있다,체험 정보가 부족해서,매우있다,18시 ~ 20시
7,2026. 9. 23 오전 8:43:12,아니오,기타 (택시 및 안동관광택시 등),이용하지 않았다 / 잘 모르겠다,없음 (가고 싶던 곳 모두 방문함),숙소로 이동해서 휴식,보통이다,10% ~ 20% 가격 할인,있다,충분하다,보통이다,체험 정보가 부족해서,보통이다,18시 ~ 20시
8,2026. 9. 23 오전 9:25:23,아니오,자가용 / 렌터카,이용하지 않았다 / 잘 모르겠다,"하회마을, 도산서원 같은 외곽 관광지",월영교 등 밤 야경 보러 이동,있다,30% 넘는 큰 가격 할인,별로없다(자차/렌터카 이용 등),보통이다,보통이다,가격이 부담스러워서,있다,당일 귀가 안 함 (안동에서 숙박)
9,2026. 9. 23 오전 9:52:43,예,자가용 / 렌터카,이용하지 않았다 / 잘 모르겠다,없음 (가고 싶던 곳 모두 방문함),월영교 등 밤 야경 보러 이동,있다,30% 넘는 큰 가격 할인,별로없다(자차/렌터카 이용 등),부족했다,매우 있다,체험 정보가 부족해서,매우있다,당일 귀가 안 함 (안동에서 숙박)
10,2026. 9. 23 오전 9:53:49,예,대중교통 (시내버스 등),불편했다,월영교 같은 밤에 가기 좋은 야간 명소,카페에 갔다가 집/역으로 이동,보통이다,30% 넘는 큰 가격 할인,매우있다,매우부족했다,매우 있다,줄을 오래 서거나 예약하기 불편해서,매우있다,18시 ~ 20시
11,2026. 9. 23 오전 9:54:37,예,대중교통 (시내버스 등),불편했다,"하회마을, 도산서원 같은 외곽 관광지",월영교 등 밤 야경 보러 이동,별로없다,가격 할인 대신 줄 안 서는 '우선 입장권'이나 '기념품' 제공,매우있다,부족했다,매우 있다,가격이 부담스러워서,있다,20시 ~ 22시 (막차 시간대)
12,2026. 9. 23 오전 9:57:38,예,대중교통 (시내버스 등),불편했다,"하회마을, 도산서원 같은 외곽 관광지, 월영교 같은 밤에 가기 좋은 야간 명소",월영교 등 밤 야경 보러 이동,매우있다,20% ~ 30% 가격 할인,매우있다,보통이다,매우 있다,체험 정보가 부족해서,있다,18시 이전
13,2026. 9. 23 오전 9:57:53,예,대중교통 (시내버스 등),불편했다,"찜닭골목, 중앙시장 같은 원도심의 밤 가게/식당",월영교 등 밤 야경 보러 이동,보통이다,20% ~ 30% 가격 할인,있다,부족했다,있다,줄을 오래 서거나 예약하기 불편해서,있다,18시 이전
14,2026. 9. 23 오전 10:12:17,예,자가용 / 렌터카,불편했다,자차,월영교 등 밤 야경 보러 이동,매우있다,20% ~ 30% 가격 할인,있다,부족했다,있다,다음 장소로 이동할 시간이 부족해서,매우있다,18시 ~ 20시
15,2026. 9. 23 오전 10:15:16,아니오,자가용 / 렌터카,불편했다,"없음 (가고 싶던 곳 모두 방문함), 배차,이동불편 등의 이유로 렌트를 함","하회마을, 도산서원 등 관광지 구경",있다,20% ~ 30% 가격 할인,별로없다(자차/렌터카 이용 등),부족했다,보통이다,체험 정보가 부족해서,매우있다,당일 귀가 안 함 (안동에서 숙박)
