순번,혜택가맹점명,주소,분류_추정
1,하회마을,경북 안동시 풍천면 전서로 186,관광지
2,도산서원,경북 안동시 도산면 도산서원길 154,관광지
3,한국문화테마파크,경북 안동시 도산면 월천길 300,체험·관광시설
4,세계유교문화박물관,경북 안동시 도산면 월천길 301,전시·박물관
5,안동문화관광단지 유교랜드,경북 안동시 관광단지로 346-30,체험·관광시설
6,이육사문학관,경북 안동시 도산면 백운로 525,전시·박물관
7,단호샌드파크캠핑장,경북 안동시 남후면 풍산단호로 835-35,숙박(캠핑)
8,계명산자연휴양림,경북 안동시 길안면 고란길 207-99,숙박(휴양림)
9,구담정사,경북 안동시 풍천면 구담배나들길 33-12,숙박(고택·한옥)
10,락고재,경북 안동시 풍천면 전서로 186-20,숙박(고택·한옥)
11,안동에하루,경북 안동시 법상길 47-6,숙박
12,온계종택 삼백당,경북 안동시 도산면 온혜중마길 20,숙박(고택·한옥)
13,황소곳간식당,경북 안동시 풍산읍 풍산태사로 1029,식음료
14,안동양반문어,경북 안동시 중앙시장2길 15,식음료
15,우향안동한우식육식당,경북 안동시 복주2길 28,식음료
16,우렁각시장어총각,경북 안동시 송천1길 135,식음료
17,카페구름마루,경북 안동시 민속촌길 26,식음료(카페)
18,카페 브레드79,경북 안동시 옥서4길 39-12,식음료(카페)
19,산숲,경북 안동시 길안면 길안청송로 884-70,미상
20,안동선비문화박물관,경북 안동시 풍산읍 경서로 4380-49,전시·박물관
21,선성현의복체험관,경북 안동시 도산면 선성중앙길 77,체험
22,안동파파야농장,경북 안동시 와룡면 서주길 356,체험(농장)
23,경함정,경북 안동시 임하면 금소4길 23-4,미상
24,서린당,경북 안동시 임하면 금소중앙길 56-1,미상
25,물길스테이,경북 안동시 임하면 금소2길 13,숙박
26,현도예,경북 안동시 서경지8길 34-7,미상
27,지역사랑 코레일 철도여행 _ 안동,경북 안동시 경동로 122-16,여행상품·교통
