FSTV_YEAR,FSTV_ID,FSTV_REPS_NM,FSTV_NM,SIDO_CD,SIDO_NM,SGG_NM,ADONG_NM,LRFRN_DIV_CD,LRFRN_DIV_NM,FSTV_PERD_CNT,SUM_CNSM_AMT,SUM_CNSM_AMT_1000,SUM_CNSM_AMT_AVG,SUM_CNSM_AMT_1000_AVG
2018,KCTF0001,강경젓갈축제,강경젓갈축제,44,충청남도,논산시,강경읍,99,전체,5,771714823.3000001,771715,154342965,154343
2018,KCTF0001,강경젓갈축제,강경젓갈축제,44,충청남도,논산시,강경읍,3,내국인,5,771571973.3000001,771572,154314395,154314
2018,KCTF0001,강경젓갈축제,강경젓갈축제,44,충청남도,논산시,강경읍,2,외국인,5,142850,143,28570,29
2018,KCTF0001,강경젓갈축제,강경젓갈축제,44,충청남도,논산시,강경읍,1,외지인,5,769344577.6000001,769345,153868916,153869
2018,KCTF0001,강경젓갈축제,강경젓갈축제,44,충청남도,논산시,강경읍,0,현지인,5,2227395.7,2227,445479,445
2022,KCTF0001,강경젓갈축제,강경젓갈축제,44,충청남도,논산시,강경읍,99,전체,5,912967589.8000001,912968,182593518,182594
2022,KCTF0001,강경젓갈축제,강경젓갈축제,44,충청남도,논산시,강경읍,3,내국인,5,912603956.8000001,912604,182520791,182521
2022,KCTF0001,강경젓갈축제,강경젓갈축제,44,충청남도,논산시,강경읍,2,외국인,5,363633,364,72727,73
2022,KCTF0001,강경젓갈축제,강경젓갈축제,44,충청남도,논산시,강경읍,1,외지인,5,912451524.6,912452,182490305,182490
2022,KCTF0001,강경젓갈축제,강경젓갈축제,44,충청남도,논산시,강경읍,0,현지인,5,152432.2,152,30486,30
2023,KCTF0001,강경젓갈축제,강경젓갈축제,44,충청남도,논산시,강경읍,99,전체,4,775095055.5999997,775095,193773764,193774
2023,KCTF0001,강경젓갈축제,강경젓갈축제,44,충청남도,논산시,강경읍,3,내국인,4,774491825.5999997,774492,193622956,193623
2023,KCTF0001,강경젓갈축제,강경젓갈축제,44,충청남도,논산시,강경읍,2,외국인,4,603230,603,150808,151
2023,KCTF0001,강경젓갈축제,강경젓갈축제,44,충청남도,논산시,강경읍,1,외지인,4,774491825.5999997,774492,193622956,193623
2018,KCTF0002,강릉커피축제,강릉커피축제,51,강원특별자치도,강릉시,초당동,99,전체,5,1303856165.2999997,1303856,260771233,260771
2018,KCTF0002,강릉커피축제,강릉커피축제,51,강원특별자치도,강릉시,초당동,3,내국인,5,1293591377.9999998,1293591,258718276,258718
2018,KCTF0002,강릉커피축제,강릉커피축제,51,강원특별자치도,강릉시,초당동,2,외국인,5,10264787.3,10265,2052957,2053
2018,KCTF0002,강릉커피축제,강릉커피축제,51,강원특별자치도,강릉시,초당동,1,외지인,5,1157759801.1,1157760,231551960,231552
2018,KCTF0002,강릉커피축제,강릉커피축제,51,강원특별자치도,강릉시,초당동,0,현지인,5,135831576.9,135832,27166315,27166
2019,KCTF0002,강릉커피축제,강릉커피축제,51,강원특별자치도,강릉시,포남2동,99,전체,4,178271090,178271,44567772,44568
2019,KCTF0002,강릉커피축제,강릉커피축제,51,강원특별자치도,강릉시,포남2동,3,내국인,4,177285995.5,177286,44321499,44322
2019,KCTF0002,강릉커피축제,강릉커피축제,51,강원특별자치도,강릉시,포남2동,2,외국인,4,985094.5,985,246274,246
2019,KCTF0002,강릉커피축제,강릉커피축제,51,강원특별자치도,강릉시,포남2동,1,외지인,4,173615524.9,173616,43403881,43404
2019,KCTF0002,강릉커피축제,강릉커피축제,51,강원특별자치도,강릉시,포남2동,0,현지인,4,3670470.6,3670,917618,918
2022,KCTF0002,강릉커피축제,강릉커피축제,51,강원특별자치도,강릉시,포남2동,99,전체,4,247304178.60000002,247304,61826045,61826
