축제,지역,연도,항목,수치·내용,출처성격,출처URL,비고
안동국제탈춤페스티벌,안동,2025,개막 사흘 누적 관람객,53만 명,언론(주최측 발표 인용),https://www.imaeil.com/page/view/2025092913491675794,"먹거리 부스·야시장 포차·푸드트럭 앞 긴 줄 서술(대기시간 수치 없음)"
안동국제탈춤페스티벌,안동,2025,총 방문객(발표),연인원 160만 명(사상 최대),언론(조직위 발표),https://v.daum.net/v/20251006124812311,"과제로 교통 혼잡·쓰레기·숙박 부족 언급. 집계 방식 미공개"
안동국제탈춤페스티벌,안동,2025,총 방문객(데이터랩),"554,494명(10일, 일평균 55,449, 외지인 36.3%)",관광공사 이동통신,data/축제_전체/연도별방문자_FE_01_01_005_01.csv,발표 대비 약 2.9배 차이
안동국제탈춤페스티벌,안동,2024,방문객(발표 vs 데이터랩),"문체부 계획서 1,488,099 vs 데이터랩 504,573 (2.95배)",문체부 지역축제현황·데이터랩,data/축제_전체/발표vs데이터랩_2023_2024.csv,56개 매칭 축제 중 괴리 8위(중앙값 1.57배)
안동국제탈춤페스티벌,안동,2023,방문객(발표 vs 관광공사),"88만 vs 36만(약 2.4배)",언론(대구MBC),https://dgmbc.com/article/jH9rHIaXcm,"영주풍기인삼 32만 vs 19만, 청송사과 22만 vs 12만도 함께 보도"
안동국제탈춤페스티벌,안동,2025,인파 중점관리 대상,행안부 가을철 50개 중점관리 축제(순간최대 3만명 이상 등 기준),언론(국제뉴스),https://www.gukjenews.com/news/articleView.html?idxno=3684338,"진주남강유등·포항불빛·서울불꽃·부산불꽃 등과 함께 선정. 축제별 순간최대 수치는 미공개"
진주남강유등축제,진주,2025,개막 인파,초혼점등식 수만 명 밀집·인산인해,언론(부산일보),https://mobile.busan.com/view/busan/view.php?code=2025100423145347786,
진주남강유등축제,진주,2025,혼잡 대책,"첫 스마트지도(실시간 거리 혼잡도), QR 간편주문으로 대기 단축, 우측통행·일방통행, 임시주차 13,266면(+12%), 하모콜버스",언론(경남미디어),https://www.mediagn.co.kr/news/articleView.html?idxno=25112,혼잡·대기를 관리 대상으로 명시한 비교 사례
진주남강유등축제,진주,2024,방문객(발표),"1,178,237명(16일, 발표 일평균 73,640)",문체부 지역축제현황,data/축제_전체/문체부_2025지역축제_개최계획_정제.csv,데이터랩 2024·2025 값 없음
백제문화제(공주·부여),공주·부여,2025,방문객(발표),약 230만 명(주최측 추산),언론(한국NGO신문),https://www.ngonews.kr/news/articleView.html?idxno=215976,"'속 빈 강정' 비판: 두 지자체 방문객 수 경쟁"
백제문화제(공주·부여),공주·부여,2024,방문객(발표),"공주 996,038 + 부여 1,060,000 (각 10일)",문체부 지역축제현황,data/축제_전체/문체부_2025지역축제_개최계획_정제.csv,문화관광축제 아님(데이터랩 없음)
신라문화제,경주,2025,인파,"월정교·봉황대 사이 인파 가득, 화랑힙합페스타 약 1만명, 불꽃 30분 전 입장 대기",언론(YTN 등),https://www.ytn.co.kr/_cs/_ln_0115_202510111905310514_005.html,총 방문객 수치 없음
남원 춘향제,남원,2026,방문객(발표),"1,508,565명(7일, 일평균 약 21.6만)",언론(MTN·다음),https://v.daum.net/v/WnOjECAiNn,"집계: LG 통신데이터 20분 이상 체류자. 고속도로 통과 223,060대(+8.7%), 셔틀 +73.9%, 철도 +39.6%"
문경찻사발축제,문경,2025,방문객(발표),나흘간 15만여명 / 최종 24만명 발표,언론(아시아경제·국제뉴스),https://www.asiae.co.kr/article/2025050806360798878,
문경찻사발축제,문경,2025,부풀리기 논란,"발표 24만 vs 주행사장 계측 61,787명(9일, 일평균 약 6,800)",언론(국제뉴스),https://www.gukjenews.com/news/articleView.html?idxno=3556252,데이터랩 2025: 일평균 28,508
청송사과축제,청송,2025,방문객(발표),370만명,언론(아시아투데이),https://www.asiatoday.co.kr/kn/view.php?key=20251104010001358,"데이터랩 2025: 147,072명(5일). 발표 기준 불명, 인용 금지 수준"
전국 축제 방문자 순위,전국,2023,일평균 방문객 순위(관광공사 시범평가),"1위 부천국제만화 120,578/일, 꼴찌 하동야생차 4,972/일",언론(아시아경제),https://www.asiae.co.kr/article/2024080911165896679,
전국 문화관광축제,전국,2024,피크시점 최대 방문자 평균,"13,826명(전년 +2.4%), 2만 이상 9개 축제",관광공사 2024 문화관광축제 빅데이터 분석 보고서 p.54,data/축제_전체/보고서/2024_문화관광축제_빅데이터분석_최종보고서.pdf,축제별 피크값은 보고서에 없음
