연번,시도,시군구,축제명,유형,개최기간,개최장소,방식,최초개최,예산_합계,예산_국비,예산_지방비,예산_기타,방문객_2023,방문객_내국인,방문객_외국인,전담조직,조직형태,설립근거,국비부처,방문객_2023_num
1,서울,-,서울드럼페스티벌,문화예술,5.25~5.26,노들섬,대면,1999,564,0,564,0,12500,12500,미집계,서울시 문화예술과,지자체,-,해당없음,12500.0
2,서울,-,서울뮤직페스티벌,문화예술,9.27~9.29,노들섬,대면,2019,1062,0,1062,0,12274,11774,500,서울시 문화예술과,지자체,-,해당없음,12274.0
3,서울,-,서울국악축제,전통역사,9월 중,미정,대면,2019,207,0,207,0,17442,17442,미집계,서울시 문화예술과,지자체,-,해당없음,17442.0
4,서울,-,서울페스타 2024,문화예술,5.1.~5.6.,"서울광장, 광화문광장 등 서울 전역",대면,2022,2115,0,2115,0,392000,149670,242330,서울관광재단,재단법인,서울특별시 서울관광재단 설립 및 운영에 관한 조례,해당없음,392000.0
5,서울,-,서울 바비큐 페스티벌,기타,5.4.~5.5.,노을공원,대면,2024,350,0,350,0,0,0,0,서울관광재단,재단법인,서울특별시 서울관광재단 설립 및 운영에 관한 조례,해당없음,0.0
6,서울,-,2024 한강 불빛 공연(드론 라이트 쇼),문화예술,상반기(5~6월) 5회 / 하반기(9~10월) 5회 공연(총 10회 예정),한강공원,대면,2023,837,0,837,0,124360,124360,미집계,서울관광재단,재단법인,서울특별시 서울관광재단 설립 및 운영에 관한 조례,해당없음,124360.0
7,서울,-,2024년 추석 농수특산물 서울장터,특산물,9.2~9.7중 3일간 예정,서울광장,대면,2009,350,0,350,0,205000,205000,,서울시,지방자치단체,,해당없음,205000.0
8,서울,-,한강페스티벌,"문화예술, 생태자연","봄: 5. 10.~5. 12.
여름: 7. 26.~8. 11.
가을: 10. 11.~10. 20.
겨울: 12. 20.~12. 25.",한강 수상 및 11개 한강공원 일대,대면,2013,953,0,953,0,207278,207278,추산불가,해당없음,해당없음,해당없음,해당없음,207278.0
9,서울,-,2024 책읽는 한강공원,문화예술,"5~6월, 9~10월 
매주 토요일","강서한강공원, 여의도한강공원",대면,2023,585,0,585,0,246293,246293,미집계,해당없음,해당없음,해당없음,해당없음,246293.0
10,서울,-,제18회 서울안전한마당,안전문화,05.02.~05.04.,여의도공원,대면,2007,300,0,300,0,70000,70000,,소방재난본부,,,해당없음,70000.0
11,서울,-,2024 서울세계도시문화축제,문화예술,5.25.~26,광화문광장 및 청계광장 일원,대면,1996,594,0,594,0,미집계,미집계,미집계,해당없음,해당없음,해당없음,해당없음,
12,서울,-,서울라이트 한강 빛섬축제 ,문화예술,10.5.~10.13.,여의도한강공원,대면,2023,2600,0,2600,0,95015,95015,미집계,도시경관담당관,서울시,서울특별시 축제 육성 및 지원에 관한 조례,해당없음,95015.0
13,서울,-,서울라이트 광화문,문화예술,24. 12. 20. ~ '25. 1. 12.,광화문 및 광화문광장,대면,2022,3674,0,3674,0,1896426,1896426,미집계,도시경관담당관,서울시,서울특별시 축제 육성 및 지원에 관한 조례,해당없음,1896426.0
14,서울,-,차없는 잠수교 뚜벅뚜벅 축제,문화예술,5.5.~6.23./9.1.~10.27.,잠수교 및 반포한강공원 일대,대면,2022,1856,0,1856,0,2000000,1890000,110000,해당없음,해당없음,해당없음,해당없음,2000000.0
15,서울,-,한강서래섬유채꽃축제,생태자연,05.10.~05.19.,반포한강공원 서래섬,대면,2004,100,0,100,0,30000,30000,미집계,해당없음,해당없음,해당없음,해당없음,30000.0
16,서울,-,한강종이비행기축제,기타,09.07.,여의도한강공원,대면,2009,50,0,50,0,3300,3300,미집계,해당없음,해당없음,해당없음,해당없음,3300.0
17,서울,-,2024 서울대공원 벚꽃축제,생태자연,4월 초,호숫가둘레길,대면,2016,70,0,70,0,240000,240000,미집계,없음,,,해당없음,240000.0
18,서울,-,제24회 서울대공원 장미원축제,생태자연,5.24.~6.9.,테마가든,대면,2001,80,0,80,0,32000,32000,미집계,없음,,,해당없음,32000.0
19,서울,-,제9회 동물원 밖 동물원,문화예술,10~12월,공원 일대,대면,2016,190,0,190,0,260000,260000,미집계,없음,,,해당없음,260000.0
20,서울,강남구,제13회 강남페스티벌,문화예술,9월중,"코엑스, 영동대로, 마루공원 등",혼합형,2012,2532,0,2532,0,56894,35416,21478,해당없음,해당없음,해당없음,해당없음,56894.0
21,서울,강남구,제5회강남디자인위크,문화예술,5.24.~5.28.,신사동 등,대면,2020,299,0,299,0,29710,29710,미집계,해당없음,해당없음,해당없음,해당없음,29710.0
22,서울,강남구,제4회 강남 G-KPOP 콘서트,문화예술,5월중,신사 한강공원(잠원지구),대면,2021,390,0,390,0,5800,4500,1300,해당없음,해당없음,해당없음,해당없음,5800.0
23,서울,강동구,제29회 강동선사문화축제,전통역사,10.11.~10.13.,서울 암사동 유적 일원,대면,1996,596,0,596,0,466174,466174,미집계,강동구청,기초지자체,서울특별시 강동구 선사문화축제에 관한 조례,해당없음,466174.0
24,서울,강북구,419혁명국민문화제,전통역사,4.12.~4.19.,강북구 일원,대면,2013,750,200,550,0,60000,60000,미집계,419혁명국민문화제위원회,비영리법인,,국가보훈부,60000.0
25,서울,강북구,천변라이프 강북페스타2024,문화예술,5.31.~6.2.,우이천 일대,대면,2023,294,0,294,0,13000,13000,미집계,-,-,-,해당없음,13000.0
26,서울,강북구 ,제2회 맥주축제,기타(시장활성화),9월중 2일간,강북구 일대,대면,2023,291,0,291,0,43239,43239,미집계,-,-,-,해당없음,43239.0
27,서울,강북구,제2회 크리스마스 마켓,기타(상권활성화),12.20~12.22,수유역 상권일대,대면,2023,192,0,192,0,48300,48300,미집계,-,-,-,해당없음,48300.0
28,서울,강북구,제2회 미아달빛시장,기타(상권활성화),10월~11월중 2일간,미아사거리역 상권일대,대면,2023,55,0,55,0,1600,1600,미집계,-,-,-,해당없음,1600.0
29,서울,광진구,제2회 광진청년문화Street페스티벌,문화예술,9월 중,능동로 일대,대면,2023,100,0,100,0,3800,3800,미집계,광진구청 문화예술과,,,해당없음,3800.0
30,서울,금천구,제2회 금천 청년축제,기타,09.28.(예정),관내(미정),대면,2023,89,0,89,0,200,200,미집계,해당없음,,,해당없음,200.0
31,서울,금천구,제6회 금천과학축제,문화예술(과학),09.06.~09.07.,금천구청 일대,대면,2019,280,0,280,0,7470,7470,미집계,해당없음,,,해당없음,7470.0
32,서울,금천구,2024 금천하모니축제,문화예술,05.10.~05.12.,구청광장,대면,2005,375,0,375,0,15000,15000,미집계,금천문화재단,재단법인,서울특별시 금천문화재단 설립 및 운영에 관한 조례,해당없음,15000.0
33,서울,금천구,2024년 제7회 정조대왕 능행차 공동재현 행사,전통역사,10.05-10.06.,금천구청 광장 및 시흥행궁터 일대(시흥5동),대면,2016,180,0,180,0,7000,7000,미집계,해당없음,,,해당없음,7000.0
34,서울,금천구,감로천 축제,기타(주민화합 등),10.19.,감로천생태공원,대면,2022,13,0,13,0,1000,900,100,독산4동 주민자치회,비영리조직,금천구 주민자치회 및 자치회관 설치운영에 관한 조례,해당없음,1000.0
35,서울,금천구,제4회 금천패션영화제,문화예술,11.01.~11.04.,금천구 가산동 일원(롯데시네마 가산디지털점),대면,2021,200,0,80,120,2090,2090,미집계,금천문화재단,재단법인,금천문화재단 설립에 관한 조례,해당없음,2090.0
