연번,시도,시군구,축제명,유형,장소명,장소유형,장소_시도,장소_시군구,장소_읍면동,시작년,시작월,시작일,종료년,종료월,종료일,일수,비고,주기,방식,최초개최,예산_합계,예산_국비,예산_지방비,예산_기타,방문객_2024,방문객_내국인,방문객_외국인,전담조직,조직형태,설립근거,국비부처,방문객_2024_num,일수_num,시작월_num,발표_일평균
1,강원,춘천시,춘천 감자페스타,지역특산물,신북장터,마을형,강원,춘천시,신북읍,2025,6,,2025,6,,2,미정,매년,대면,2024,100,0,100,0,20000,20000,0,산북읍자생단체,민간 협/단체,,해당없음,20000.0,2.0,6.0,10000.0
2,강원,춘천시,춘천 호수 드론 라이트쇼,문화예술,공지천,수변형,강원,춘천시,근화동,2025,6,,2025,9,,5,미정,매년,대면,2023,200,0,200,0,30000,30000,0,춘천시,정부·지자체,,해당없음,30000.0,5.0,6.0,6000.0
3,강원,춘천시,2025 썸머워터페스티벌,문화예술,의암공원 일원,녹지형,강원,춘천시,강남동,2025,7,25,2025,8,13,20,,일회성,대면,2025,150,0,150,0,최초 행사,최초 행사,최초 행사,춘천청년소상공인협회,민간 협/단체,,해당없음,,20.0,7.0,
4,강원,춘천시,춘천막국수닭갈비축제,지역특산물,"주 행사장(공지천일원), 권역별 행사장(명동, 후평동, 온의동 일원)",수변형,강원,춘천시,,2025,10,16,2025,10,19,4,,매년,대면,2008,610,0,610,0,128373,128373,0,춘천막국수닭갈비 조직위원회,민간 협/단체,민법,해당없음,128373.0,4.0,10.0,32093.25
5,강원,원주시, 2025 댄싱카니발,문화예술,원주댄싱공연장 일원,독립형,강원,원주시,명륜1동,2025,9,26,2025,9,28,3,,매년,대면,2011,1165,0,1165,0,318718,318718,0,원주문화재단,재단(관광/문화/예술),원주시관광지원조례제4조,해당없음,318718.0,3.0,9.0,106239.33333333333
6,강원,원주시,원주 한지문화제,문화예술,원주한지테마파크 일원,녹지형,강원,원주시,무실동,2025,5,22,2025,5,25,4,,매년,복합,1999,224,0,203,21,260000,260000,0,사단법인 한지문화재단,재단(관광/문화/예술),원주시관광지원조례제4조,해당없음,260000.0,4.0,5.0,65000.0
7,강원,원주시,용수골꽃양귀비축제,문화예술,용수골꽃농장,마을형,강원,원주시,판부면,2025,5,,2025,5,,,미정,매년,대면,2008,23,0,18,5,35176,35176,0,용수골양귀비꽃축제추진위원회,민간 협/단체,원주시관광지원조례제4조,해당없음,35176.0,,5.0,
8,강원,원주시,장미축제,문화예술,장미공원,녹지형,강원,원주시,단계동,2025,6,4,2025,6,8,5,,매년,대면,1999,15,0,9,6,46000,46000,0,장미축제위원회,민간 협/단체,원주시관광지원조례제4조,해당없음,46000.0,5.0,6.0,9200.0
9,강원,원주시,섬강축제,문화예술,간현유원지 제2주차장 일원,녹지형,강원,원주시,지정면,2025,9,19,2025,9,21,3,,매년,대면,1993,12,0,9,3,6000,6000,0,섬강축제위원회,민간 협/단체,원주시관광지원조례제4조,해당없음,6000.0,3.0,9.0,2000.0
10,강원,원주시,남한강 코스모스 축제,문화예술,법천사지 일원,수변형,강원,원주시,부론면,2025,5,,2025,5,,3,미정,매년,대면,2023,15,0,10,5,700,700,0,법천2리 축제위원회,민간 협/단체,원주시관광지원조례제4조,해당없음,700.0,3.0,5.0,233.33333333333334
11,강원,원주시,신월랑 달빛 축제,문화예술,행구동수변공원 일원,녹지형,강원,원주시,행구동,2025,6,,2025,6,,2,미정,매년,대면,2024,10,0,10,0,200,200,0,원주시 관광과,정부·지자체,,해당없음,200.0,2.0,6.0,100.0
12,강원,원주시,제11회 치악산한우 축제,지역특산물,댄싱공연장 일원,독립형,강원,원주시,명륜동,2025,5,23,2025,5,25,3,,매년,대면,2015,220,0,142,78,4174,4174,0,원주축산업협동조합,민간 협/단체,농업협동조합법,해당없음,4174.0,3.0,5.0,1391.3333333333333
13,강원,원주시,댄싱카니발과 함께하는 치악산한우 숯불구이행사,지역특산물,댄싱공연장 일원,독립형,강원,원주시,명륜동,2025,9,26,2025,9,28,3,,일회성,대면,2025,60,0,30,30,최초 행사,최초 행사,최초 행사,원주축산업협동조합,민간 협/단체,농업협동조합법,해당없음,,3.0,9.0,
14,강원,원주시,제13회 치악산 찰옥수수 축제,지역특산물,문막농민문화센터 일원,독립형,강원,원주시,문막읍,2025,7,11,2025,7,12,2,,매년,대면,2012,98,0,30,68,15000,15000,0,문막농업협동조합,민간 협/단체,농업농촌 및 식품산업기본법,해당없음,15000.0,2.0,7.0,7500.0
15,강원,원주시,제24회 치악산 복숭아 축제,지역특산물,댄싱공연장주차장 내 상설공연장,독립형,강원,원주시,명륜1동,2025,8,,2025,8,,2,미정,매년,대면,2000,39,0,30,9,7000,7000,0,치악산복숭아원주시협의회,민간 협/단체,농업농촌 및 식품산업기본법,해당없음,7000.0,2.0,8.0,3500.0
16,강원,원주시,제4회 치악산 고구마 축제,지역특산물,간현관광지 일원,수변형,강원,원주시,지정면,2025,10,18,2025,10,19,2,,매년,대면,2022,98,0,18,80,10000,10000,0,원주농업협동조합,민간 협/단체,농업농촌 및 식품산업기본법,해당없음,10000.0,2.0,10.0,5000.0
17,강원,원주시,제2회 산악자전거 숲포츠 페스티벌,자연생태,산악자전거파크 일원,녹지형,강원,원주시,신림면,2025,5,,2025,5,,2,미정,매년,대면,2024,30,0,30,0,2000,2000,0,원주시 산림과,정부·지자체,,해당없음,2000.0,2.0,5.0,1000.0
18,강원,원주시,제31회 국제걷기대회,문화예술,젊음의광장,녹지형,강원,원주시,명륜1동,2025,10,25,2025,10,26,2,,매년,대면,1996,150,0,150,0,10473,9393,1080,(재)대한걷기연맹,민간 협/단체,재단법인 대한걷기연맹 지원조례,해당없음,10473.0,2.0,10.0,5236.5
19,강원,원주시,제1회 강원원주혁신도시 상생마켓,주민화합,혁신미리내 광장 일원,녹지형,강원,원주시,반곡관설동,2025,5,,2025,5,,2,미정,매년,대면,2024,42,0,40,2,10000,10000,0,혁신도시 상인회,민간 협/단체,전통시장 및 상점가 육성을 위한 특별법,해당없음,10000.0,2.0,5.0,5000.0
20,강원,원주시,제1회 강원원주혁신도시 맥주페스티벌,주민화합,혁신미리내 광장 일원,녹지형,강원,원주시,반곡관설동,2025,10,,2025,10,,3,미정,매년,대면,2024,63,0,60,3,10000,10000,0,혁신도시 상인회,민간 협/단체,전통시장 및 상점가 육성을 위한 특별법,해당없음,10000.0,3.0,10.0,3333.3333333333335
21,강원,원주시,우산동 하이볼 축제,주민화합,우산동 일원,마을형,강원,원주시,우산동,2025,5,1,2025,5,31,6,,매년,대면,미상,30,0,30,0,12000,12000,0,우산동 도시재생현장지원센터,민간 협/단체,"우산동 도시재생 사업 관련 위,수탁",해당없음,12000.0,6.0,5.0,2000.0
22,강원,원주시,2025 원주만두축제,지역특산물,중앙동 전통시장 일원,마을형,강원,원주시,중앙동,2025,10,24,2025,10,26,3,,매년,대면,2023,800,0,800,0,520517,520517,0,원주시 경제진흥과,정부·지자체,,해당없음,520517.0,3.0,10.0,173505.66666666666
