연도,축제,문체부축제명,시도,기간일,데이터랩_방문,데이터랩_외지인,발표_방문,발표÷데이터랩
2024,강릉커피축제,제 17회 강릉커피축제,강원특별자치도,4,178316.0,72600.0,440000.0,2.47
2024,고령대가야축제,고령 대가야축제,경상북도,3,88659.0,57526.0,149350.0,1.68
2024,곡성세계장미축제,제15회 곡성세계장미축제,전라남도,10,310621.0,273935.0,241774.0,0.78
2024,관악강감찬축제,2025 관악강감찬축제,서울특별시,3,152657.0,63787.0,189405.0,1.24
2024,광안리어방축제,제23회 광안리어방축제,부산광역시,3,198490.0,132857.0,248021.0,1.25
2024,광주김치축제,제32회 광주김치축제,광주광역시,3,280211.0,157684.0,68226.0,0.24
2024,괴산고추축제,괴산고추축제,충청북도,4,134014.0,82457.0,265734.0,1.98
2024,금산인삼축제,재43회 금산세계인삼축제,충청남도,11,572712.0,260864.0,1156000.0,2.02
2024,김제지평선축제,제27회 김제지평선축제,전북특별자치도,5,130612.0,80609.0,179895.0,1.38
2024,김해분청도자기축제,제30회 김해분청도자기축제,경상남도,6,110042.0,36355.0,36835.0,0.33
2024,담양대나무축제,2025년 담양대나무축제,전라남도,5,257772.0,167207.0,680673.0,2.64
2024,대구약령시한방문화축제,제47회 대구약령시한방문화축제,대구광역시,5,283841.0,199660.0,134113.0,0.47
2024,대구치맥페스티벌,대구치맥페스티벌,대구광역시,5,234272.0,132578.0,776000.0,3.31
2024,대전효문화뿌리축제,제16회 대전효문화뿌리축제,대전광역시,3,126545.0,73966.0,240127.0,1.9
2024,동래읍성역사축제,동래읍성역사축제,부산광역시,3,191876.0,88587.0,240033.0,1.25
2024,목포항구축제,2025 목포항구축제,전라남도,3,97643.0,49540.0,240000.0,2.46
2024,무주반딧불축제,제29회 무주반딧불축제,전북특별자치도,9,196649.0,101405.0,381581.0,1.94
2024,문경찻사발축제,제27회 문경찻사발축제,경상북도,10,245750.0,179998.0,280000.0,1.14
2024,밀양아리랑대축제,제67회 밀양아리랑대축제,경상남도,4,156862.0,44783.0,412148.0,2.63
2024,보령머드축제,제28회 보령머드축제,충청남도,17,854393.0,615419.0,1651000.0,1.93
2024,보성다향대축제,제48회 보성다향대축제,전라남도,5,97525.0,51377.0,208201.0,2.13
2024,부천국제만화축제,제28회 부천국제만화축제,경기도,4,206653.0,81969.0,138930.0,0.67
2024,부평풍물대축제,2025년 제29회 부평풍물대축제,인천광역시,3,238798.0,102235.0,208075.0,0.87
2024,산청한방약초축제,제24회 산청한방약초축제,경상남도,10,129336.0,85078.0,420045.0,3.25
2024,서산해미읍성축제,제22회 서산해미읍성축제,충청남도,4,116543.0,61471.0,270000.0,2.32
2024,세종축제,2025 세종축제,세종특별자치시,4,243647.0,82060.0,204485.0,0.84
2024,소래포구축제,제25회 소래포구축제,인천광역시,3,162674.0,69994.0,500000.0,3.07
2024,수원화성문화제,제62회 수원화성문화제,경기도,3,248819.0,182538.0,246537.0,0.99
2024,순창장류축제,제20회 순창장류축제,전북특별자치도,3,73860.0,45701.0,53459.0,0.72
2024,시흥갯골축제,제20회 시흥갯골축제,경기도,3,94313.0,40090.0,145000.0,1.54
2024,안동탈춤축제,2025 안동국제탈춤페스티벌,경상북도,10,504573.0,181964.0,1488099.0,2.95
2024,안성맞춤남사당바우덕이축제,안성맞춤 남사당 바우덕이축제,경기도,4,125495.0,58780.0,568261.0,4.53
2024,여주오곡나루축제,2025 여주오곡나루축제,경기도,3,126517.0,48959.0,300046.0,2.37
2024,연천구석기축제,제32회 연천 구석기 축제,경기도,4,149052.0,82905.0,55308.0,0.37
2024,영동난계국악축제,제56회 영동난계국악축제,충청북도,5,176603.0,51671.0,151730.0,0.86
2024,영암왕인문화축제,제26회 영암왕인문화축제,전라남도,4,78155.0,51657.0,,
2024,영주풍기인삼축제,경북영주 풍기인삼축제,경상북도,9,185101.0,82811.0,487550.0,2.63
