FSTV_ID,FSTV_REPS_NM,BASE_YEAR,FSTV_PERD_CNT,TOT_LOCAL,TOT_OUT,TOT_FORE,TOTAL_COL,TOTAL_AVG,PRE_VAL,GROTH_VAL,LOCAL_TOU_NUM_RAT,OUT_TOU_NUM_RAT,FORE_TOU_NUM_RAT,GROTH_VAL_RATE,GROTH_MARK,DISP_YN,PRE_TOTAL,PRE_TOTAL_AVG,TOTAL_AVG_VAR
KCTF0001,강경젓갈축제,2018,5,50642.0,59291.0,0.0,109933.0,21986.6,N/A,109933.0,46.07,53.93,0.0,0.0,,N,,,
KCTF0001,강경젓갈축제,2022,5,57971.0,69910.0,109.0,127990.0,25598.0,109933,18057.0,45.29,54.62,0.09,16.43,▲,N,109933.0,21986.6,16.4
KCTF0001,강경젓갈축제,2023,4,52282.0,71999.0,143.0,124424.0,31106.0,127990,-3566.0,42.02,57.87,0.11,-2.79,▼,N,127990.0,25598.0,21.5
KCTF0002,강릉커피축제,2018,5,61368.0,82621.0,0.0,143989.0,28797.8,N/A,143989.0,42.62,57.38,0.0,0.0,,N,,,
KCTF0002,강릉커피축제,2019,4,98907.0,61246.0,0.0,160153.0,40038.25,143989,16164.0,61.76,38.24,0.0,11.23,▲,N,143989.0,28797.8,39.0
KCTF0002,강릉커피축제,2022,4,144613.0,113950.0,65.0,258628.0,64657.0,160153,98475.0,55.92,44.06,0.03,61.49,▲,N,160153.0,40038.25,61.5
KCTF0002,강릉커피축제,2023,4,170198.0,64362.0,198.0,234758.0,58689.5,258628,-23870.0,72.5,27.42,0.08,-9.23,▼,N,258628.0,64657.0,-9.2
KCTF0002,강릉커피축제,2024,4,105147.0,72600.0,569.0,178316.0,44579.0,234758,-56442.0,58.97,40.71,0.32,-24.04,▼,N,234758.0,58689.5,-24.0
KCTF0002,강릉커피축제,2025,4,112193.0,73754.0,557.0,186504.0,46626.0,178316,8188.0,60.16,39.55,0.3,4.59,▲,N,178316.0,44579.0,4.6
KCTF0003,강진청자축제,2018,7,20025.0,38289.0,0.0,58314.0,8330.5714,N/A,58314.0,34.34,65.66,0.0,0.0,,N,,,
KCTF0003,강진청자축제,2019,7,20437.0,34432.0,0.0,54869.0,7838.4286,58314,-3445.0,37.25,62.75,0.0,-5.91,▼,N,58314.0,8330.5714,-5.9
KCTF0003,강진청자축제,2023,7,29091.0,54965.0,58.0,84114.0,12016.2857,54869,29245.0,34.59,65.35,0.07,53.3,▲,N,54869.0,7838.4286,53.3
KCTF0004,고령대가야축제,2018,4,35988.0,43918.0,0.0,79906.0,19976.5,N/A,79906.0,45.04,54.96,0.0,0.0,,N,,,
KCTF0004,고령대가야축제,2019,4,37307.0,54113.0,0.0,91420.0,22855.0,79906,11514.0,40.81,59.19,0.0,14.41,▲,N,79906.0,19976.5,14.4
KCTF0004,고령대가야축제,2022,4,38013.0,57655.0,34.0,95702.0,23925.5,91420,4282.0,39.72,60.24,0.04,4.68,▲,N,91420.0,22855.0,4.7
KCTF0004,고령대가야축제,2023,3,33054.0,55609.0,173.0,88836.0,29612.0,95702,-6866.0,37.21,62.6,0.19,-7.17,▼,N,95702.0,23925.5,23.8
KCTF0004,고령대가야축제,2024,3,30901.0,57526.0,232.0,88659.0,29553.0,88836,-177.0,34.85,64.88,0.26,-0.2,▼,N,88836.0,29612.0,-0.2
KCTF0005,곡성세계장미축제,2018,10,28680.0,286974.0,0.0,315654.0,31565.4,N/A,315654.0,9.09,90.91,0.0,0.0,,N,,,
KCTF0005,곡성세계장미축제,2019,10,30547.0,224771.0,0.0,255318.0,25531.8,315654,-60336.0,11.96,88.04,0.0,-19.11,▼,N,315654.0,31565.4,-19.1
KCTF0005,곡성세계장미축제,2022,17,40689.0,257843.0,48.0,298580.0,17563.5294,255318,43262.0,13.63,86.36,0.02,16.94,▲,N,255318.0,25531.8,-31.2
KCTF0005,곡성세계장미축제,2023,10,35434.0,260955.0,347.0,296736.0,29673.6,298580,-1844.0,11.94,87.94,0.12,-0.62,▼,N,298580.0,17563.5294,69.0
KCTF0005,곡성세계장미축제,2024,10,36428.0,273935.0,258.0,310621.0,31062.1,296736,13885.0,11.73,88.19,0.08,4.68,▲,N,296736.0,29673.6,4.7
KCTF0005,곡성세계장미축제,2025,10,39448.0,292590.0,378.0,332416.0,33241.6,310621,21795.0,11.87,88.02,0.11,7.02,▲,N,310621.0,31062.1,7.0
KCTF0006,관악강감찬축제,2019,3,64056.0,49106.0,0.0,113162.0,37720.6667,N/A,113162.0,56.61,43.39,0.0,0.0,,N,,,
KCTF0006,관악강감찬축제,2022,3,87262.0,61107.0,320.0,148689.0,49563.0,113162,35527.0,58.69,41.1,0.22,31.39,▲,N,113162.0,37720.6667,31.4
KCTF0006,관악강감찬축제,2023,3,75453.0,60602.0,870.0,136925.0,45641.6667,148689,-11764.0,55.11,44.26,0.64,-7.91,▼,N,148689.0,49563.0,-7.9
KCTF0006,관악강감찬축제,2024,3,87735.0,63787.0,1135.0,152657.0,50885.6667,136925,15732.0,57.47,41.78,0.74,11.49,▲,N,136925.0,45641.6667,11.5
KCTF0006,관악강감찬축제,2025,3,98180.0,66009.0,1556.0,165745.0,55248.3333,152657,13088.0,59.24,39.83,0.94,8.57,▲,N,152657.0,50885.6667,8.6
KCTF0007,광안리어방축제,2018,3,54801.0,98819.0,0.0,153620.0,51206.6667,N/A,153620.0,35.67,64.33,0.0,0.0,,N,,,
KCTF0007,광안리어방축제,2019,3,50017.0,76617.0,0.0,126634.0,42211.3333,153620,-26986.0,39.5,60.5,0.0,-17.57,▼,N,153620.0,51206.6667,-17.6
KCTF0007,광안리어방축제,2022,3,68438.0,104937.0,1570.0,174945.0,58315.0,126634,48311.0,39.12,59.98,0.9,38.15,▲,N,126634.0,42211.3333,38.2
KCTF0007,광안리어방축제,2023,3,64075.0,115398.0,2501.0,181974.0,60658.0,174945,7029.0,35.21,63.41,1.37,4.02,▲,N,174945.0,58315.0,4.0
KCTF0007,광안리어방축제,2024,3,62252.0,132857.0,3381.0,198490.0,66163.3333,181974,16516.0,31.36,66.93,1.7,9.08,▲,N,181974.0,60658.0,9.1
KCTF0007,광안리어방축제,2025,3,56674.0,112218.0,5361.0,174253.0,58084.3333,198490,-24237.0,32.52,64.4,3.08,-12.21,▼,N,198490.0,66163.3333,-12.2
KCTF0008,광주김치축제,2018,4,48686.0,33154.0,0.0,81840.0,20460.0,N/A,81840.0,59.49,40.51,0.0,0.0,,N,,,
