조회연도,SEQ,FSTV_ID,FSTV_REPS_NM,DIV_GRP_SEQ,DIV_GRP,BASE_YEAR,DIV_NM,DIV_NM_VAL
2024,1,KCTF0002,강릉커피축제,1,축제기간,2024,외부방문자 유입,0.546
2024,2,KCTF0002,강릉커피축제,1,축제기간,2024,현지인방문자 유입,0.965
2024,3,KCTF0002,강릉커피축제,1,축제기간,2024,내비게이션 검색량,0.533
2024,4,KCTF0002,강릉커피축제,1,축제기간,2024,관광소비,0.511
2024,5,KCTF0002,강릉커피축제,1,축제기간,2024,축제지 집중률,0.968
2024,1,KCTF0002,강릉커피축제,2,비축제기간,2024,외부방문자 유입,0.38
2024,2,KCTF0002,강릉커피축제,2,비축제기간,2024,현지인방문자 유입,0.768
2024,3,KCTF0002,강릉커피축제,2,비축제기간,2024,내비게이션 검색량,0.347
2024,4,KCTF0002,강릉커피축제,2,비축제기간,2024,관광소비,0.458
2024,5,KCTF0002,강릉커피축제,2,비축제기간,2024,축제지 집중률,0.806
2025,1,KCTF0002,강릉커피축제,1,축제기간,2025,외부방문자 유입,0.466
2025,2,KCTF0002,강릉커피축제,1,축제기간,2025,현지인방문자 유입,0.891
2025,3,KCTF0002,강릉커피축제,1,축제기간,2025,내비게이션 검색량,0.611
2025,4,KCTF0002,강릉커피축제,1,축제기간,2025,관광소비,0.41
2025,5,KCTF0002,강릉커피축제,1,축제기간,2025,축제지 집중률,0.857
2025,1,KCTF0002,강릉커피축제,2,비축제기간,2025,외부방문자 유입,0.338
2025,2,KCTF0002,강릉커피축제,2,비축제기간,2025,현지인방문자 유입,0.637
2025,3,KCTF0002,강릉커피축제,2,비축제기간,2025,내비게이션 검색량,0.319
2025,4,KCTF0002,강릉커피축제,2,비축제기간,2025,관광소비,0.388
2025,5,KCTF0002,강릉커피축제,2,비축제기간,2025,축제지 집중률,0.628
2024,1,KCTF0004,고령대가야축제,1,축제기간,2024,외부방문자 유입,0.892
2024,2,KCTF0004,고령대가야축제,1,축제기간,2024,현지인방문자 유입,0.899
2024,3,KCTF0004,고령대가야축제,1,축제기간,2024,내비게이션 검색량,0.798
2024,4,KCTF0004,고령대가야축제,1,축제기간,2024,관광소비,0.855
2024,5,KCTF0004,고령대가야축제,1,축제기간,2024,축제지 집중률,0.932
2024,1,KCTF0004,고령대가야축제,2,비축제기간,2024,외부방문자 유입,0.398
2024,2,KCTF0004,고령대가야축제,2,비축제기간,2024,현지인방문자 유입,0.738
2024,3,KCTF0004,고령대가야축제,2,비축제기간,2024,내비게이션 검색량,0.246
2024,4,KCTF0004,고령대가야축제,2,비축제기간,2024,관광소비,0.696
2024,5,KCTF0004,고령대가야축제,2,비축제기간,2024,축제지 집중률,0.623
2024,1,KCTF0005,곡성세계장미축제,1,축제기간,2024,외부방문자 유입,0.523
2024,2,KCTF0005,곡성세계장미축제,1,축제기간,2024,현지인방문자 유입,0.74
2024,3,KCTF0005,곡성세계장미축제,1,축제기간,2024,내비게이션 검색량,0.412
2024,4,KCTF0005,곡성세계장미축제,1,축제기간,2024,관광소비,0.655
2024,5,KCTF0005,곡성세계장미축제,1,축제기간,2024,축제지 집중률,0.905
2024,1,KCTF0005,곡성세계장미축제,2,비축제기간,2024,외부방문자 유입,0.086
2024,2,KCTF0005,곡성세계장미축제,2,비축제기간,2024,현지인방문자 유입,0.413
2024,3,KCTF0005,곡성세계장미축제,2,비축제기간,2024,내비게이션 검색량,0.043
2024,4,KCTF0005,곡성세계장미축제,2,비축제기간,2024,관광소비,0.442
2024,5,KCTF0005,곡성세계장미축제,2,비축제기간,2024,축제지 집중률,0.352
2025,1,KCTF0005,곡성세계장미축제,1,축제기간,2025,외부방문자 유입,0.566
2025,2,KCTF0005,곡성세계장미축제,1,축제기간,2025,현지인방문자 유입,0.851
2025,3,KCTF0005,곡성세계장미축제,1,축제기간,2025,내비게이션 검색량,0.458
2025,4,KCTF0005,곡성세계장미축제,1,축제기간,2025,관광소비,0.641
2025,5,KCTF0005,곡성세계장미축제,1,축제기간,2025,축제지 집중률,0.921
2025,1,KCTF0005,곡성세계장미축제,2,비축제기간,2025,외부방문자 유입,0.118
2025,2,KCTF0005,곡성세계장미축제,2,비축제기간,2025,현지인방문자 유입,0.489
2025,3,KCTF0005,곡성세계장미축제,2,비축제기간,2025,내비게이션 검색량,0.093
2025,4,KCTF0005,곡성세계장미축제,2,비축제기간,2025,관광소비,0.462
2025,5,KCTF0005,곡성세계장미축제,2,비축제기간,2025,축제지 집중률,0.421
2024,1,KCTF0006,관악강감찬축제,1,축제기간,2024,외부방문자 유입,0.765
2024,2,KCTF0006,관악강감찬축제,1,축제기간,2024,현지인방문자 유입,0.916
2024,3,KCTF0006,관악강감찬축제,1,축제기간,2024,내비게이션 검색량,0.467
2024,4,KCTF0006,관악강감찬축제,1,축제기간,2024,관광소비,0.788
2024,5,KCTF0006,관악강감찬축제,1,축제기간,2024,축제지 집중률,0.895
2024,1,KCTF0006,관악강감찬축제,2,비축제기간,2024,외부방문자 유입,0.694
2024,2,KCTF0006,관악강감찬축제,2,비축제기간,2024,현지인방문자 유입,0.789
2024,3,KCTF0006,관악강감찬축제,2,비축제기간,2024,내비게이션 검색량,0.331
2024,4,KCTF0006,관악강감찬축제,2,비축제기간,2024,관광소비,0.763
2024,5,KCTF0006,관악강감찬축제,2,비축제기간,2024,축제지 집중률,0.824
2025,1,KCTF0006,관악강감찬축제,1,축제기간,2025,외부방문자 유입,0.764
2025,2,KCTF0006,관악강감찬축제,1,축제기간,2025,현지인방문자 유입,0.929
2025,3,KCTF0006,관악강감찬축제,1,축제기간,2025,내비게이션 검색량,0.579
2025,4,KCTF0006,관악강감찬축제,1,축제기간,2025,관광소비,0.762
2025,5,KCTF0006,관악강감찬축제,1,축제기간,2025,축제지 집중률,0.862
2025,1,KCTF0006,관악강감찬축제,2,비축제기간,2025,외부방문자 유입,0.707
2025,2,KCTF0006,관악강감찬축제,2,비축제기간,2025,현지인방문자 유입,0.8
2025,3,KCTF0006,관악강감찬축제,2,비축제기간,2025,내비게이션 검색량,0.31
2025,4,KCTF0006,관악강감찬축제,2,비축제기간,2025,관광소비,0.778
2025,5,KCTF0006,관악강감찬축제,2,비축제기간,2025,축제지 집중률,0.814
2024,1,KCTF0007,광안리어방축제,1,축제기간,2024,외부방문자 유입,0.38
2024,2,KCTF0007,광안리어방축제,1,축제기간,2024,현지인방문자 유입,0.91
2024,3,KCTF0007,광안리어방축제,1,축제기간,2024,내비게이션 검색량,0.529
2024,4,KCTF0007,광안리어방축제,1,축제기간,2024,관광소비,0.735
2024,5,KCTF0007,광안리어방축제,1,축제기간,2024,축제지 집중률,0.78
2024,1,KCTF0007,광안리어방축제,2,비축제기간,2024,외부방문자 유입,0.285
2024,2,KCTF0007,광안리어방축제,2,비축제기간,2024,현지인방문자 유입,0.782
2024,3,KCTF0007,광안리어방축제,2,비축제기간,2024,내비게이션 검색량,0.506
2024,4,KCTF0007,광안리어방축제,2,비축제기간,2024,관광소비,0.677
2024,5,KCTF0007,광안리어방축제,2,비축제기간,2024,축제지 집중률,0.651
2025,1,KCTF0007,광안리어방축제,1,축제기간,2025,외부방문자 유입,0.287
2025,2,KCTF0007,광안리어방축제,1,축제기간,2025,현지인방문자 유입,0.724
2025,3,KCTF0007,광안리어방축제,1,축제기간,2025,내비게이션 검색량,0.388
2025,4,KCTF0007,광안리어방축제,1,축제기간,2025,관광소비,0.572
2025,5,KCTF0007,광안리어방축제,1,축제기간,2025,축제지 집중률,0.705
2025,1,KCTF0007,광안리어방축제,2,비축제기간,2025,외부방문자 유입,0.253
2025,2,KCTF0007,광안리어방축제,2,비축제기간,2025,현지인방문자 유입,0.629
2025,3,KCTF0007,광안리어방축제,2,비축제기간,2025,내비게이션 검색량,0.426
2025,4,KCTF0007,광안리어방축제,2,비축제기간,2025,관광소비,0.621
2025,5,KCTF0007,광안리어방축제,2,비축제기간,2025,축제지 집중률,0.62
2024,1,KCTF0008,광주김치축제,1,축제기간,2024,외부방문자 유입,0.818
2024,2,KCTF0008,광주김치축제,1,축제기간,2024,현지인방문자 유입,0.9
2024,3,KCTF0008,광주김치축제,1,축제기간,2024,내비게이션 검색량,0.77
2024,4,KCTF0008,광주김치축제,1,축제기간,2024,관광소비,0.553
2024,5,KCTF0008,광주김치축제,1,축제기간,2024,축제지 집중률,0.962
2024,1,KCTF0008,광주김치축제,2,비축제기간,2024,외부방문자 유입,0.645
2024,2,KCTF0008,광주김치축제,2,비축제기간,2024,현지인방문자 유입,0.82
2024,3,KCTF0008,광주김치축제,2,비축제기간,2024,내비게이션 검색량,0.617
2024,4,KCTF0008,광주김치축제,2,비축제기간,2024,관광소비,0.526
2024,5,KCTF0008,광주김치축제,2,비축제기간,2024,축제지 집중률,0.839
2025,1,KCTF0008,광주김치축제,1,축제기간,2025,외부방문자 유입,0.749
2025,2,KCTF0008,광주김치축제,1,축제기간,2025,현지인방문자 유입,0.878
2025,3,KCTF0008,광주김치축제,1,축제기간,2025,내비게이션 검색량,0.748
2025,4,KCTF0008,광주김치축제,1,축제기간,2025,관광소비,0.781
2025,5,KCTF0008,광주김치축제,1,축제기간,2025,축제지 집중률,0.913
2025,1,KCTF0008,광주김치축제,2,비축제기간,2025,외부방문자 유입,0.646
2025,2,KCTF0008,광주김치축제,2,비축제기간,2025,현지인방문자 유입,0.809
2025,3,KCTF0008,광주김치축제,2,비축제기간,2025,내비게이션 검색량,0.501
2025,4,KCTF0008,광주김치축제,2,비축제기간,2025,관광소비,0.744
2025,5,KCTF0008,광주김치축제,2,비축제기간,2025,축제지 집중률,0.803
2024,1,KCTF0009,괴산고추축제,1,축제기간,2024,외부방문자 유입,0.721
2024,2,KCTF0009,괴산고추축제,1,축제기간,2024,현지인방문자 유입,0.861
2024,3,KCTF0009,괴산고추축제,1,축제기간,2024,내비게이션 검색량,0.641
2024,4,KCTF0009,괴산고추축제,1,축제기간,2024,관광소비,0.655
2024,5,KCTF0009,괴산고추축제,1,축제기간,2024,축제지 집중률,0.671
2024,1,KCTF0009,괴산고추축제,2,비축제기간,2024,외부방문자 유입,0.455
2024,2,KCTF0009,괴산고추축제,2,비축제기간,2024,현지인방문자 유입,0.675
2024,3,KCTF0009,괴산고추축제,2,비축제기간,2024,내비게이션 검색량,0.362
2024,4,KCTF0009,괴산고추축제,2,비축제기간,2024,관광소비,0.608
2024,5,KCTF0009,괴산고추축제,2,비축제기간,2024,축제지 집중률,0.495
2025,1,KCTF0009,괴산고추축제,1,축제기간,2025,외부방문자 유입,0.589
2025,2,KCTF0009,괴산고추축제,1,축제기간,2025,현지인방문자 유입,0.871
2025,3,KCTF0009,괴산고추축제,1,축제기간,2025,내비게이션 검색량,0.255
2025,4,KCTF0009,괴산고추축제,1,축제기간,2025,관광소비,0.562
2025,5,KCTF0009,괴산고추축제,1,축제기간,2025,축제지 집중률,0.78
2025,1,KCTF0009,괴산고추축제,2,비축제기간,2025,외부방문자 유입,0.418
2025,2,KCTF0009,괴산고추축제,2,비축제기간,2025,현지인방문자 유입,0.678
2025,3,KCTF0009,괴산고추축제,2,비축제기간,2025,내비게이션 검색량,0.295
2025,4,KCTF0009,괴산고추축제,2,비축제기간,2025,관광소비,0.613
2025,5,KCTF0009,괴산고추축제,2,비축제기간,2025,축제지 집중률,0.503
2024,1,KCTF0011,금산인삼축제,1,축제기간,2024,외부방문자 유입,0.68
2024,2,KCTF0011,금산인삼축제,1,축제기간,2024,현지인방문자 유입,0.923
2024,3,KCTF0011,금산인삼축제,1,축제기간,2024,내비게이션 검색량,0.623
2024,4,KCTF0011,금산인삼축제,1,축제기간,2024,관광소비,0.726
2024,5,KCTF0011,금산인삼축제,1,축제기간,2024,축제지 집중률,0.906
2024,1,KCTF0011,금산인삼축제,2,비축제기간,2024,외부방문자 유입,0.293
2024,2,KCTF0011,금산인삼축제,2,비축제기간,2024,현지인방문자 유입,0.863
2024,3,KCTF0011,금산인삼축제,2,비축제기간,2024,내비게이션 검색량,0.159
2024,4,KCTF0011,금산인삼축제,2,비축제기간,2024,관광소비,0.492
2024,5,KCTF0011,금산인삼축제,2,비축제기간,2024,축제지 집중률,0.555
2025,1,KCTF0011,금산인삼축제,1,축제기간,2025,외부방문자 유입,0.602
2025,2,KCTF0011,금산인삼축제,1,축제기간,2025,현지인방문자 유입,0.911
2025,3,KCTF0011,금산인삼축제,1,축제기간,2025,내비게이션 검색량,0.498
2025,4,KCTF0011,금산인삼축제,1,축제기간,2025,관광소비,0.649
2025,5,KCTF0011,금산인삼축제,1,축제기간,2025,축제지 집중률,0.959
2025,1,KCTF0011,금산인삼축제,2,비축제기간,2025,외부방문자 유입,0.301
2025,2,KCTF0011,금산인삼축제,2,비축제기간,2025,현지인방문자 유입,0.806
2025,3,KCTF0011,금산인삼축제,2,비축제기간,2025,내비게이션 검색량,0.17
2025,4,KCTF0011,금산인삼축제,2,비축제기간,2025,관광소비,0.48
2025,5,KCTF0011,금산인삼축제,2,비축제기간,2025,축제지 집중률,0.59
2024,1,KCTF0013,김제지평선축제,1,축제기간,2024,외부방문자 유입,0.631
2024,2,KCTF0013,김제지평선축제,1,축제기간,2024,현지인방문자 유입,0.834
2024,3,KCTF0013,김제지평선축제,1,축제기간,2024,내비게이션 검색량,0.613
2024,4,KCTF0013,김제지평선축제,1,축제기간,2024,관광소비,0.609
2024,5,KCTF0013,김제지평선축제,1,축제기간,2024,축제지 집중률,0.828
2024,1,KCTF0013,김제지평선축제,2,비축제기간,2024,외부방문자 유입,0.041
2024,2,KCTF0013,김제지평선축제,2,비축제기간,2024,현지인방문자 유입,0.089
2024,3,KCTF0013,김제지평선축제,2,비축제기간,2024,내비게이션 검색량,0.026
2024,4,KCTF0013,김제지평선축제,2,비축제기간,2024,관광소비,0.516
2024,5,KCTF0013,김제지평선축제,2,비축제기간,2024,축제지 집중률,0.073
2025,1,KCTF0013,김제지평선축제,1,축제기간,2025,외부방문자 유입,0.682
2025,2,KCTF0013,김제지평선축제,1,축제기간,2025,현지인방문자 유입,0.789
2025,3,KCTF0013,김제지평선축제,1,축제기간,2025,내비게이션 검색량,0.687
2025,4,KCTF0013,김제지평선축제,1,축제기간,2025,관광소비,0.709
2025,5,KCTF0013,김제지평선축제,1,축제기간,2025,축제지 집중률,0.935
2025,1,KCTF0013,김제지평선축제,2,비축제기간,2025,외부방문자 유입,0.03
2025,2,KCTF0013,김제지평선축제,2,비축제기간,2025,현지인방문자 유입,0.079
2025,3,KCTF0013,김제지평선축제,2,비축제기간,2025,내비게이션 검색량,0.018
2025,4,KCTF0013,김제지평선축제,2,비축제기간,2025,관광소비,0.613
2025,5,KCTF0013,김제지평선축제,2,비축제기간,2025,축제지 집중률,0.07
2024,1,KCTF0014,김해분청도자기축제,1,축제기간,2024,외부방문자 유입,0.865
2024,2,KCTF0014,김해분청도자기축제,1,축제기간,2024,현지인방문자 유입,0.923
2024,3,KCTF0014,김해분청도자기축제,1,축제기간,2024,내비게이션 검색량,0.676
2024,4,KCTF0014,김해분청도자기축제,1,축제기간,2024,관광소비,0.631
2024,5,KCTF0014,김해분청도자기축제,1,축제기간,2024,축제지 집중률,0.795
2024,1,KCTF0014,김해분청도자기축제,2,비축제기간,2024,외부방문자 유입,0.624
2024,2,KCTF0014,김해분청도자기축제,2,비축제기간,2024,현지인방문자 유입,0.766
2024,3,KCTF0014,김해분청도자기축제,2,비축제기간,2024,내비게이션 검색량,0.281
2024,4,KCTF0014,김해분청도자기축제,2,비축제기간,2024,관광소비,0.617
2024,5,KCTF0014,김해분청도자기축제,2,비축제기간,2024,축제지 집중률,0.564
2025,1,KCTF0014,김해분청도자기축제,1,축제기간,2025,외부방문자 유입,0.784
2025,2,KCTF0014,김해분청도자기축제,1,축제기간,2025,현지인방문자 유입,0.933
2025,3,KCTF0014,김해분청도자기축제,1,축제기간,2025,내비게이션 검색량,0.531
2025,4,KCTF0014,김해분청도자기축제,1,축제기간,2025,관광소비,0.615
2025,5,KCTF0014,김해분청도자기축제,1,축제기간,2025,축제지 집중률,0.966
2025,1,KCTF0014,김해분청도자기축제,2,비축제기간,2025,외부방문자 유입,0.478
2025,2,KCTF0014,김해분청도자기축제,2,비축제기간,2025,현지인방문자 유입,0.707
2025,3,KCTF0014,김해분청도자기축제,2,비축제기간,2025,내비게이션 검색량,0.229
