조회연도,FSTV_ID,FSTV_REPS_NM,비축제기간 관광소비,비축제기간 내비게이션 검색량,비축제기간 외부방문자 유입,비축제기간 축제지 집중률,비축제기간 현지인방문자 유입,축제기간 관광소비,축제기간 내비게이션 검색량,축제기간 외부방문자 유입,축제기간 축제지 집중률,축제기간 현지인방문자 유입,집중률_상승,외부유입_상승
2024,KCTF0002,강릉커피축제,0.458,0.347,0.38,0.806,0.768,0.511,0.533,0.546,0.968,0.965,0.16199999999999992,0.16600000000000004
2024,KCTF0004,고령대가야축제,0.696,0.246,0.398,0.623,0.738,0.855,0.798,0.892,0.932,0.899,0.30900000000000005,0.494
2024,KCTF0005,곡성세계장미축제,0.442,0.043,0.086,0.352,0.413,0.655,0.412,0.523,0.905,0.74,0.553,0.43700000000000006
2024,KCTF0006,관악강감찬축제,0.763,0.331,0.694,0.824,0.789,0.788,0.467,0.765,0.895,0.916,0.07100000000000006,0.07100000000000006
2024,KCTF0007,광안리어방축제,0.677,0.506,0.285,0.651,0.782,0.735,0.529,0.38,0.78,0.91,0.129,0.09500000000000003
2024,KCTF0008,광주김치축제,0.526,0.617,0.645,0.839,0.82,0.553,0.77,0.818,0.962,0.9,0.123,0.17299999999999993
2024,KCTF0009,괴산고추축제,0.608,0.362,0.455,0.495,0.675,0.655,0.641,0.721,0.671,0.861,0.17600000000000005,0.26599999999999996
2024,KCTF0011,금산인삼축제,0.492,0.159,0.293,0.555,0.863,0.726,0.623,0.68,0.906,0.923,0.351,0.38700000000000007
2024,KCTF0013,김제지평선축제,0.516,0.026,0.041,0.073,0.089,0.609,0.613,0.631,0.828,0.834,0.755,0.59
2024,KCTF0014,김해분청도자기축제,0.617,0.281,0.624,0.564,0.766,0.631,0.676,0.865,0.795,0.923,0.2310000000000001,0.241
2024,KCTF0016,담양대나무축제,0.47,0.353,0.434,0.761,0.815,0.568,0.559,0.668,0.89,0.895,0.129,0.23400000000000004
2024,KCTF0017,대구약령시한방문화축제,0.65,0.526,0.579,0.824,0.792,0.631,0.498,0.608,0.822,0.862,-0.0020000000000000018,0.029000000000000026
2024,KCTF0018,대구치맥페스티벌,0.567,0.339,0.357,0.454,0.638,0.586,0.654,0.733,0.898,0.894,0.444,0.376
2024,KCTF0020,대전효문화뿌리축제,0.724,0.421,0.532,0.632,0.793,0.713,0.716,0.811,0.967,0.974,0.33499999999999996,0.279
2024,KCTF0021,동래읍성역사축제,0.602,0.65,0.671,0.869,0.847,0.526,0.757,0.708,0.917,0.917,0.04800000000000004,0.03699999999999992
2024,KCTF0022,목포항구축제,0.545,0.447,0.615,0.669,0.51,0.521,0.678,0.827,0.908,0.921,0.239,0.21199999999999997
2024,KCTF0023,무주반딧불축제,0.286,0.164,0.288,0.468,0.733,0.265,0.446,0.514,0.9,0.923,0.432,0.22600000000000003
2024,KCTF0024,문경찻사발축제,0.428,0.156,0.197,0.618,0.665,0.554,0.253,0.347,0.752,0.8,0.134,0.14999999999999997
2024,KCTF0025,밀양아리랑대축제,0.581,0.253,0.29,0.57,0.806,0.661,0.641,0.563,0.927,0.92,0.3570000000000001,0.27299999999999996
2024,KCTF0026,보령머드축제,0.376,0.315,0.361,0.823,0.683,0.518,0.475,0.533,0.916,0.775,0.09300000000000008,0.17200000000000004
2024,KCTF0027,보성다향대축제,0.373,0.144,0.257,0.57,0.626,0.519,0.439,0.55,0.837,0.731,0.267,0.29300000000000004
2024,KCTF0030,부천국제만화축제,0.657,0.608,0.623,0.764,0.843,0.715,0.794,0.691,0.864,0.835,0.09999999999999998,0.06799999999999995
2024,KCTF0031,부평풍물대축제,0.669,0.657,0.639,0.772,0.69,0.651,0.687,0.75,0.896,0.826,0.124,0.11099999999999999
2024,KCTF0032,산청한방약초축제,0.459,0.163,0.297,0.44,0.499,0.496,0.581,0.624,0.824,0.82,0.38399999999999995,0.327
2024,KCTF0033,서산해미읍성축제,0.545,0.228,0.409,0.588,0.525,0.654,0.676,0.717,0.859,0.808,0.271,0.308
2024,KCTF0035,세종축제,0.688,0.247,0.323,0.383,0.53,0.73,0.599,0.675,0.732,0.79,0.349,0.35200000000000004
2024,KCTF0036,소래포구축제,0.701,0.647,0.67,0.624,0.764,0.726,0.839,0.891,0.773,0.823,0.14900000000000002,0.22099999999999997
2024,KCTF0038,수원화성문화제,0.729,0.469,0.551,0.666,0.737,0.791,0.715,0.772,0.858,0.942,0.19199999999999995,0.22099999999999997
2024,KCTF0039,순창장류축제,0.509,0.309,0.574,0.679,0.665,0.518,0.829,0.886,0.906,0.885,0.22699999999999998,0.31200000000000006
2024,KCTF0040,시흥갯골축제,0.728,0.45,0.362,0.395,0.734,0.705,0.806,0.785,0.76,0.917,0.365,0.42300000000000004
2024,KCTF0041,안동탈춤축제,0.458,0.231,0.354,0.503,0.611,0.475,0.516,0.645,0.875,0.904,0.372,0.29100000000000004
2024,KCTF0042,안성맞춤남사당바우덕이축제,0.734,0.221,0.255,0.324,0.456,0.82,0.798,0.735,0.83,0.926,0.506,0.48
2024,KCTF0045,여주오곡나루축제,0.548,0.379,0.435,0.558,0.765,0.785,0.772,0.819,0.932,0.94,0.374,0.38399999999999995
2024,KCTF0046,연천구석기축제,0.469,0.17,0.309,0.661,0.796,0.621,0.472,0.619,0.917,0.891,0.256,0.31
