FSTV_ID,FSTV_REPS_NM,SIDO_CD,SIDO_NM,ADONG_NM1,ADONG_NM2,ADONG_NM3,ADONG_NM4,ADONG_NM5,FSTV_BGNG_YMD,FSTV_END_YMD,BASE_YEAR,ROWNUM,FLOOR_VAR,MOD_VAR,PAGING_VAR
KCTF0001,강경젓갈축제,44,충청남도,논산시 강경읍,,,,,2018-10-10,2018-10-14,2018,1,0,1,1
KCTF0002,강릉커피축제,51,강원특별자치도,강릉시 초당동,,,,,2018-10-05,2018-10-09,2018,2,0,2,1
KCTF0003,강진청자축제,46,전라남도,강진군 대구면,,,,,2018-07-28,2018-08-03,2018,3,0,3,1
KCTF0004,고령대가야축제,47,경상북도,고령군 대가야읍,,,,,2018-04-12,2018-04-15,2018,4,0,4,1
KCTF0005,곡성세계장미축제,46,전라남도,곡성군 오곡면,,,,,2018-05-18,2018-05-27,2018,5,0,5,1
KCTF0006,관악강감찬축제,11,서울특별시,관악구 낙성대동,,,,,-,-,2018,6,0,6,1
KCTF0007,광안리어방축제,26,부산광역시,수영구 광안2동,,,,,2018-04-27,2018-04-29,2018,7,0,7,1
KCTF0008,광주김치축제,29,광주광역시,남구 송암동,,,,,2018-10-25,2018-10-28,2018,8,0,8,1
KCTF0009,괴산고추축제,43,충청북도,괴산군 괴산읍,,,,,2018-08-30,2018-09-02,2018,9,0,9,1
KCTF0010,군산시간여행축제,52,전북특별자치도,군산시 월명동,,,,,2018-09-14,2018-09-16,2018,10,1,0,1
KCTF0011,금산인삼축제,44,충청남도,금산군 금산읍,,,,,2018-10-05,2018-10-14,2018,11,1,1,2
KCTF0012,금호강바람소리길축제,27,대구광역시,북구 산격2동,,,,,-,-,2018,12,1,2,2
KCTF0013,김제지평선축제,52,전북특별자치도,김제시 부량면,,,,,2018-10-05,2018-10-09,2018,13,1,3,2
KCTF0014,김해분청도자기축제,48,경상남도,김해시 진례면,,,,,2018-10-26,2018-11-04,2018,14,1,4,2
KCTF0015,남원춘향제,52,전북특별자치도,남원시 금동,,,,,2018-05-18,2018-05-22,2018,15,1,5,2
KCTF0016,담양대나무축제,46,전라남도,담양군 담양읍,,,,,2018-05-02,2018-05-07,2018,16,1,6,2
KCTF0017,대구약령시한방문화축제,27,대구광역시,중구 성내2동,,,,,2018-05-03,2018-05-07,2018,17,1,7,2
KCTF0018,대구치맥페스티벌,27,대구광역시,달서구 두류3동,,,,,2018-07-18,2018-07-22,2018,18,1,8,2
KCTF0019,대전사이언스페스티벌,30,대전광역시,유성구 신성동,,,,,2018-10-19,2018-10-22,2018,19,1,9,2
KCTF0020,대전효문화뿌리축제,30,대전광역시,중구 산성동,,,,,2018-10-05,2018-10-07,2018,20,2,0,2
KCTF0021,동래읍성역사축제,26,부산광역시,동래구 명륜동,,,,,2018-10-12,2018-10-14,2018,21,2,1,3
KCTF0022,목포항구축제,46,전라남도,목포시 만호동,,,,,2018-10-05,2018-10-07,2018,22,2,2,3
KCTF0023,무주반딧불축제,52,전북특별자치도,무주군 무주읍,,,,,2018-09-01,2018-09-09,2018,23,2,3,3
KCTF0024,문경찻사발축제,47,경상북도,문경시 문경읍,,,,,2018-04-28,2018-05-07,2018,24,2,4,3
KCTF0025,밀양아리랑대축제,48,경상남도,밀양시 삼문동,,,,,2018-05-17,2018-05-20,2018,25,2,5,3
KCTF0026,보령머드축제,44,충청남도,보령시 대천5동,,,,,2018-07-13,2018-07-22,2018,26,2,6,3
KCTF0027,보성다향대축제,46,전라남도,보성군 보성읍,,,,,2018-05-18,2018-05-22,2018,27,2,7,3
KCTF0028,봉화은어축제,47,경상북도,봉화군 봉화읍,,,,,2018-07-28,2018-08-04,2018,28,2,8,3
KCTF0029,부안마실축제,52,전북특별자치도,부안군 부안읍,,,,,2018-05-05,2018-05-07,2018,29,2,9,3
KCTF0030,부천국제만화축제,41,경기도,부천시 상동,,,,,2018-08-15,2018-08-19,2018,30,3,0,3
KCTF0031,부평풍물대축제,28,인천광역시,부평구 부평1동,,,,,2018-10-12,2018-10-14,2018,31,3,1,4
KCTF0032,산청한방약초축제,48,경상남도,산청군 금서면,,,,,2018-09-28,2018-10-09,2018,32,3,2,4
KCTF0033,서산해미읍성축제,44,충청남도,서산시 해미면,,,,,2018-10-12,2018-10-14,2018,33,3,3,4
KCTF0034,석장리세계구석기축제,44,충청남도,공주시 월송동,,,,,2018-05-04,2018-05-07,2018,34,3,4,4
KCTF0035,세종축제,36,세종특별자치시,세종특별자치시 새롬동,,,,,2018-10-07,2018-10-09,2018,35,3,5,4
KCTF0036,소래포구축제,28,인천광역시,남동구 논현고잔동,,,,,2018-10-08,2018-10-10,2018,36,3,6,4
KCTF0037,수성못페스티벌,27,대구광역시,수성구 두산동,,,,,2018-09-07,2018-09-09,2018,37,3,7,4
KCTF0038,수원화성문화제,41,경기도,수원시 팔달구 행궁동,,,,,2018-10-05,2018-10-07,2018,38,3,8,4
KCTF0039,순창장류축제,52,전북특별자치도,순창군 순창읍,,,,,2018-10-19,2018-10-21,2018,39,3,9,4
KCTF0040,시흥갯골축제,41,경기도,시흥시 장곡동,,,,,2018-09-14,2018-09-16,2018,40,4,0,4
KCTF0041,안동탈춤축제,47,경상북도,안동시 중구동,,,,,2018-09-28,2018-10-07,2018,41,4,1,5
KCTF0042,안성맞춤남사당바우덕이축제,41,경기도,안성시 보개면,,,,,2018-10-03,2018-10-07,2018,42,4,2,5
KCTF0043,알프스하동섬진강문화재첩축제,48,경상남도,하동군 하동읍,,,,,2018-08-31,2018-09-02,2018,43,4,3,5
KCTF0044,양양송이축제,51,강원특별자치도,양양군 양양읍,,,,,2018-09-28,2018-10-01,2018,44,4,4,5
KCTF0045,여주오곡나루축제,41,경기도,여주시 오학동,,,,,2018-10-26,2018-10-28,2018,45,4,5,5
KCTF0046,연천구석기축제,41,경기도,연천군 전곡읍,,,,,2018-05-04,2018-05-07,2018,46,4,6,5
KCTF0047,영덕대게축제,47,경상북도,영덕군 강구면,,,,,2018-03-22,2018-03-25,2018,47,4,7,5
KCTF0048,영도다리축제,26,부산광역시,영도구 남항동,,,,,2018-10-12,2018-10-14,2018,48,4,8,5
