,v24,v26,s24,s26,pv24,pv26,방문%,방문당소비%,방문당소비26,격차,소비순위(낮은순)
가평군,17835508.0,17548496.0,318761491.0,309694967.0,17.87229671282702,17.64794926015312,-1.609216849892925,-1.255280483973198,17.64794926015312,-4.600845704681033,85.0
강남구,146213979.0,149681700.0,3861247484.0,3803593862.0,26.40819646936768,25.411215011587924,2.371675419625907,-3.77527279811104,25.411215011587924,1.9000388789756402,51.0
강동구,34092488.0,38245214.0,514038192.0,570386362.0,15.0777553107887,14.91392784467097,12.18076545190836,-1.0865507679415964,14.91392784467097,9.02040688108865,88.0
강릉시,22871514.0,24100873.0,515146035.0,602601124.0,22.523477676204557,25.003290295749867,5.375066119365779,11.009901113828292,25.003290295749867,-9.88174433322382,197.0
강북구,21837286.0,23080677.0,354058813.0,359664618.0,16.213498921065558,15.5829319044671,5.693889799309315,-3.8891482934580335,15.5829319044671,5.336128754006042,48.0
강진군,3876940.0,3983895.0,33497745.0,34817993.0,8.640253653654687,8.739686412417997,2.7587478784814934,1.1508083298139349,8.739686412417997,-2.638969790093748,122.0
강화군,11030705.0,11592484.0,148218494.0,154798862.0,13.436901267870004,13.353381553082151,5.092865777844668,-0.6215697587029445,13.353381553082151,1.4675261977863063,95.0
거제시,15143059.0,15429362.0,174769662.0,172089998.0,11.54123892669242,11.153409842869719,1.89065498589156,-3.360376527044562,11.153409842869719,1.0041221741748148,54.0
거창군,4237746.0,4317852.0,47079016.0,48608049.0,11.109447333558926,11.25746065404743,1.8902973420304114,1.3323193858743254,11.25746065404743,-3.6889313826052206,124.0
경산시,19480222.0,20804626.0,300075028.0,327021843.0,15.404086668006144,15.718708089248997,6.798711020849768,2.0424542397331047,15.718708089248997,0.5093474423553568,128.0
경주시,31262128.0,33719887.0,592976006.0,692481803.0,18.967870837199566,20.536302597929822,7.861777675531245,8.26888676220985,20.536302597929822,-4.654018425439911,186.0
계룡시,3381355.0,3442408.0,38628605.0,37363626.0,11.424001620652076,10.853921441037786,1.805577941387404,-4.990196942757008,10.853921441037786,2.548865545383105,42.0
계양구,19529179.0,21786200.0,344959905.0,346250414.0,17.663820122699473,15.893107288099806,11.557172987149134,-10.024518039131037,15.893107288099806,17.334781687518863,14.0
고령군,4074740.0,4172886.0,40182477.0,40333824.0,9.861359743198339,9.665690363935175,2.4086444779298777,-1.9842028316442106,9.665690363935175,0.1459379708127817,72.0
고양시 덕양구,39640226.0,41399411.0,997428887.0,1050794387.0,25.162038354675374,25.381868041552572,4.437878330966116,0.8736561155282985,25.381868041552572,-0.6826871233234888,116.0
고양시 일산동구,36713763.0,35783243.0,757512408.0,732018687.0,20.632927439227625,20.45702473082163,-2.5345263573227306,-0.8525339359821915,20.45702473082163,-5.928901760101845,92.0
고양시 일산서구,26244260.0,28232918.0,531214401.0,543762918.0,20.24116515382792,19.259890812561423,7.577496945998852,-4.84791430636059,19.259890812561423,8.178501913598135,44.0
고창군,5812291.0,6246870.0,80201986.0,84320988.0,13.798687299035784,13.498117937463082,7.476896803687216,-2.1782460538380732,13.498117937463082,5.408233518763983,68.0
고흥군,4379529.0,4528967.0,43201626.0,49973111.0,9.864445697242786,11.034107998578925,3.4121934116659647,11.857354556303878,11.034107998578925,-12.69207048339922,200.0
곡성군,3664770.0,3659904.0,54503942.0,54430115.0,14.872404543804931,14.872006205627251,-0.13277777322997508,-0.0026783710495914548,14.872006205627251,-4.37700874094169,104.0
공주시,16191008.0,17525443.0,281144358.0,320532433.0,17.364228218527224,18.28954811584506,8.241827809608893,5.3288858316809185,18.28954811584506,-1.3339673608333324,163.0
과천시,13850191.0,14754138.0,118886673.0,155429976.0,8.58375693158311,10.534670070186412,6.526603134931497,22.72796345648027,10.534670070186412,-20.448269660310082,218.0
관악구,41253647.0,48021607.0,531597135.0,536822996.0,12.886063988475977,11.178780335276993,16.405725292602625,-13.249070117343898,11.178780335276993,25.407886071185217,9.0
광명시,26394523.0,30498909.0,373390372.0,408996830.0,14.146509561851147,13.410211821019566,15.550142732263051,-5.204801492639244,13.410211821019566,16.50803488614099,39.0
광산구,31163768.0,33345479.0,477001623.0,551356511.0,15.306288475770966,16.534670592076367,7.000793357208912,8.025342774963784,16.534670592076367,-5.271458756516179,183.0
광양시,9672622.0,9924852.0,192435865.0,205714675.0,19.894901816694585,20.72722847655562,2.60766935790524,4.183617830989239,20.72722847655562,-5.822857811845306,143.0
광주시,30578816.0,31393177.0,540460752.0,570998103.0,17.674351812705893,18.18860521826128,2.6631541260459635,2.909602632135533,18.18860521826128,-4.493357844850876,136.0
광진구,47485612.0,50264761.0,674983652.0,723553332.0,14.214487790533267,14.39484278061125,5.852612787216471,1.2688110379756257,14.39484278061125,0.336892410479539,123.0
괴산군,7600471.0,7550261.0,98950599.0,112278643.0,13.019008821953271,14.870829366031188,-0.6606169538703632,14.223974877068123,14.870829366031188,-19.131501169699792,207.0
구례군,4580774.0,4605289.0,32353196.0,34902096.0,7.062823007640193,7.578698318390008,0.5351715670757873,7.304095121621601,7.578698318390008,-11.01583289330712,178.0
구로구,43174416.0,44362765.0,715591884.0,704971836.0,16.57444269773099,15.891070721132914,2.7524379252749975,-4.123046482230308,15.891070721132914,2.6285750687439986,47.0
구리시,29816698.0,31948157.0,399233767.0,444043272.0,13.389603603993978,13.898869721968625,7.1485413978435774,3.8034443217029867,13.898869721968625,-0.9018122626207159,141.0
구미시,17611986.0,17979732.0,327298078.0,330059303.0,18.5838256968862,18.35729826228778,2.0880439037369136,-1.2189494149010272,18.35729826228778,-0.9399160201233658,86.0
군산시,16803564.0,17867362.0,339036077.0,396045750.0,20.176438581719925,22.165877089186417,6.330787920943437,9.860206494861501,22.165877089186417,-7.7763279126793705,193.0
군위군,5313364.0,4983535.0,161659146.0,140885887.0,30.425008713876935,28.27027140373249,-6.207536317858143,-7.082125531690197,28.27027140373249,-3.372320124929251,29.0
군포시,17029214.0,17480740.0,230416642.0,258622746.0,13.530668062542405,14.79472528050872,2.6514788057745875,9.342164127621055,14.79472528050872,-10.937594660607775,190.0
금산군,6566030.0,6653391.0,90432913.0,96141906.0,13.772844930650637,14.45006102903016,1.3304995560483368,4.9170385769204294,14.45006102903016,-7.833448359633399,156.0
금정구,19584755.0,20580125.0,193857910.0,203548010.0,9.898408736795533,9.890513784537266,5.082371466990532,-0.07975981259411569,9.890513784537266,0.9152219408233409,101.0
금천구,19296447.0,21069500.0,454040873.0,431767686.0,23.529765505535813,20.49254543297183,9.18849464878171,-12.907991249846585,20.49254543297183,17.84957655986699,10.0
기장군,26792665.0,28319941.0,594295725.0,685924635.0,22.1812845045463,24.220553107790725,5.70035119686676,9.193645222964664,24.220553107790725,-7.740203364859211,188.0
김제시,8006546.0,8642294.0,119540626.0,145403330.0,14.930361481717584,16.824622027438547,7.940352806316242,12.687305314345586,16.824622027438547,-8.99386184679065,202.0
김천시,9678449.0,10343904.0,171565208.0,183217079.0,17.72651878415643,17.71256568119735,6.87563678849783,-0.07871315924449229,17.71256568119735,2.7074406089810155,102.0
김포시,33161026.0,35067268.0,858213117.0,916387364.0,25.880173822124803,26.132271381962234,5.748440955958367,0.9740953116084361,26.132271381962234,0.5274363055886244,118.0
김해시,29261007.0,31838927.0,579877992.0,660877689.0,19.817431163595977,20.756908327972234,8.8100864061172,4.740660666969032,20.756908327972234,-0.1774835996131383,151.0
나주시,10660109.0,11097688.0,163559635.0,180708236.0,15.343148461239936,16.283412905462832,4.104826695486885,6.1282366301688596,16.283412905462832,-6.270319273443281,169.0
남동구,36000180.0,38810778.0,728479836.0,756102952.0,20.235449822750887,19.481777768021036,7.807177630778517,-3.7245134718106976,19.481777768021036,7.284781763827907,52.0
남양주시,46604629.0,48290063.0,859512785.0,930302135.0,18.44264836868458,19.264877227432898,3.616451919400543,4.458301445168011,19.264877227432898,-5.088758864528775,148.0
남원시,7041842.0,7114482.0,109807715.0,113544939.0,15.59360675800451,15.959691654290502,1.0315482795552722,2.347660178733646,15.959691654290502,-5.56302123793968,134.0
남해군,5683426.0,6132203.0,64521547.0,79850873.0,11.352579764388592,13.021563865384104,7.896240753376582,14.701364232919767,13.021563865384104,-11.052032818304491,209.0
노원구,39186043.0,41949817.0,570707173.0,590573159.0,14.564041921762808,14.078086657684347,7.052955053410215,-3.3366785586651293,14.078086657684347,6.1427242733140375,55.0
논산시,11377260.0,11667922.0,181011316.0,188531236.0,15.909921721047072,16.158081618989225,2.55476274603903,1.5597807600389757,16.158081618989225,-3.2519273527612524,125.0
단양군,6337614.0,6138506.0,92920393.0,93138200.0,14.661731213040113,15.172779826231334,-3.1416870765559435,3.4855952940720636,15.172779826231334,-10.874191709389315,139.0
달서구,36496142.0,37241169.0,460666316.0,459884273.0,12.622329121801423,12.34881410409002,2.0413856346788606,-2.166914006694576,12.34881410409002,-0.038609697387870234,69.0
달성군,20141519.0,20827238.0,242775955.0,262153799.0,12.05350773196401,12.587065025136795,3.404504893598137,4.426572787254912,12.587065025136795,-5.268977232418082,147.0
담양군,10510646.0,10594213.0,112784785.0,121744703.0,10.730528361434683,11.491623115374402,0.7950700651510934,7.092798493269714,11.491623115374402,-10.544637766879926,174.0
당진시,15600689.0,14917529.0,337345547.0,367549856.0,21.62375950190405,24.638789440261856,-4.3790373617472955,13.943134810079272,24.638789440261856,-22.569081510587875,204.0
대덕구,17550887.0,18757228.0,313937172.0,349951500.0,17.887253903463684,18.65688789409608,6.873390501574073,4.30269506312182,18.65688789409608,-1.6762139003090537,145.0
도봉구,21024323.0,23231771.0,326559058.0,309063403.0,15.532441068375899,13.303480091982657,10.499496226346983,-14.350358495365,13.303480091982657,20.602945382950676,6.0
동대문구,37167885.0,39271796.0,620273157.0,646303990.0,16.68841681467751,16.4572048092733,5.660561530471808,-1.3854639896149878,16.4572048092733,2.7991161813254894,81.0
동두천시,6688872.0,6713602.0,81517098.0,79217399.0,12.186972332554726,11.799537565676369,0.36971854148202254,-3.179089574556704,11.799537565676369,-0.6981012227225802,57.0
동래구,25785047.0,28519326.0,305855189.0,323741089.0,11.861727031174308,11.351638850090637,10.604126492381427,-4.300285951135829,11.351638850090637,10.65750310475595,45.0
동작구,39889542.0,44223682.0,480180075.0,511987200.0,12.037743501793026,11.577217835457482,10.865354132168271,-3.825681002979908,11.577217835457482,10.444125796386873,50.0
동해시,7855585.0,8882248.0,133794029.0,158676929.0,17.031707886809194,17.864501081257806,13.069211268161451,4.889663444108261,17.864501081257806,3.932638485291883,154.0
마포구,79722437.0,82036441.0,1435983743.0,1398462190.0,18.012291106956503,17.046841293371077,2.9025755948729914,-5.359950091038456,17.046841293371077,4.015616347150141,38.0
목포시,17976681.0,18195863.0,267149942.0,285055754.0,14.860915760812578,15.665965060299696,1.2192573256431416,5.41722537456264,15.665965060299696,-8.444877387680805,165.0
무안군,10315484.0,11200698.0,159150526.0,164233315.0,15.428313979256814,14.662775034198761,8.581410237270504,-4.961909292793177,14.662775034198761,9.296410191302375,43.0
무주군,5670009.0,5577895.0,56131016.0,61284066.0,9.899634374478065,10.986952246322314,-1.624582959215759,10.983414444551908,10.986952246322314,-16.854906742528975,196.0
문경시,6999119.0,8184656.0,139175861.0,159242185.0,19.884768497292303,19.45618545238798,16.93837467258379,-2.1553333394989327,19.45618545238798,14.846798673321418,70.0
