Y,변수,계수,하한95,상한95,p값
총소비,log체류시간,-0.0281,-0.4238,0.3675,0.8892
총소비,숙박객비중,0.05,0.0226,0.0773,0.0003
총소비,야간비중,-0.0615,-0.1063,-0.0166,0.0072
총소비,주말비중,-0.0279,-0.0575,0.0017,0.0642
총소비,수도권비중,-0.0004,-0.0057,0.0048,0.876
총소비,log방문,0.3109,0.1997,0.4221,0.0
대형쇼핑·면세 제외,log체류시간,-0.0276,-0.3742,0.3189,0.8759
대형쇼핑·면세 제외,숙박객비중,0.0523,0.033,0.0715,0.0
대형쇼핑·면세 제외,야간비중,-0.0606,-0.0976,-0.0236,0.0013
대형쇼핑·면세 제외,주말비중,-0.028,-0.0532,-0.0028,0.0297
대형쇼핑·면세 제외,수도권비중,0.0002,-0.0046,0.005,0.9259
대형쇼핑·면세 제외,log방문,0.2775,0.1753,0.3797,0.0
쇼핑·운송 제외(현지 관광소비),log체류시간,-0.007,-0.3328,0.3188,0.9663
쇼핑·운송 제외(현지 관광소비),숙박객비중,0.0629,0.0466,0.0792,0.0
쇼핑·운송 제외(현지 관광소비),야간비중,-0.0399,-0.0731,-0.0068,0.0183
쇼핑·운송 제외(현지 관광소비),주말비중,-0.0166,-0.043,0.0098,0.2184
쇼핑·운송 제외(현지 관광소비),수도권비중,0.0029,-0.0009,0.0066,0.1312
쇼핑·운송 제외(현지 관광소비),log방문,0.2666,0.1797,0.3535,0.0
