,총소비,대형쇼핑·면세 제외,쇼핑·운송 제외(현지 관광소비),순위_현지관광(낮은순)
인제군,-18.5,-15.8,-46.4,1
상주시,-32.1,-29.6,-39.0,2
구리시,-41.2,-32.4,-38.2,3
영양군,-27.1,-32.7,-36.8,4
서천군,-38.3,-36.8,-35.6,5
함양군,-25.6,-21.5,-33.9,6
옹진군,-30.2,-26.3,-32.1,7
괴산군,-10.3,-11.5,-30.7,8
성주군,125.8,125.8,-30.0,9
산청군,45.9,50.0,-29.2,10
옥천군,-16.5,-13.7,-28.6,11
태안군,-17.6,-19.1,-27.8,12
완주군,-34.8,-31.1,-27.7,13
익산시,-28.5,-24.6,-26.2,14
봉화군,-22.4,-24.0,-25.3,15
거제시,-32.8,-30.3,-25.0,16
화천군,-29.9,-30.8,-24.0,17
제주시,9.8,-1.3,-22.6,18
아산시,-25.6,-22.9,-22.1,19
청양군,-15.1,-16.6,-21.9,20
김제시,-8.2,-14.4,-19.8,21
하남시,24.4,-14.9,-19.1,22
의왕시,-8.1,-31.0,-18.9,23
보령시,-16.4,-15.9,-18.8,24
광명시,-32.9,-28.5,-17.9,25
임실군,-6.1,-5.8,-17.3,26
영천시,-3.5,2.9,-17.3,26
남양주시,-12.8,-18.7,-16.8,28
부안군,18.4,17.5,-16.7,29
영월군,4.6,4.3,-15.4,30
양평군,-21.2,-10.2,-15.2,31
논산시,-10.8,-5.0,-15.0,32
김포시,36.8,5.5,-14.9,33
김천시,8.1,4.7,-13.7,34
하동군,-2.7,1.4,-13.4,35
원주시,1.5,1.8,-12.9,36
칠곡군,9.7,17.8,-12.0,37
달성군,-38.0,-33.3,-11.5,38
합천군,-32.6,-30.0,-11.3,39
양양군,-32.5,-31.4,-10.8,40
강릉시,-9.4,-4.9,-10.3,41
과천시,-49.7,-40.2,-8.9,42
김해시,4.9,-8.0,-8.5,43
영동군,-15.3,-14.6,-7.7,44
평택시,-9.0,9.0,-7.2,45
오산시,-10.8,-0.8,-5.7,46
의정부시,2.3,-3.2,-5.6,47
진안군,2.3,1.8,-5.4,48
영주시,-8.5,-11.8,-4.9,49
서산시,9.5,10.6,-4.7,50
울릉군,47.7,7.6,-4.7,50
홍성군,-0.4,-1.5,-4.3,52
의령군,-31.0,-28.5,-3.6,53
양주시,0.1,19.2,-3.0,54
군포시,-27.5,-22.2,-2.8,55
공주시,-6.4,5.0,-2.5,56
밀양시,-31.1,-23.4,-2.3,57
삼척시,-18.7,-20.2,-2.2,58
양산시,-23.1,-16.7,-2.2,58
정읍시,-0.7,2.7,-1.7,60
연천군,-15.6,-7.5,-1.5,61
정선군,-9.8,-11.0,-1.5,61
철원군,-10.9,-13.8,-1.4,63
보은군,-16.5,-15.3,-1.2,64
양구군,3.2,-0.1,1.0,65
금산군,16.4,20.4,1.7,66
동해시,10.5,13.0,1.8,67
통영시,4.0,2.5,2.0,68
경산시,-11.1,-8.7,2.0,68
시흥시,10.4,14.0,2.3,70
울진군,8.1,5.1,2.3,70
경주시,-26.7,-20.5,3.4,72
가평군,-7.1,3.7,3.7,73
울주군,-15.8,-5.6,3.8,74
안동시,-6.7,-8.5,3.9,75
춘천시,-4.7,-5.5,6.4,76
예천군,-20.0,-23.9,7.4,77
단양군,10.8,9.7,7.9,78
진주시,3.3,1.3,8.7,79
군산시,44.2,39.9,8.9,80
안성시,50.1,45.4,9.7,81
의성군,5.8,6.2,10.9,82
고령군,-42.3,-40.9,11.0,83
부여군,32.7,-2.0,11.3,84
남원시,19.1,22.5,12.0,85
제천시,43.5,40.1,12.1,86
광주시,-6.6,13.4,12.4,87
청송군,-4.4,-8.1,13.4,88
창녕군,47.9,57.1,14.3,89
함안군,48.8,61.1,14.7,90
순창군,-18.3,-18.5,14.8,91
거창군,20.0,20.8,16.1,92
평창군,-0.9,0.8,17.0,93
당진시,33.4,39.0,17.7,94
강화군,8.8,20.9,18.0,95
구미시,8.4,9.0,19.7,96
충주시,2.6,6.2,20.4,97
예산군,10.1,13.5,23.0,98
문경시,48.1,51.8,24.1,99
동두천시,1.2,13.1,24.2,100
홍천군,32.4,34.8,25.1,101
파주시,37.9,13.1,28.4,102
계룡시,-30.3,-36.8,28.5,103
장수군,33.7,26.9,29.0,104
서귀포시,-9.0,1.3,29.2,105
남해군,8.0,8.6,30.4,106
무주군,-6.9,-8.4,30.4,106
사천시,39.1,52.4,30.5,108
이천시,36.4,36.6,31.5,109
영덕군,16.0,15.5,31.6,110
태백시,61.7,46.3,35.8,111
속초시,23.3,27.6,44.1,112
횡성군,49.5,53.0,50.0,113
기장군,46.9,-20.9,50.4,114
진천군,37.6,40.5,51.1,115
고창군,17.7,18.8,52.4,116
음성군,43.5,47.7,58.8,117
청도군,14.0,17.1,64.0,118
포천시,40.0,64.5,64.0,118
증평군,49.9,50.3,77.1,120
여주시,170.1,53.4,84.1,121
군위군,125.3,132.4,85.7,122
