지역,업종,지역_방문당(원),유사15곳_평균(원),차이(원),비교지역
안동시,외식,4912.0,4724.0,188.0,
안동시,대형쇼핑·면세,1166.0,995.0,171.0,
안동시,기타쇼핑·뷰티,3822.0,3743.0,79.0,
안동시,운송,3788.0,4637.0,-849.0,
안동시,숙박,329.0,304.0,25.0,
안동시,레저·체험,525.0,811.0,-285.0,
안동시,합계,14543.0,15215.0,-672.0,
안동시,비교지역,,,,"서산시, 진주시, 군산시, 영주시, 홍성군, 동해시, 구미시, 당진시, 예천군, 충주시, 삼척시, 익산시, 정읍시, 김천시, 경산시"
익산시,외식,3386.0,4698.0,-1311.0,
익산시,대형쇼핑·면세,543.0,1137.0,-593.0,
익산시,기타쇼핑·뷰티,3589.0,3969.0,-380.0,
익산시,운송,4041.0,5927.0,-1885.0,
익산시,숙박,176.0,206.0,-30.0,
익산시,레저·체험,692.0,1092.0,-400.0,
익산시,합계,12428.0,17028.0,-4600.0,
익산시,비교지역,,,,"경산시, 구미시, 아산시, 홍성군, 김해시, 진주시, 김천시, 서산시, 안동시, 진천군, 논산시, 음성군, 양산시, 당진시, 정읍시"
경주시,외식,6271.0,5147.0,1124.0,
경주시,대형쇼핑·면세,490.0,937.0,-447.0,
경주시,기타쇼핑·뷰티,3355.0,3679.0,-324.0,
경주시,운송,5535.0,4938.0,598.0,
경주시,숙박,875.0,802.0,73.0,
경주시,레저·체험,1423.0,1002.0,420.0,
경주시,합계,17948.0,16505.0,1443.0,
경주시,비교지역,,,,"충주시, 군산시, 양양군, 사천시, 동해시, 부안군, 안동시, 삼척시, 당진시, 평창군, 남원시, 문경시, 통영시, 김해시, 예산군"
인제군,외식,2983.0,3496.0,-513.0,
인제군,대형쇼핑·면세,3.0,396.0,-393.0,
인제군,기타쇼핑·뷰티,3716.0,3173.0,544.0,
인제군,운송,4420.0,5220.0,-800.0,
인제군,숙박,292.0,447.0,-155.0,
인제군,레저·체험,125.0,924.0,-800.0,
인제군,합계,11539.0,13657.0,-2117.0,
인제군,비교지역,,,,"횡성군, 서천군, 보은군, 괴산군, 금산군, 부여군, 문경시, 고창군, 예산군, 하동군, 함양군, 창녕군, 영동군, 산청군, 밀양시"
태안군,외식,4479.0,6285.0,-1807.0,
태안군,대형쇼핑·면세,0.0,468.0,-468.0,
태안군,기타쇼핑·뷰티,5597.0,4069.0,1528.0,
태안군,운송,1496.0,2589.0,-1093.0,
태안군,숙박,916.0,1424.0,-508.0,
태안군,레저·체험,1880.0,803.0,1077.0,
태안군,합계,14366.0,15638.0,-1272.0,
태안군,비교지역,,,,"보령시, 평창군, 남해군, 속초시, 제천시, 양양군, 통영시, 정선군, 강릉시, 부안군, 울진군, 삼척시, 영월군, 영덕군, 동해시"
영주시,외식,4591.0,4840.0,-248.0,
영주시,대형쇼핑·면세,851.0,857.0,-6.0,
영주시,기타쇼핑·뷰티,4170.0,3880.0,289.0,
영주시,운송,2346.0,3702.0,-1356.0,
영주시,숙박,245.0,467.0,-222.0,
영주시,레저·체험,123.0,563.0,-439.0,
영주시,합계,12326.0,14308.0,-1982.0,
영주시,비교지역,,,,"태백시, 예천군, 안동시, 동해시, 서산시, 삼척시, 진주시, 청양군, 군산시, 울진군, 홍성군, 제천시, 정읍시, 양구군, 남원시"
